,comerica_male,comerica_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.7662743,-1.7054777,"('distant', 'open')",0.25871104,0.20808491,-0.7537817,-0.7486964,-0.0050853
86,-1.5534748,-1.8071742,"('uninfluential', 'influential')",0.017667558,-0.08037673,-0.7679036,-0.9437755,0.1758719
39,1.3606764,1.3886755,"('exploitative', 'cooperative')",0.39205936,0.3842776,0.8763679,0.8864765,-0.0101086
5,-1.2511896,-1.176503,"('distant', 'outgoing')",-0.079756066,-0.15760323,-0.6654728,-0.6670531,0.0015803
31,-1.2496494,-1.2592981,"('evil', 'good')",-0.58081305,-0.9148717,-0.9152312,-1.0870849,0.1718537
72,-1.2080098,-1.1527663,"('unambitious', 'ambitious')",-1.0308303,-0.91247505,-1.1194201,-1.0326207,-0.0867994
79,-1.1562725,-1.1025013,"('wavering', 'unwavering')",0.06891133,0.006341952,-0.5436806,-0.5480797,0.0043991
16,-1.1512756,-1.0760882,"('unpopular', 'popular')",0.26259023,0.29434362,-0.4443427,-0.3908723,-0.0534704
30,1.0777974,0.95981514,"('intolerant', 'tolerant')",1.1647507,1.2708989,1.121274,1.115357,0.005917
60,1.0478709,0.8560175,"('inefficient', 'efficient')",-0.013390714,0.25099745,0.5172401,0.5535074,-0.0362673
36,-1.0084919,-1.0887772,"('hostile', 'amicable')",0.40666908,0.15482858,-0.3009114,-0.4669743,0.1660629
8,-0.98883003,-0.948387,"('unaffectionate', 'affectionate')",0.90943825,0.83048534,-0.0396959,-0.0589508,0.0192549
75,-0.98619044,-0.78633,"('meek', 'impulsive')",-0.7640671,-0.7077772,-0.8751287,-0.7470536,-0.1280751
82,-0.980648,-0.9757474,"('poor', 'rich')",5.578002,5.8270435,2.298677,2.425648,-0.126971
80,0.9370249,1.0165182,"('dominated', 'dominating')",-1.2729682,-1.0748056,-0.1679716,-0.0291437,-0.1388279
9,-0.93087846,-0.87596524,"('unaffectionate', 'caring')",1.1520884,1.1883478,0.110605,0.1561913,-0.0455863
