,st_male,st_female,tuple,jude_male,jude_female,medical_male,medical_female,inc_male,inc_female,average_male,average_female,male-female
79,1.8536712,1.8291591,"('wavering', 'unwavering')",3.1376195,2.7951136,-0.8745288,-1.015015,0.087317504,0.14611742,1.0510198,0.9388438,0.112176
86,-1.6827568,-1.9769127,"('uninfluential', 'influential')",-1.7185831,-1.6206322,0.6055424,0.4461118,-0.1317673,-0.16685227,-0.7318912,-0.8295713,0.0976801
53,-1.6363353,-1.3799912,"('uncreative', 'creative')",-1.4955384,-1.2260697,-0.57347035,-0.4985553,0.8287747,0.61813056,-0.7191423,-0.6216214,-0.0975209
41,1.6347513,1.0266594,"('unforgiving', 'forgiving')",0.793227,0.7714603,1.5363033,1.2490879,0.15714064,0.022832094,1.0303556,0.7675099,0.2628457
55,-1.5502316,-1.4505405,"('incompetent', 'clever')",-2.9853566,-2.4077892,-0.09675318,-0.1304918,0.115141705,0.07268484,-1.1292999,-0.9790342,-0.1502657
73,1.5391648,1.6804833,"('helpless', 'self-reliant')",1.7388479,1.7722008,-0.04518276,-0.041286316,-3.6642318,-3.3814023,-0.1078504,0.0074989,-0.1153493
77,-1.5193472,-1.4643216,"('unmotivated', 'motivated')",-0.7219173,-0.56343937,0.4631375,0.3831181,-0.9072692,-0.803428,-0.671349,-0.6120177,-0.0593313
44,1.487791,1.7532411,"('prejudiced', 'unprejudiced')",0.026006717,0.21794042,-0.9074704,-0.6693007,-1.3494425,-1.4383647,-0.1857788,-0.034121,-0.1516578
83,-1.420332,-1.2235497,"('powerless', 'powerful')",-1.5770686,-1.2796695,0.08682419,0.12195746,-1.450596,-1.3026218,-1.090293,-0.9209709,-0.1693221
61,-1.386986,-1.7571776,"('illogical', 'logical')",-0.77111095,-0.90658706,0.42880577,0.3619401,0.1977206,0.18265791,-0.3828926,-0.5297917,0.1468991
46,-1.3740349,-1.2456554,"('uncompetitive', 'competitive')",-2.2244833,-1.6656861,0.3580435,0.40357366,-0.25286102,-0.30192155,-0.8733339,-0.7024224,-0.1709115
10,-1.272479,-1.5062846,"('unsympathetic', 'sympathetic')",-2.5360496,-2.0517316,-0.08775107,-0.100241736,-0.014390433,-0.059369467,-0.9776676,-0.9294069,-0.0482607
