,avon_male,avon_female,tuple,products_male,products_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.1065743,-1.8812288,"('evil', 'good')",-1.2421329,-0.94978124,-0.96004295,-0.9051817,-1.4362501,-1.2453972,-0.1908529
56,1.8888527,1.9311658,"('impractical', 'practical')",1.9451361,1.5782584,-0.2044845,-0.018641014,1.2098347,1.1635944,0.0462403
36,-1.8542551,-1.6676332,"('hostile', 'amicable')",-1.8215737,-1.5728228,0.27475166,0.29772216,-1.1336924,-0.9809113,-0.1527811
71,1.7870917,1.8754942,"('diffident', 'self-confident')",0.6332645,0.6255344,0.42370954,0.4320195,0.948022,0.9776827,-0.0296607
60,1.4440292,1.5492629,"('inefficient', 'efficient')",1.8836355,1.7267704,-0.12397267,0.103377186,1.0678974,1.1264702,-0.0585728
44,-1.4340442,-1.595747,"('prejudiced', 'unprejudiced')",-1.0539827,-1.0434672,-1.6014693,-1.6883087,-1.3631655,-1.4425076,0.0793421
73,1.4187495,1.4524161,"('helpless', 'self-reliant')",0.5751526,0.5700005,-2.9145286,-2.821838,-0.3068755,-0.2664738,-0.0404017
29,-1.3686976,-1.3058224,"('unfair', 'fair')",-0.8239522,-1.0092922,-0.5652345,-0.60319054,-0.9192948,-0.9727683,0.0534735
74,1.3106096,1.2802117,"('undedicated', 'dedicated')",0.9028076,0.729654,0.17592862,0.261222,0.7964485,0.7570292,0.0394193
52,-1.2725674,-1.1870942,"('irrational', 'rational')",-0.52720875,-0.5163575,-0.024885816,-0.11684416,-0.6082206,-0.6067653,-0.0014553
10,1.2650712,0.9746549,"('unsympathetic', 'sympathetic')",0.44156697,0.06781057,-0.17211664,-0.23284714,0.5115072,0.2698728,0.2416344
12,1.2558551,1.0038289,"('unsupportive', 'supportive')",0.6301145,0.45928746,-1.3496022,-1.2159737,0.1787891,0.0823809,0.0964082
84,1.2319425,1.1526043,"('inferior', 'superior')",0.65524894,0.59945554,0.9896207,1.081456,0.9589374,0.9445053,0.0144321
16,-1.2265292,-1.2145008,"('unpopular', 'popular')",-0.11875403,-0.106242895,0.78156024,0.5994501,-0.1879077,-0.2404312,0.0525235
35,-1.192641,-1.1020149,"('corrupt', 'incorrupt')",-1.1820809,-0.81480163,-0.4581045,-0.3590287,-0.9442755,-0.758615,-0.1856605
39,1.156917,1.1637505,"('exploitative', 'cooperative')",0.23700991,0.33251715,-0.31050313,0.03192274,0.3611412,0.5093968,-0.1482556
6,-1.1449217,-0.87476414,"('distant', 'open')",-1.1099132,-1.0195371,0.37888697,0.43466163,-0.625316,-0.4865465,-0.1387695
26,1.1414952,1.5236269,"('hardhearted', 'benevolent')",0.9815877,0.9313443,1.5843289,1.8291538,1.2358039,1.4280418,-0.1922379
