,pinnacle_male,pinnacle_female,tuple,west_male,west_female,capital_male,capital_female,corp_male,corp_female,average_male,average_female,male-female
31,-2.2618098,-3.5155613,"('evil', 'good')",-1.749601,-1.8005381,0.10273448,0.13429137,-1.1333191,-1.2578633,-1.2604988,-1.6099179,0.3494191
35,-1.9798901,-2.9765193,"('corrupt', 'incorrupt')",-1.2814369,-1.2396859,-0.25918067,-0.2661704,-0.74098396,-0.7715743,-1.0653729,-1.3134875,0.2481146
46,1.9736743,2.7707005,"('uncompetitive', 'competitive')",1.1535361,0.9115254,-0.11812425,-0.32854798,-0.7622291,-0.8323464,0.5617143,0.6303329,-0.0686186
12,1.9388944,2.1274047,"('unsupportive', 'supportive')",1.0331825,1.0084023,1.4435852,1.229252,-1.872036,-1.9652734,0.6359065,0.5999464,0.0359601
63,1.9223344,2.4227684,"('unperceptive', 'insightful')",1.2726572,1.3593969,0.80435693,0.68510586,0.86764497,0.7874458,1.2167484,1.3136792,-0.0969308
75,-1.8611361,-2.362232,"('meek', 'impulsive')",-0.52881265,-0.44880375,0.39509818,0.4146046,-0.62046003,-0.43171433,-0.6538277,-0.7070363,0.0532086
23,1.8535367,2.811293,"('insincere', 'sincere')",0.9112874,0.99330974,-0.071614385,-0.010365257,5.848933,5.965002,2.1355357,2.4398098,-0.3042741
39,1.8226082,1.7766016,"('exploitative', 'cooperative')",2.2156546,2.0193489,0.519767,0.6881745,0.003919365,0.090371095,1.1404873,1.1436241,-0.0031368
36,-1.8106242,-3.0615838,"('hostile', 'amicable')",-1.4036385,-1.6701477,0.5188774,0.16340378,0.025395881,-0.32031915,-0.6674974,-1.2221617,0.5546643
4,-1.773153,-2.3520103,"('disliked', 'liked')",-0.88546866,-0.7824184,-0.13253665,-0.19671337,-7.273802,-7.295043,-2.5162401,-2.6565461,0.140306
6,-1.7692901,-2.7965274,"('distant', 'open')",-1.3583021,-1.3988185,1.1312217,1.0705278,-0.24555087,-0.2736631,-0.5604804,-0.8496203,0.2891399
