,dean_male,dean_female,tuple,foods_male,foods_female,co_male,co_female,average_male,average_female,male-female
31,-3.8571374,-3.3215065,"('evil', 'good')",-0.06726198,-0.07698956,-0.82174426,-0.8437801,-1.5820479,-1.4140921,-0.1679558
36,-3.616679,-3.0829778,"('hostile', 'amicable')",-0.44865647,-0.48331088,-0.11444913,-0.27812368,-1.3932614,-1.2814708,-0.1117906
46,3.406974,3.1862235,"('uncompetitive', 'competitive')",-0.20071933,-0.2072593,-1.0149769,-0.6995026,0.730426,0.7598206,-0.0293946
29,-2.5958986,-2.1748347,"('unfair', 'fair')",-0.8413828,-0.7405925,-1.0998775,-0.97754425,-1.5123863,-1.2976572,-0.2147291
6,-2.5152125,-2.251759,"('distant', 'open')",0.54056174,0.5947498,-0.012206897,-0.10260473,-0.6622859,-0.586538,-0.0757479
81,2.4521532,2.0118964,"('submissive', 'aggressive')",0.07192018,0.026487097,-1.0081497,-0.76255584,0.5053079,0.4252759,0.080032
60,2.4315603,1.9323907,"('inefficient', 'efficient')",0.23791319,0.34279045,-0.3293587,0.16904636,0.7800382,0.8147425,-0.0347043
5,-2.3732588,-2.093856,"('distant', 'outgoing')",0.6617341,0.72001135,-0.4589187,-0.4527282,-0.7234812,-0.6088576,-0.1146236
4,-2.3677602,-2.0951884,"('disliked', 'liked')",0.50065506,0.52843857,-7.033688,-7.113395,-2.966931,-2.8933818,-0.0735492
62,2.3657887,2.2783039,"('incompetent', 'brilliant')",0.3604801,0.52524203,-0.26242194,0.05722566,0.8212823,0.9535906,-0.1323083
23,2.3283277,2.2625513,"('insincere', 'sincere')",-0.4932444,-0.50620955,5.6590767,5.902767,2.4980532,2.5530364,-0.0549832
35,-2.2194183,-2.0075717,"('corrupt', 'incorrupt')",-0.5573931,-0.54401255,-0.4855065,-0.68523103,-1.0874393,-1.0789384,-0.0085009
44,-2.1665132,-2.017262,"('prejudiced', 'unprejudiced')",-1.0972342,-0.9269384,-1.5930402,-1.466286,-1.6189292,-1.4701621,-0.1487671
10,2.0662086,1.6727105,"('unsympathetic', 'sympathetic')",-0.64330816,-0.6322375,-0.3989994,-0.037809264,0.3413003,0.3342212,0.0070791
21,2.0620964,1.7860763,"('immoral', 'moral')",0.3743779,0.31908092,-1.0111951,-0.70963067,0.4750931,0.4651755,0.0099176
39,2.048867,2.0712354,"('exploitative', 'cooperative')",0.57309014,0.63922983,0.34015328,0.4552033,0.9873701,1.0552228,-0.0678527
77,1.9894094,1.5972042,"('unmotivated', 'motivated')",-0.38973296,-0.56674594,-1.3180767,-1.193498,0.0938666,-0.0543466,0.1482132
55,1.9287401,1.733043,"('incompetent', 'clever')",-0.09003838,-0.083408564,-0.28956595,0.028140413,0.5163786,0.5592583,-0.0428797
56,1.8987706,1.8090072,"('impractical', 'practical')",0.95027405,1.1159273,-0.38581195,-0.081381,0.8210775,0.9478511,-0.1267736
69,-1.8808451,-1.8382047,"('lazy', 'industrious')",1.050123,1.0371337,-0.6127835,-0.770452,-0.4811685,-0.523841,0.0426725
74,1.8711705,1.8964312,"('undedicated', 'dedicated')",0.45252594,0.38649923,0.028477348,0.060202666,0.7840579,0.7810443,0.0030136
85,-1.8467184,-1.8468671,"('insignificant', 'prestigious')",0.95583755,0.65815836,-0.07150652,-0.5023092,-0.3207958,-0.5636727,0.2428769
67,1.8227949,1.5353267,"('doubtful', 'determined')",0.4684204,0.61332417,-0.10182968,-0.06780147,0.7297952,0.6936165,0.0361787
52,-1.8174012,-1.5964383,"('irrational', 'rational')",0.5405705,0.29765344,-0.24675348,-0.68073666,-0.5078614,-0.6598405,0.1519791
13,1.7794799,1.9710115,"('impolite', 'polite')",0.64372814,0.86662024,-0.06903183,0.26157492,0.7847254,1.0330689,-0.2483435
76,1.7286755,1.7202573,"('anxious', 'daring')",-0.8992336,-0.73795354,-0.41631433,0.019882496,0.1377092,0.3340621,-0.1963529
16,-1.7099073,-1.4784191,"('unpopular', 'popular')",-0.45081967,-0.4505966,0.1735174,0.18470027,-0.6624032,-0.5814385,-0.0809647
43,1.6868061,1.8177587,"('irresponsible', 'responsible')",0.056613967,0.20134747,0.3236205,0.6688048,0.6890135,0.8959703,-0.2069568
7,1.6133595,1.6341206,"('insensitive', 'sensitive')",-0.49787506,-0.35153493,0.14084734,0.4538216,0.4187772,0.5788024,-0.1600252
73,1.5882692,2.0117214,"('helpless', 'self-reliant')",0.7841978,0.91056085,-3.4570868,-3.474164,-0.3615399,-0.1839606,-0.1775793
80,1.556673,1.1223557,"('dominated', 'dominating')",-0.14004904,-0.15162839,-0.6985997,-0.63843846,0.2393415,0.110763,0.1285785
86,1.5364528,1.2437721,"('uninfluential', 'influential')",-0.15663756,-0.30231878,-0.44258118,-0.40765026,0.3124113,0.1779344,0.1344769
79,-1.5006996,-1.3498119,"('wavering', 'unwavering')",0.57032424,0.5444114,-0.37238738,-0.44590935,-0.4342542,-0.4171033,-0.0171509
12,1.4700928,1.6356554,"('unsupportive', 'supportive')",0.8626298,0.77366936,-2.0562067,-2.0445547,0.092172,0.12159,-0.029418
51,1.435632,1.2542695,"('uneducated', 'educated')",-0.33193737,-0.5306791,0.01636338,-0.030251835,0.3733527,0.2311128,0.1422399
30,1.4108336,1.5613612,"('intolerant', 'tolerant')",-0.05059421,0.025617026,0.20844717,0.41478437,0.5228955,0.6672542,-0.1443587
70,1.393557,1.4336467,"('lethargic', 'energetic')",-0.3826002,-0.25660846,0.13710009,0.55633473,0.3826856,0.577791,-0.1951054
25,-1.3474942,-1.3826833,"('egoistic', 'altruistic')",1.1029963,0.9535093,1.36219,1.099697,0.372564,0.2235077,0.1490563
75,-1.3267547,-1.0272546,"('meek', 'impulsive')",-0.6679939,-0.5829777,-0.3778023,-0.35058883,-0.7908503,-0.6536071,-0.1372432
11,1.312439,1.2564585,"('unhelpful', 'helpful')",-0.18912742,-0.15281014,1.929488,2.0546966,1.0175998,1.0527817,-0.0351819
48,1.2230244,0.9308986,"('unintelligent', 'intelligent')",0.324669,0.08498436,-0.33837628,-0.352406,0.4031057,0.221159,0.1819467
63,1.2077998,1.0801586,"('unperceptive', 'insightful')",0.95044774,0.84065247,0.18672904,0.40368977,0.7816588,0.7748336,0.0068252
15,-1.1905261,-1.0664606,"('boring', 'funny')",0.49939087,0.61792856,0.29833704,0.34304342,-0.1309327,-0.0351629,-0.0957698
37,1.1902443,1.1875083,"('fake', 'genuine')",0.27115026,0.38604787,0.46251732,0.5370134,0.6413039,0.7035232,-0.0622193
65,1.184543,1.1284411,"('insecure', 'secure')",-1.0901642,-1.0327382,-0.422047,-0.060924836,-0.1092227,0.0115927,-0.1208154
24,1.102418,1.1826158,"('dishonest', 'honest')",-0.15943405,-0.14410385,0.64790404,0.851025,0.530296,0.6298456,-0.0995496
84,1.0704796,1.1387215,"('inferior', 'superior')",0.37689167,0.3991888,0.35953802,0.32703856,0.6023031,0.6216496,-0.0193465
3,1.0542508,1.0827482,"('repellent', 'pleasant')",-1.7508103,-1.6096615,-0.0038182298,0.20622541,-0.2334592,-0.106896,-0.1265632
0,1.0038921,0.8221607,"('unsociable', 'sociable')",0.3845467,0.43839526,-0.440605,-0.19602503,0.3159446,0.3548437,-0.0388991
