,pitney_male,pitney_female,tuple,bowes_male,bowes_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.8327163,-1.9616125,"('unfriendly', 'friendly')",-1.3172745,-1.4238166,1.6505535,1.6260563,-0.4998124,-0.5864575,0.0866451
69,1.7975858,2.176086,"('lazy', 'industrious')",0.7149259,0.8363728,-1.0493317,-1.0968407,0.4877267,0.6385394,-0.1508127
10,-1.653338,-2.1566517,"('unsympathetic', 'sympathetic')",-1.6261232,-1.6741573,0.5869889,0.7382517,-0.8974907,-1.0308525,0.1333618
21,-1.5876948,-1.8722626,"('immoral', 'moral')",-0.83056056,-0.86035997,-1.1944999,-1.3335805,-1.2042518,-1.355401,0.1511492
18,-1.5482665,-1.4893963,"('disagreeable', 'welcoming')",-0.51821315,-0.37831348,-0.6761456,-0.736774,-0.9142084,-0.8681613,-0.0460471
32,-1.5262786,-1.7204887,"('unkind', 'kind')",-1.1048235,-1.0056933,1.2092541,1.0991929,-0.4739493,-0.5423297,0.0683804
3,-1.443585,-1.5879034,"('repellent', 'pleasant')",-1.5505519,-1.6676204,0.021877736,0.049053542,-0.990753,-1.0688234,0.0780704
77,-1.4181614,-1.523668,"('unmotivated', 'motivated')",-2.1152022,-2.212596,-1.240692,-1.3322462,-1.5913518,-1.6895034,0.0981516
23,-1.3922337,-1.5289313,"('insincere', 'sincere')",-1.3168253,-1.1842612,5.87217,5.884213,1.0543703,1.0570068,-0.0026365
43,-1.3876898,-1.6928077,"('irresponsible', 'responsible')",-0.84270436,-0.89257145,0.9323659,1.0016233,-0.4326761,-0.5279186,0.0952425
86,-1.3716892,-1.6938329,"('uninfluential', 'influential')",-1.298447,-1.3627125,0.071536936,0.13924375,-0.8661997,-0.9724338,0.1062341
35,1.3351976,1.838907,"('corrupt', 'incorrupt')",1.123247,1.3392957,-0.610786,-0.4414789,0.6158862,0.9122412,-0.296355
65,-1.3140984,-1.5159129,"('insecure', 'secure')",-0.5781282,-0.46390405,-0.33059466,-0.44119555,-0.7409404,-0.8070041,0.0660637
88,-1.265088,-1.457162,"('low', 'eminent')",-1.2147087,-1.2703042,0.15458423,0.3222358,-0.7750708,-0.8017434,0.0266726
48,-1.236526,-1.5657752,"('unintelligent', 'intelligent')",-1.3268212,-1.505209,0.3856006,0.54320276,-0.7259156,-0.8425938,0.1166782
27,-1.2332021,-1.1359521,"('hardhearted', 'softhearted')",-0.20525588,-0.084951535,1.4951572,1.4428241,0.0188998,0.0739735,-0.0550737
28,-1.1086626,-1.3296639,"('disloyal', 'loyal')",-1.5727059,-1.5705048,1.7405002,1.9934648,-0.3136227,-0.3022346,-0.0113881
75,1.0728985,1.5602527,"('meek', 'impulsive')",0.6043746,0.6379313,-0.6537514,-0.6091501,0.3411739,0.5296779,-0.188504
78,-1.0705459,-1.2155807,"('nonresilient', 'resilient')",-1.0434391,-1.0145599,0.72525775,0.81993663,-0.4629091,-0.470068,0.0071589
63,-1.0021425,-1.1156327,"('unperceptive', 'insightful')",-0.58376807,-0.38770407,1.5149982,1.3992333,-0.0236375,-0.0347011,0.0110636
11,-0.94434094,-1.0029149,"('unhelpful', 'helpful')",-0.41929248,-0.2230694,2.4371996,2.6675951,0.3578554,0.4805369,-0.1226815
72,-0.9396165,-1.0663272,"('unambitious', 'ambitious')",-0.8942348,-1.0264698,-1.01386,-0.89077604,-0.9492371,-0.9945243,0.0452872
62,-0.907272,-1.2912064,"('incompetent', 'brilliant')",-0.8084969,-0.87815124,0.2946076,0.07857039,-0.4737204,-0.6969291,0.2232087
9,-0.8817224,-0.93542844,"('unaffectionate', 'caring')",-0.8527888,-0.91489965,1.1610594,1.2064015,-0.1911506,-0.2146422,0.0234916
26,-0.87529016,-0.76358753,"('hardhearted', 'benevolent')",-0.6826886,-0.44286177,1.623094,1.915475,0.0217051,0.2363419,-0.2146368
73,0.8612512,1.1399084,"('helpless', 'self-reliant')",0.887463,0.9076029,-3.0572991,-3.1204271,-0.436195,-0.3576386,-0.0785564
39,-0.8415647,-0.94084865,"('exploitative', 'cooperative')",-0.046786092,-0.037811257,0.0067585334,-0.16436127,-0.2938641,-0.3810071,0.087143
53,-0.8361771,-0.731568,"('uncreative', 'creative')",-1.1026688,-0.88886935,1.3316829,1.4504629,-0.2023877,-0.0566581,-0.1457296
57,-0.82496643,-0.74904144,"('unimaginative', 'imaginative')",-0.80960727,-0.55512667,-1.977257,-1.6893556,-1.2039436,-0.9978412,-0.2061024
68,-0.81550455,-0.91974384,"('dependent', 'independent')",-0.8523168,-1.0323578,-0.46852452,-0.75206786,-0.7121153,-0.9013898,0.1892745
24,-0.7877317,-1.1364496,"('dishonest', 'honest')",-0.64504474,-0.83366215,1.2959514,1.2362741,-0.0456084,-0.2446125,0.1990041
49,-0.7840286,-0.88506556,"('unable', 'able')",-0.76853734,-0.77626467,-0.1664254,-0.34346348,-0.5729971,-0.6682645,0.0952674
12,-0.7244777,-0.7627467,"('unsupportive', 'supportive')",-0.25474247,-0.12405233,-1.4087014,-1.3195629,-0.7959739,-0.735454,-0.0605199
