,range_male,range_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,male-female
56,2.5332625,2.1523736,"('impractical', 'practical')",1.4688044,1.6661286,-0.38440615,-0.23865518,1.2058868,1.1932824,0.0126044
5,-2.2705894,-1.7562969,"('distant', 'outgoing')",-0.5906705,-0.6386287,-0.8671366,-0.7040586,-1.2427988,-1.0329947,-0.2098041
60,2.2365332,1.9234982,"('inefficient', 'efficient')",1.8644724,2.2896457,0.3587965,0.5840404,1.4866007,1.5990613,-0.1124606
6,-2.152235,-1.5669752,"('distant', 'open')",-1.2120785,-1.3265473,-0.47223312,-0.28573596,-1.2788489,-1.0597528,-0.2190961
36,-2.115787,-1.6089038,"('hostile', 'amicable')",-2.5562313,-2.8290503,-0.2938633,-0.33668092,-1.6552938,-1.5915449,-0.0637489
31,-2.0363588,-1.4761677,"('evil', 'good')",-1.5890136,-1.7784519,-1.1669635,-1.0967888,-1.5974453,-1.4504695,-0.1469758
21,1.8737905,1.3745011,"('immoral', 'moral')",1.473046,1.4628211,-0.15338978,-0.2825526,1.0644823,0.8515898,0.2128925
23,1.7804834,1.4821389,"('insincere', 'sincere')",1.166417,1.3543382,6.5507584,6.543878,3.1658862,3.126785,0.0391012
13,1.7106063,1.364757,"('impolite', 'polite')",0.4136408,0.49627954,-0.5364459,-0.49139053,0.5292671,0.4565487,0.0727184
55,1.6226434,0.81569386,"('incompetent', 'clever')",0.6316706,0.6633085,0.63724655,0.65419286,0.9638535,0.7110651,0.2527884
39,1.6046846,1.7699497,"('exploitative', 'cooperative')",0.0034164675,0.088140555,0.2213296,0.15965596,0.6098102,0.6725821,-0.0627719
7,1.5343992,1.3065689,"('insensitive', 'sensitive')",0.8729906,1.0212553,0.5409552,0.6713999,0.9827816,0.9997413,-0.0169597
43,1.5092939,1.2605222,"('irresponsible', 'responsible')",0.458238,0.74279267,0.51808053,0.6596664,0.8285375,0.8876605,-0.059123
30,1.5086805,1.1082872,"('intolerant', 'tolerant')",1.1028485,1.1353914,0.5521428,0.61249286,1.0545572,0.9520571,0.1025001
62,1.4968053,1.001674,"('incompetent', 'brilliant')",0.95234996,1.0472792,0.3081883,0.3994615,0.9191145,0.8161383,0.1029762
71,1.3548206,1.4559591,"('diffident', 'self-confident')",1.0646529,1.1374322,0.36708543,0.43809834,0.928853,1.0104966,-0.0816436
44,-1.3266333,-1.1287366,"('prejudiced', 'unprejudiced')",-0.6318251,-0.52180636,-0.9788991,-0.94010675,-0.9791191,-0.8635499,-0.1155692
35,-1.3088994,-0.85034597,"('corrupt', 'incorrupt')",-1.3643625,-1.5731122,-0.7380865,-0.7684587,-1.1371161,-1.0639723,-0.0731438
85,-1.2961473,-0.5606031,"('insignificant', 'prestigious')",-0.34433788,-0.77175605,-0.53864896,-0.57913876,-0.7263781,-0.6371659,-0.0892122
46,1.2818909,0.6818724,"('uncompetitive', 'competitive')",1.4544424,1.6076828,-0.6045088,-0.7537333,0.7106082,0.5119407,0.1986675
45,1.2447146,1.0040634,"('incompetent', 'competent')",0.7032084,0.83395,0.08953363,0.058644086,0.6791522,0.6322192,0.046933
28,1.2404487,1.1439664,"('disloyal', 'loyal')",0.42567727,0.38056207,1.0926622,1.2280023,0.919596,0.9175103,0.0020857
65,1.2301309,0.7888254,"('insecure', 'secure')",0.2522572,0.41923955,0.21741413,0.27680477,0.5666008,0.4949566,0.0716442
14,1.1711965,0.839485,"('antisocial', 'social')",0.92660415,1.0053145,-0.07878737,-0.13593076,0.6730045,0.5696229,0.1033816
48,1.1648498,0.7904808,"('unintelligent', 'intelligent')",1.0649744,1.0162908,0.68866503,0.60428375,0.9728297,0.8036851,0.1691446
74,1.1392862,1.093794,"('undedicated', 'dedicated')",0.43781722,0.58695203,-0.52636975,-0.3740548,0.3502445,0.4355638,-0.0853193
81,1.1362282,0.42391965,"('submissive', 'aggressive')",1.3665286,1.4866103,-0.36012572,-0.24754234,0.7142104,0.5543292,0.1598812
77,1.0837357,0.7459698,"('unmotivated', 'motivated')",1.3988049,1.4778877,-1.1849406,-1.1683505,0.4325333,0.3518356,0.0806977
52,-1.0591207,-0.6502089,"('irrational', 'rational')",-0.3642947,-0.6894869,-0.15282592,-0.30114275,-0.5254138,-0.5469462,0.0215324
