,murphy_male,murphy_female,tuple,oil_male,oil_female,corp_male,corp_female,average_male,average_female,male-female
74,1.7307881,1.7749606,"('undedicated', 'dedicated')",0.027757678,-0.016919836,-0.036764987,-0.20345908,0.5739269,0.5181939,0.055733
12,1.5373411,1.5385468,"('unsupportive', 'supportive')",1.2989447,1.1383414,-1.4618777,-1.6857651,0.458136,0.3303744,0.1277616
71,1.3726733,1.0079409,"('diffident', 'self-confident')",1.8240417,1.6855524,0.5773425,0.4762454,1.2580191,1.0565796,0.2014395
25,1.3045119,0.77988225,"('egoistic', 'altruistic')",1.2365777,0.94403684,0.9663217,0.81871843,1.1691371,0.8475459,0.3215912
16,-1.2527356,-1.439612,"('unpopular', 'popular')",0.020377472,-0.06875672,0.2826561,0.21651673,-0.3165673,-0.4306173,0.11405
9,1.2438363,0.9176119,"('unaffectionate', 'caring')",0.7327347,0.4911142,0.98111725,0.9916741,0.9858961,0.8001334,0.1857627
17,-1.2358919,-1.0615228,"('nasty', 'nice')",-1.6156743,-1.4999676,-0.7944606,-0.7897676,-1.2153423,-1.1170861,-0.0982562
33,1.211947,0.74457365,"('wrong', 'right')",1.45736,1.2425679,-0.6979137,-0.82975614,0.6571311,0.3857952,0.2713359
49,-1.1830521,-0.9624632,"('unable', 'able')",-0.44711357,-0.22175479,-0.63254577,-0.3394514,-0.7542371,-0.5078898,-0.2463473
47,-1.1376262,-0.7698904,"('stupid', 'smart')",0.63017905,0.73474956,4.9478636,5.3191667,1.4801388,1.7613419,-0.2812031
39,1.1323334,0.8384967,"('exploitative', 'cooperative')",-0.46653166,-0.53315455,0.079510614,0.12035514,0.2484375,0.1418991,0.1065384
23,1.0860809,1.1738033,"('insincere', 'sincere')",0.28129724,0.26842293,5.6357813,5.9172487,2.3343865,2.4531584,-0.1187719
82,-1.0826188,-0.47097602,"('poor', 'rich')",-0.28674456,-0.093730494,6.208104,6.710954,1.6129136,2.0487493,-0.4358357
27,0.91574943,0.63611025,"('hardhearted', 'softhearted')",0.3983321,0.1730309,1.036064,0.9036568,0.7833819,0.5709326,0.2124493
73,0.8957458,0.8465619,"('helpless', 'self-reliant')",0.7924485,0.6472613,-3.4291394,-3.5267038,-0.580315,-0.6776268,0.0973118
72,0.8684472,0.8955318,"('unambitious', 'ambitious')",0.33544633,0.33480918,-0.5301769,-0.35694975,0.2245722,0.2911304,-0.0665582
1,0.8668297,0.45549887,"('unfriendly', 'friendly')",1.1445602,0.7458998,0.73833716,0.6547847,0.9165757,0.6187278,0.2978479
44,-0.8510833,-0.86476004,"('prejudiced', 'unprejudiced')",-0.9230398,-0.78588015,-1.2553531,-1.1340344,-1.0098254,-0.9282249,-0.0816005
28,0.8180755,0.77649415,"('disloyal', 'loyal')",0.21499002,0.027619664,1.1855642,1.1075616,0.7395433,0.6372252,0.1023181
56,0.80733454,1.2888166,"('impractical', 'practical')",0.6686945,0.86115754,-0.4655283,-0.21128514,0.3368336,0.6462297,-0.3093961
31,-0.79609257,-1.1895163,"('evil', 'good')",-0.78899014,-0.9607386,-1.604389,-1.7099288,-1.0631572,-1.2867279,0.2235707
6,-0.79441315,-0.7892598,"('distant', 'open')",-0.09517733,-0.13657428,-0.9631517,-0.7746585,-0.6175807,-0.5668309,-0.0507498
79,0.7922507,0.634637,"('wavering', 'unwavering')",-0.66609377,-0.7938887,-0.46916577,-0.5027943,-0.1143363,-0.220682,0.1063457
