,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.704854,-1.4232632,"('unimaginative', 'imaginative')",-3.5093155,-3.020547,-2.6070848,-2.221905,-0.3851798
86,-1.6686383,-1.5049595,"('uninfluential', 'influential')",-0.17902052,0.14651054,-0.9238294,-0.6792245,-0.2446049
53,-1.64211,-1.6057342,"('uncreative', 'creative')",0.1659823,0.0653787,-0.7380638,-0.7701778,0.032114
45,-1.5356121,-1.4195256,"('incompetent', 'competent')",-0.12215199,0.14320143,-0.828882,-0.6381621,-0.1907199
10,-1.5209135,-1.5429075,"('unsympathetic', 'sympathetic')",-0.18318917,0.14795186,-0.8520513,-0.6974778,-0.1545735
28,-1.268644,-1.2172111,"('disloyal', 'loyal')",0.9523917,0.9771708,-0.1581261,-0.1200202,-0.0381059
1,-1.2401133,-1.151394,"('unfriendly', 'friendly')",1.2631711,0.77043927,0.0115289,-0.1904774,0.2020063
68,-1.0316484,-0.8711452,"('dependent', 'independent')",-0.68165505,-0.6113598,-0.8566517,-0.7412525,-0.1153992
8,-0.99883395,-1.0021117,"('unaffectionate', 'affectionate')",0.75756925,0.33602843,-0.1206324,-0.3330416,0.2124092
18,-0.94680184,-0.72986287,"('disagreeable', 'welcoming')",-0.48954916,-0.6582376,-0.7181755,-0.6940502,-0.0241253
0,-0.91538835,-0.7232022,"('unsociable', 'sociable')",-0.14761624,0.10872093,-0.5315023,-0.3072407,-0.2242616
70,-0.87171215,-0.8582475,"('lethargic', 'energetic')",0.561375,0.9651113,-0.1551686,0.0534319,-0.2086005
6,-0.86780334,-0.8526125,"('distant', 'open')",-0.44412124,-0.82554054,-0.6559623,-0.8390765,0.1831142
22,-0.80954885,-0.5676154,"('untrustworthy', 'trustworthy')",-0.8702097,-0.6494214,-0.8398793,-0.6085184,-0.2313609
21,-0.79678625,-0.74684155,"('immoral', 'moral')",-0.23326921,-0.022914499,-0.5150278,-0.384878,-0.1301498
43,-0.7913413,-0.71645933,"('irresponsible', 'responsible')",0.45131022,0.6814401,-0.1700155,-0.0175096,-0.1525059
9,-0.7910798,-0.7586906,"('unaffectionate', 'caring')",1.0883511,0.83189183,0.1486357,0.0366006,0.1120351
73,0.7905463,0.71482027,"('helpless', 'self-reliant')",-3.7067337,-3.848903,-1.4580936,-1.5670414,0.1089478
48,-0.75866735,-0.71649826,"('unintelligent', 'intelligent')",0.46564284,0.5662731,-0.1465123,-0.0751126,-0.0713997
13,-0.7559695,-0.6279725,"('impolite', 'polite')",-0.5871663,-0.35260254,-0.6715679,-0.4902875,-0.1812804
46,-0.74429244,-0.5931787,"('uncompetitive', 'competitive')",-0.82327354,-0.4063463,-0.783783,-0.4997625,-0.2840205
83,0.73494947,0.8103255,"('powerless', 'powerful')",-1.0996215,-0.7782093,-0.182336,0.0160581,-0.1983941
41,-0.73375076,-0.9576787,"('unforgiving', 'forgiving')",-0.20697215,-0.41164443,-0.4703615,-0.6846616,0.2143001
24,-0.7255558,-0.5271587,"('dishonest', 'honest')",0.4917737,0.4412012,-0.116891,-0.0429787,-0.0739123
55,-0.72217697,-0.52566296,"('incompetent', 'clever')",0.37675846,0.7462126,-0.1727093,0.1102748,-0.2829841
11,-0.6821684,-0.67703575,"('unhelpful', 'helpful')",1.5420171,1.7934983,0.4299243,0.5582312,-0.1283069
63,-0.6561209,-0.8097136,"('unperceptive', 'insightful')",0.7314139,0.9304897,0.0376465,0.0603881,-0.0227416
37,-0.6375975,-0.8538374,"('fake', 'genuine')",0.3597541,0.27923706,-0.1389217,-0.2873002,0.1483785
38,-0.6311132,-0.6272596,"('untruthful', 'truthful')",-0.4557346,-0.4528923,-0.5434239,-0.540076,-0.0033479
5,-0.6070304,-0.6081478,"('distant', 'outgoing')",-0.73133934,-1.0259775,-0.6691849,-0.8170626,0.1478777
74,-0.55628365,-0.55914927,"('undedicated', 'dedicated')",-0.3742634,-0.28356573,-0.4652735,-0.4213575,-0.043916
19,-0.53925556,-0.7151562,"('inhospitable', 'hospitable')",-0.5308048,-0.7541189,-0.5350302,-0.7346376,0.1996074
82,-0.52822495,-0.49744296,"('poor', 'rich')",6.9938707,7.0977235,3.2328229,3.3001404,-0.0673175
65,-0.5226923,-0.43107018,"('insecure', 'secure')",0.040504105,0.4852811,-0.2410941,0.0271055,-0.2681996
84,0.50941366,0.3206915,"('inferior', 'superior')",0.59239215,0.43716004,0.5509029,0.3789258,0.1719771
39,0.50364065,0.6580265,"('exploitative', 'cooperative')",0.20199011,0.3983057,0.3528154,0.5281661,-0.1753507
58,-0.4921372,-0.3902132,"('undiscriminating', 'discriminating')",0.07479523,0.0419073,-0.208671,-0.1741529,-0.0345181
