,cnx_male,cnx_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,male-female
1,-1.7862073,-1.965224,"('unfriendly', 'friendly')",-0.08288632,-0.34317365,0.7507982,0.37049437,-0.3727651,-0.6459678,0.2732027
84,1.5537343,1.4502548,"('inferior', 'superior')",1.173688,1.2211157,0.9882469,0.98584175,1.2385564,1.2190708,0.0194856
0,-1.256824,-1.3169001,"('unsociable', 'sociable')",0.05889301,-0.009588059,0.2829947,0.64358413,-0.3049788,-0.2276347,-0.0773441
39,1.173141,1.1616136,"('exploitative', 'cooperative')",-0.10355146,0.03561921,0.078615196,0.19202621,0.3827349,0.4630864,-0.0803515
31,-1.116908,-1.052311,"('evil', 'good')",-1.1095442,-1.0404613,-1.9694365,-2.4175653,-1.3986295,-1.5034459,0.1048164
36,-1.0807686,-1.0238844,"('hostile', 'amicable')",-2.1592944,-2.1251068,-1.11534,-1.7082503,-1.451801,-1.6190805,0.1672795
27,-1.0738987,-1.2610704,"('hardhearted', 'softhearted')",-0.34274423,-0.39735377,0.8264121,0.5533033,-0.1967436,-0.3683736,0.17163
8,-1.0376425,-1.123739,"('unaffectionate', 'affectionate')",-0.7941036,-0.98506474,-0.2065596,-0.54004145,-0.6794353,-0.8829484,0.2035131
41,-1.0282958,-1.1395347,"('unforgiving', 'forgiving')",-0.28345293,-0.40320095,0.13330454,0.087325364,-0.3928147,-0.4851368,0.0923221
18,-1.0062025,-1.0715277,"('disagreeable', 'welcoming')",-1.0496615,-1.0600958,-0.755222,-0.947596,-0.9370286,-1.0264065,0.0893779
2,0.98180807,1.0198258,"('unlikable', 'likable')",0.73086697,0.7243501,0.72483885,0.50690615,0.8125046,0.7503606,0.062144
42,0.88438624,0.8991279,"('unreliable', 'reliable')",0.7930877,0.68962675,-2.0177948,-1.9906859,-0.1134403,-0.1339771,0.0205368
6,-0.88399196,-0.790082,"('distant', 'open')",-0.849408,-0.6434473,-1.3889616,-1.7282152,-1.0407871,-1.0539149,0.0131278
80,0.831413,0.90216804,"('dominated', 'dominating')",0.27087834,0.25406212,0.14525667,0.52776533,0.4158493,0.5613318,-0.1454825
38,-0.8150718,-0.690216,"('untruthful', 'truthful')",0.072169535,0.08692518,-0.04148534,0.060008086,-0.2614625,-0.1810942,-0.0803683
9,-0.8035352,-0.8734082,"('unaffectionate', 'caring')",0.37751812,0.05879995,0.8305692,0.5328847,0.1348507,-0.0939079,0.2287586
25,-0.7974545,-0.87833846,"('egoistic', 'altruistic')",0.25023812,0.22766763,0.33380854,-0.07699673,-0.0711359,-0.2425559,0.17142
78,-0.7784121,-0.97490925,"('nonresilient', 'resilient')",-0.03632035,-0.326651,0.051684823,0.20590024,-0.2543492,-0.36522,0.1108708
86,-0.7422071,-1.0014424,"('uninfluential', 'influential')",-0.046843603,-0.3491299,0.32196832,0.39425987,-0.1556941,-0.3187708,0.1630767
