,constellation_male,constellation_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
39,4.1389456,3.961022,"('exploitative', 'cooperative')",1.5797725,1.5223107,0.1880302,0.13484646,1.9689161,1.8727264,0.0961897
60,2.9769003,3.5841372,"('inefficient', 'efficient')",2.1245196,2.2106874,0.0021563796,-0.04409604,1.7011921,1.9169095,-0.2157174
6,-2.6409094,-3.0677934,"('distant', 'open')",-1.1881553,-1.3220435,0.38907576,0.46516827,-1.146663,-1.3082229,0.1615599
76,2.2898757,2.777033,"('anxious', 'daring')",1.2841241,1.4334147,0.5148511,0.44937208,1.3629503,1.5532734,-0.1903231
4,-2.261708,-2.7014377,"('disliked', 'liked')",-0.28737226,-0.5165724,-6.074986,-6.148537,-2.8746888,-3.1221825,0.2474937
36,-2.239586,-2.821999,"('hostile', 'amicable')",-2.176555,-2.3341951,-0.041779634,-0.10048078,-1.4859735,-1.7522249,0.2662514
5,-2.2230642,-2.5253403,"('distant', 'outgoing')",-0.75213087,-0.79109883,-0.19429532,-0.11115732,-1.0564968,-1.1425322,0.0860354
23,2.1021008,2.530135,"('insincere', 'sincere')",0.72228026,0.82667,5.3396387,5.204203,2.7213399,2.8536695,-0.1323296
65,2.094274,2.6124704,"('insecure', 'secure')",0.5454779,0.6795007,-0.56570655,-0.48015898,0.6913485,0.9372707,-0.2459222
31,-2.0886083,-2.6160126,"('evil', 'good')",-1.9971566,-2.1281605,-1.0533509,-1.055291,-1.7130386,-1.9331547,0.2201161
16,-1.9723924,-2.3230157,"('unpopular', 'popular')",-0.49997988,-0.5989702,0.5489008,0.53484803,-0.6411572,-0.7957126,0.1545554
52,-1.7904363,-2.2455692,"('irrational', 'rational')",-1.104266,-1.2343248,-0.26630825,-0.29024047,-1.0536702,-1.2567116,0.2030414
56,1.7812067,2.002914,"('impractical', 'practical')",1.7597352,1.77088,0.24189162,-0.004551206,1.2609445,1.2564143,0.0045302
10,1.7466048,2.3431027,"('unsympathetic', 'sympathetic')",0.51338285,0.6377405,-0.23813508,-0.44226658,0.6739508,0.8461922,-0.1722414
85,-1.6716286,-2.4313238,"('insignificant', 'prestigious')",-0.5142769,-0.7017218,0.8123445,0.7714809,-0.4578536,-0.7871882,0.3293346
