,jabil_male,jabil_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-1.8458136,-2.3712392,"('unfriendly', 'friendly')",1.1363184,1.2813199,-0.3547476,-0.5449597,0.1902121
53,-1.812891,-2.0626066,"('uncreative', 'creative')",0.36055735,0.49509263,-0.7261668,-0.783757,0.0575902
9,-1.6622332,-1.8004026,"('unaffectionate', 'caring')",0.68996596,0.88773584,-0.4861336,-0.4563334,-0.0298002
8,-1.4395936,-1.5073528,"('unaffectionate', 'affectionate')",0.45002046,0.7307597,-0.4947866,-0.3882966,-0.10649
6,-1.1868931,-1.8278997,"('distant', 'open')",-0.3024323,-0.08589136,-0.7446627,-0.9568955,0.2122328
86,-1.1721979,-2.089882,"('uninfluential', 'influential')",0.04023774,-0.48613587,-0.5659801,-1.2880089,0.7220288
19,-1.128313,-1.3220798,"('inhospitable', 'hospitable')",-0.42930305,-0.19126461,-0.778808,-0.7566722,-0.0221358
2,1.1153792,0.67394555,"('unlikable', 'likable')",0.43482187,0.26781973,0.7751005,0.4708827,0.3042178
5,-1.1139661,-1.5491014,"('distant', 'outgoing')",-0.7477897,-0.5538558,-0.9308779,-1.0514786,0.1206007
22,1.0984796,0.7372289,"('untrustworthy', 'trustworthy')",-0.4850713,-0.63803405,0.3067042,0.0495974,0.2571068
87,1.0869681,0.8804536,"('unsuccessful', 'successful')",1.050006,0.80216604,1.068487,0.8413098,0.2271772
28,-1.0474612,-0.8529217,"('disloyal', 'loyal')",0.76372206,0.85870117,-0.1418695,0.0028897,-0.1447592
71,-1.0258168,-1.3793391,"('diffident', 'self-confident')",0.107691646,0.20868146,-0.4590626,-0.5853288,0.1262662
38,-0.93835336,-1.1996092,"('untruthful', 'truthful')",-0.57345986,-0.56402093,-0.7559066,-0.8818151,0.1259085
59,0.93474257,0.9777982,"('foolish', 'wise')",-0.033514347,0.230144,0.4506141,0.6039711,-0.153357
66,-0.9308558,-1.2674224,"('inactive', 'active')",0.24455015,0.218691,-0.3431528,-0.5243657,0.1812129
