,goodrich_male,goodrich_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.5090449,-1.3790057,"('unfriendly', 'friendly')",1.1050055,1.1864477,-0.2020197,-0.096279,-0.1057407
73,1.447573,1.5828162,"('helpless', 'self-reliant')",-3.2771041,-3.2914479,-0.9147656,-0.8543158,-0.0604498
69,1.3743988,1.308518,"('lazy', 'industrious')",-0.7407102,-0.75789785,0.3168443,0.2753101,0.0415342
87,1.3422316,1.2277852,"('unsuccessful', 'successful')",1.0376934,0.9879482,1.1899625,1.1078668,0.0820957
31,-1.3259202,-1.6442792,"('evil', 'good')",-1.1419607,-1.2128932,-1.2339405,-1.4285862,0.1946457
6,-1.2855442,-1.0959998,"('distant', 'open')",-0.63493866,-0.49419117,-0.9602414,-0.7950955,-0.1651459
82,-1.1729308,-0.9903248,"('poor', 'rich')",6.272399,6.8072867,2.5497341,2.9084809,-0.3587468
62,1.1504494,1.2065022,"('incompetent', 'brilliant')",0.7380744,0.8223436,0.9442619,1.0144229,-0.070161
53,-1.1483208,-0.9397078,"('uncreative', 'creative')",0.33093604,0.5014034,-0.4086924,-0.2191522,-0.1895402
86,-1.1168156,-1.0928812,"('uninfluential', 'influential')",-0.31869352,-0.37908143,-0.7177545,-0.7359813,0.0182268
80,1.0611777,0.6994178,"('dominated', 'dominating')",-0.45419374,-0.9014879,0.303492,-0.101035,0.404527
36,-1.0051672,-1.0818708,"('hostile', 'amicable')",-0.49198642,-0.38893723,-0.7485768,-0.735404,-0.0131728
32,-0.9887386,-0.40594772,"('unkind', 'kind')",0.6325418,0.710014,-0.1780984,0.1520331,-0.3301315
52,-0.94668514,-0.51311195,"('irrational', 'rational')",-0.40500966,-0.17318182,-0.6758474,-0.3431469,-0.3327005
10,-0.92129344,-0.6262793,"('unsympathetic', 'sympathetic')",0.12613723,0.1291939,-0.3975781,-0.2485427,-0.1490354
3,-0.80598074,-0.4895618,"('repellent', 'pleasant')",0.8164357,0.9658808,0.0052275,0.2381595,-0.232932
27,-0.792535,-0.7240674,"('hardhearted', 'softhearted')",1.2865046,1.1757276,0.2469848,0.2258301,0.0211547
75,0.79138124,0.55029005,"('meek', 'impulsive')",-0.819205,-0.949771,-0.0139119,-0.1997405,0.1858286
77,-0.755064,-0.04279661,"('unmotivated', 'motivated')",-0.99456316,-0.76851684,-0.8748136,-0.4056567,-0.4691569
81,0.75481737,0.88961536,"('submissive', 'aggressive')",-0.34735155,-0.43925813,0.2037329,0.2251786,-0.0214457
