,express_male,express_female,tuple,scripts_male,scripts_female,holding_male,holding_female,co_male,co_female,average_male,average_female,male-female
85,-2.7260356,-2.0217357,"('insignificant', 'prestigious')",-1.105462,-1.0371133,0.041342247,0.31012565,-0.31525746,-0.3974473,-1.0263532,-0.7865427,-0.2398105
31,-2.4925036,-2.129884,"('evil', 'good')",-1.1863048,-1.2920988,-1.0682868,-1.4637578,-0.3943745,-0.9960734,-1.2853674,-1.4704534,0.185086
52,-2.2790856,-1.7958012,"('irrational', 'rational')",0.11004574,0.05798035,-0.59132814,-0.2026668,-0.33103183,-0.28073978,-0.77285,-0.5553069,-0.2175431
16,-2.2624552,-2.15911,"('unpopular', 'popular')",-1.2998667,-1.3597872,-1.3687623,-1.1326257,0.25667113,0.13868661,-1.1686033,-1.1282091,-0.0403942
59,-2.0738444,-1.7038883,"('foolish', 'wise')",-0.69380504,-0.5499154,-0.5155977,-0.21354394,0.05012186,-0.06596443,-0.8082813,-0.633328,-0.1749533
60,2.0562327,1.874066,"('inefficient', 'efficient')",1.5314057,1.7306613,0.5021865,0.47970223,-0.64135617,-0.17644511,0.8621171,0.9769962,-0.1148791
56,1.9983678,1.8257083,"('impractical', 'practical')",1.632193,1.8263626,0.94018537,0.9746815,-0.70385385,-0.35254768,0.9667231,1.0685512,-0.1018281
35,-1.9413596,-1.4620645,"('corrupt', 'incorrupt')",-1.2942501,-1.4134095,-1.6407583,-1.5305674,-0.43286997,-0.78230244,-1.3273095,-1.2970859,-0.0302236
70,1.7778352,0.99655735,"('lethargic', 'energetic')",0.4650629,0.4607953,0.66254854,0.45736253,0.66334265,0.6177414,0.8921974,0.6331142,0.2590832
62,1.7497835,1.158605,"('incompetent', 'brilliant')",1.4160349,1.562623,0.63027865,0.6768357,-0.25641057,0.15282965,0.8849216,0.8877234,-0.0028018
45,1.7379489,0.7727783,"('incompetent', 'competent')",1.3042195,1.0159975,1.8436501,1.0757493,0.26129034,0.18851955,1.2867773,0.7632611,0.5235162
46,1.7337902,1.1257846,"('uncompetitive', 'competitive')",0.34180126,0.35416546,0.8016322,0.23489605,-0.65260196,-0.3904658,0.5561554,0.3310951,0.2250603
13,1.6261774,1.4699881,"('impolite', 'polite')",0.58686006,0.7362649,0.10249303,0.112938724,-0.3223812,-0.101646274,0.4982873,0.5543864,-0.0560991
81,1.5509374,1.1331547,"('submissive', 'aggressive')",0.80013543,0.9257945,0.7777471,1.0354934,-0.5534313,-0.20694837,0.6438472,0.7218736,-0.0780264
