,boston_male,boston_female,tuple,properties_male,properties_female,inc_male,inc_female,average_male,average_female,male-female
39,2.7820368,2.5480523,"('exploitative', 'cooperative')",0.4021544,0.3584724,0.091599226,-0.008947813,1.0919302,0.9658589,0.1260713
24,1.9706811,2.418273,"('dishonest', 'honest')",-0.3619812,-0.15238637,0.94319224,1.0763153,0.8506307,1.1140672,-0.2634365
76,1.7086154,1.6134434,"('anxious', 'daring')",1.4238154,1.3030335,1.1169257,1.0001925,1.4164521,1.3055565,0.1108956
71,1.6922609,1.593128,"('diffident', 'self-confident')",2.03376,2.0836413,0.747006,0.636184,1.4910089,1.437651,0.0533579
31,-1.5956217,-1.0749075,"('evil', 'good')",-1.5330924,-1.2119381,-1.6317402,-1.351127,-1.5868181,-1.2126576,-0.3741605
73,1.5760098,1.5923657,"('helpless', 'self-reliant')",0.6630708,0.6743589,-3.5685635,-3.2957222,-0.443161,-0.3429992,-0.1001618
42,1.5103154,1.5712214,"('unreliable', 'reliable')",0.96377736,0.8512648,-2.2864313,-2.2086418,0.0625538,0.0712814,-0.0087276
74,1.4625372,1.7215831,"('undedicated', 'dedicated')",-0.68847215,-0.5760218,0.21785831,0.20286076,0.3306411,0.449474,-0.1188329
13,1.4300946,1.3757617,"('impolite', 'polite')",-0.27666324,-0.26749733,0.13714871,-0.03215958,0.4301934,0.3587016,0.0714918
60,1.3993502,1.1209028,"('inefficient', 'efficient')",0.67274046,0.545557,0.6802582,0.2860581,0.9174496,0.6508393,0.2666103
78,-1.1861868,-0.9419975,"('nonresilient', 'resilient')",1.185303,1.3100091,0.4707508,0.6073287,0.1566223,0.3251134,-0.1684911
61,1.1842115,1.5029198,"('illogical', 'logical')",-0.36067048,-0.31372136,0.31605387,0.23496954,0.379865,0.4747227,-0.0948577
56,1.0944399,0.87164634,"('impractical', 'practical')",0.97283083,0.8639281,0.3159498,0.2959927,0.7944069,0.677189,0.1172179
4,-1.0875793,-0.64930654,"('disliked', 'liked')",-0.12359893,0.057354085,-6.621238,-6.229094,-2.6108055,-2.2736821,-0.3371234
70,1.0522051,1.2913458,"('lethargic', 'energetic')",0.67878836,0.76437676,1.1245545,1.1777785,0.9518493,1.0778337,-0.1259844
30,1.0516467,1.0977161,"('intolerant', 'tolerant')",1.4986423,1.3965147,1.0133475,0.95210314,1.1878789,1.148778,0.0391009
49,-1.002239,-0.9453227,"('unable', 'able')",-0.76933455,-0.74785596,-0.29968858,-0.18709373,-0.6904207,-0.6267575,-0.0636632
81,0.9910762,0.8705693,"('submissive', 'aggressive')",0.7574298,0.5901097,-0.0051391944,-0.21718487,0.5811222,0.4144981,0.1666241
72,0.9770161,1.0978153,"('unambitious', 'ambitious')",1.2391194,1.2407852,-0.7886719,-0.87877804,0.4758212,0.4866076,-0.0107864
16,-0.9749335,-0.9401403,"('unpopular', 'popular')",-0.6084525,-0.6161973,0.17766285,0.19562018,-0.4685744,-0.4535725,-0.0150019
12,0.84418666,1.0879343,"('unsupportive', 'supportive')",1.5181023,1.7528478,-1.3677677,-1.2784431,0.3315071,0.5207797,-0.1892726
40,0.82148194,1.2527584,"('stingy', 'generous')",0.42134053,0.75723547,-1.552654,-1.2534999,-0.1032772,0.2521646,-0.3554418
38,0.8182561,0.8663754,"('untruthful', 'truthful')",-0.003244508,0.26109806,0.12602523,0.096668534,0.3136789,0.4080473,-0.0943684
23,0.81415296,0.6830796,"('insincere', 'sincere')",0.86166364,0.8808806,6.131317,5.700007,2.6023779,2.4213223,0.1810556
22,0.80542374,0.95337296,"('untrustworthy', 'trustworthy')",-0.75707555,-0.72616154,-1.0095633,-1.0040712,-0.320405,-0.2589533,-0.0614517
58,0.78466964,0.87976795,"('undiscriminating', 'discriminating')",0.59047395,0.714294,0.26158482,0.13489617,0.5455761,0.5763194,-0.0307433
