,pnc_male,pnc_female,tuple,financial_male,financial_female,services_male,services_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
42,1.6239169,1.6617233,"('unreliable', 'reliable')",1.4229156,1.4525971,1.1173028,1.2322587,1.4926527,1.5985414,-2.3530679,-2.2684119,0.660744,0.7353417,-0.0745977
2,1.2587507,1.2988818,"('unlikable', 'likable')",2.118684,2.189084,1.6061058,1.6537638,1.5078112,1.560274,0.69997203,0.7990816,1.4382648,1.5002171,-0.0619523
1,-1.1951627,-1.3275113,"('unfriendly', 'friendly')",1.5191795,1.4380049,-1.1673309,-1.2247466,-0.69567275,-0.79110414,1.9816163,1.8878442,0.0885259,-0.0035026,0.0920285
16,-1.1812832,-0.97213125,"('unpopular', 'popular')",-0.6686158,-0.6686735,-0.420676,-0.39466676,-1.1652206,-1.0332619,0.20523894,0.24150279,-0.6461114,-0.5654461,-0.0806653
78,-1.0335966,-1.0901937,"('nonresilient', 'resilient')",0.39863494,0.3798078,1.8254948,1.7881647,-0.78560984,-0.83521104,0.27140355,0.2161665,0.1352654,0.0917469,0.0435185
35,-0.91789925,-0.7153375,"('corrupt', 'incorrupt')",-0.05862476,-0.15625593,-2.4228218,-2.380397,-1.0818466,-1.0468096,-0.49658698,-0.502252,-0.9955559,-0.9602104,-0.0353455
8,-0.86884344,-0.9418688,"('unaffectionate', 'affectionate')",0.7057063,0.74748313,-1.3927333,-1.3641566,-1.4842991,-1.5648788,0.5705669,0.6255136,-0.4939206,-0.4995815,0.0056609
68,-0.797863,-1.0157862,"('dependent', 'independent')",-2.1014788,-2.2513132,0.09017388,-0.039999522,-0.561978,-0.6418357,-0.27490416,-0.45290887,-0.72921,-0.8803687,0.1511587
67,0.77629507,0.8368272,"('doubtful', 'determined')",0.33084297,0.36658248,0.08513191,0.21121496,0.6592792,0.7455018,-0.98350316,-0.8633593,0.1736092,0.2593534,-0.0857442
39,0.7403449,0.7404634,"('exploitative', 'cooperative')",0.85357064,0.7857507,0.7022416,0.70349944,0.9438319,0.891092,0.12418692,0.1373961,0.6728352,0.6516403,0.0211949
25,-0.72606736,-0.8961438,"('egoistic', 'altruistic')",0.15104625,0.1242847,0.8771041,0.7910829,-1.0412866,-1.1944351,1.1578467,1.027139,0.0837286,-0.0296145,0.1133431
66,0.7136785,0.40895295,"('inactive', 'active')",1.8084782,1.5648178,0.7893721,0.7129154,0.50853276,0.19262657,1.0218242,0.75552416,0.9683771,0.7269673,0.2414098
31,-0.6901098,-0.89605886,"('evil', 'good')",-0.29986674,-0.5333053,-2.9232764,-3.0248363,-2.1179888,-2.2079446,-1.4343928,-1.619007,-1.4931269,-1.6562305,0.1631036
87,0.6512962,0.7604653,"('unsuccessful', 'successful')",1.055472,1.0159087,1.0188518,1.0741515,0.5349492,0.63606083,0.44509637,0.41939154,0.7411331,0.7811956,-0.0400625
60,0.63955396,0.68118066,"('inefficient', 'efficient')",-0.90221244,-0.66925716,3.1224186,3.0354412,1.6181651,1.6812311,0.3069242,0.3403211,0.9569699,1.0137834,-0.0568135
