,whole_male,whole_female,tuple,foods_male,foods_female,market_male,market_female,inc_male,inc_female,average_male,average_female,male-female
3,-2.1858027,-2.023589,"('repellent', 'pleasant')",-2.005291,-2.037196,0.47787556,0.73233634,0.43527174,0.6346263,-0.8194866,-0.6734555,-0.1460311
56,1.6333756,1.8534358,"('impractical', 'practical')",0.6689887,0.69340956,2.3492482,2.597432,0.043630194,0.22843592,1.1738106,1.3431784,-0.1693678
82,-1.4806517,-1.3366673,"('poor', 'rich')",-1.0424851,-0.8482503,-0.68954676,-0.6719005,6.749032,6.8575053,0.8840871,1.0001718,-0.1160847
51,-1.4745381,-1.149682,"('uneducated', 'educated')",-1.2847238,-1.031201,-0.061563224,0.26000565,0.1996008,0.438059,-0.6553061,-0.3707046,-0.2846015
33,1.471448,1.4669207,"('wrong', 'right')",0.9845271,0.88762426,0.11676927,0.057111472,-0.52326614,-0.75319386,0.5123696,0.4146157,0.0977539
42,1.453869,1.46875,"('unreliable', 'reliable')",0.936806,0.8972187,1.243123,1.3384565,-2.7350974,-2.5742364,0.2246752,0.2825472,-0.057872
77,-1.434045,-1.0759695,"('unmotivated', 'motivated')",-0.8277071,-0.56720495,0.4843139,0.8362819,-1.3628073,-0.9726658,-0.7850614,-0.4448896,-0.3401718
71,1.3413132,1.3455601,"('diffident', 'self-confident')",2.009369,1.863965,0.8953801,0.704464,0.76407456,0.69304246,1.2525342,1.1517578,0.1007764
38,1.3147969,1.3990635,"('untruthful', 'truthful')",0.8705074,0.956367,0.3123337,0.30542406,0.13361345,0.20802991,0.6578129,0.7172211,-0.0594082
18,-1.2984225,-0.95853764,"('disagreeable', 'welcoming')",-0.35817662,-0.15351285,-1.4156938,-1.3586131,-0.43447584,-0.5935923,-0.8766922,-0.7660639,-0.1106283
73,1.2413794,1.3296467,"('helpless', 'self-reliant')",1.2354354,1.3781996,0.15979576,0.23438466,-3.2246115,-3.301185,-0.1470003,-0.0897385,-0.0572618
20,-1.1778432,-1.0793159,"('rough', 'thoughtful')",-0.84154266,-0.9153002,0.30347875,0.49340925,0.97898984,0.99418503,-0.1842293,-0.1267554,-0.0574739
86,-1.163403,-1.0793284,"('uninfluential', 'influential')",-1.0531857,-1.1197422,0.19479044,0.43377486,0.030802377,0.14230889,-0.497749,-0.4057467,-0.0920023
21,-1.1496396,-0.71170413,"('immoral', 'moral')",-0.6761126,-0.546081,0.77903706,1.2823693,-1.0795438,-0.5946297,-0.5315648,-0.1425114,-0.3890534
15,1.1375647,0.8992401,"('boring', 'funny')",1.0897254,0.82209533,-0.1653733,-0.38039926,0.25721958,0.078031704,0.5797841,0.354742,0.2250421
79,1.0940614,1.0053967,"('wavering', 'unwavering')",1.3007417,1.1348138,-0.9820606,-1.1604476,0.07844473,-0.23943946,0.3727968,0.1850809,0.1877159
74,1.0029196,1.202145,"('undedicated', 'dedicated')",0.1521707,0.16818134,1.6386225,1.8353167,0.19364132,0.14672385,0.7468385,0.8380917,-0.0912532
