,ameriprise_male,ameriprise_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.7976243,-2.834933,"('unfriendly', 'friendly')",0.91370475,1.0307544,2.0270836,2.186325,0.0477213,0.1273822,-0.0796609
8,-2.38154,-2.436909,"('unaffectionate', 'affectionate')",-0.42109436,-0.3965825,0.6678351,0.81771487,-0.7115998,-0.6719255,-0.0396743
86,-2.2296376,-2.1785798,"('uninfluential', 'influential')",-0.22884426,-0.19587609,-0.118657365,-0.18877164,-0.8590464,-0.8544092,-0.0046372
9,-2.2270467,-2.2031257,"('unaffectionate', 'caring')",1.0483638,1.1093987,1.2176696,1.3760173,0.0129956,0.0940968,-0.0811012
53,-1.9212341,-1.9490103,"('uncreative', 'creative')",1.158229,1.2443259,0.9736318,1.007909,0.0702089,0.1010749,-0.030866
12,-1.8201997,-1.7560664,"('unsupportive', 'supportive')",1.134366,1.1199248,-1.7706375,-1.7104496,-0.8188237,-0.7821971,-0.0366266
44,1.69774,1.7863431,"('prejudiced', 'unprejudiced')",-0.3259057,-0.30093953,-1.5279096,-1.4047211,-0.0520251,0.0268941,-0.0789192
31,-1.5548716,-1.5418607,"('evil', 'good')",-1.0844425,-0.9869108,-0.95024943,-0.78214395,-1.1965212,-1.1036385,-0.0928827
57,-1.4760147,-1.2301055,"('unimaginative', 'imaginative')",-0.15073973,-0.021847557,-2.5852642,-2.3361454,-1.4040063,-1.1960328,-0.2079735
42,1.3571544,1.370895,"('unreliable', 'reliable')",0.6756041,0.64425653,-2.5175688,-2.505886,-0.1616035,-0.1635782,0.0019747
77,-1.3241374,-1.2763557,"('unmotivated', 'motivated')",0.8456624,0.82067764,-1.3486539,-1.4387473,-0.609043,-0.6314751,0.0224321
0,-1.3094026,-1.240752,"('unsociable', 'sociable')",0.55016243,0.5572778,-0.67714643,-0.75350046,-0.4787955,-0.4789915,0.000196
85,-1.2924218,-1.2024541,"('insignificant', 'prestigious')",0.55911946,0.68783396,0.47522736,0.84407353,-0.086025,0.1098178,-0.1958428
78,-1.2593833,-1.3163224,"('nonresilient', 'resilient')",1.009755,0.9905248,0.20746276,0.25801605,-0.0140552,-0.0225939,0.0085387
48,-1.2544734,-1.292352,"('unintelligent', 'intelligent')",-0.74377203,-0.7848159,0.15766725,0.04633752,-0.6135261,-0.6769435,0.0634174
73,1.2363936,1.1676033,"('helpless', 'self-reliant')",0.5210794,0.4959037,-2.8420687,-2.7452936,-0.3615319,-0.3605955,-0.0009364
19,-1.2013992,-1.3041829,"('inhospitable', 'hospitable')",-0.6000189,-0.6075528,0.11550524,0.19168529,-0.5619709,-0.5733502,0.0113793
28,-1.189865,-1.1338195,"('disloyal', 'loyal')",0.10774784,0.15109712,0.7735817,0.81120616,-0.1028452,-0.0571721,-0.0456731
10,-1.1620885,-1.0270498,"('unsympathetic', 'sympathetic')",-0.5428117,-0.50535345,-0.3361828,-0.3050392,-0.680361,-0.6124808,-0.0678802
25,-1.1597954,-1.1962415,"('egoistic', 'altruistic')",-0.3439802,-0.30879885,1.621731,1.6050177,0.0393185,0.0333258,0.0059927
52,-1.1062995,-1.1843872,"('irrational', 'rational')",-0.36613527,-0.33446038,-0.28308263,-0.114465326,-0.5851725,-0.5444376,-0.0407349
69,1.0841638,1.0832082,"('lazy', 'industrious')",0.75852656,0.8053319,-0.15949714,-0.024325836,0.5610644,0.6214047,-0.0603403
63,-1.0678395,-1.0495472,"('unperceptive', 'insightful')",1.4457791,1.4366357,1.1435332,1.0538092,0.5071576,0.4802992,0.0268584
38,-1.0485891,-1.0212247,"('untruthful', 'truthful')",0.6295616,0.7009273,0.042997852,0.05567088,-0.1253432,-0.0882088,-0.0371344
11,-1.0385106,-1.0131186,"('unhelpful', 'helpful')",0.64840806,0.6051187,1.6873883,1.7227368,0.4324286,0.4382456,-0.005817
76,1.0382547,0.9945318,"('anxious', 'daring')",0.37142423,0.27890065,0.19089475,-0.00918043,0.5335246,0.4214174,0.1121072
46,-1.0371535,-0.9764358,"('uncompetitive', 'competitive')",0.8786971,0.89795405,-0.9048212,-0.8701686,-0.3544259,-0.3162168,-0.0382091
80,1.0283532,1.0796071,"('dominated', 'dominating')",0.23718266,0.22620001,-1.0537415,-1.0383375,0.0705981,0.0891565,-0.0185584
71,-1.0276433,-0.96765524,"('diffident', 'self-confident')",1.5569779,1.6148198,0.6164883,0.7716444,0.3819409,0.4729363,-0.0909954
16,-1.0231231,-1.0992479,"('unpopular', 'popular')",-0.4396726,-0.41833675,0.33402643,0.376019,-0.3762564,-0.3805219,0.0042655
36,-1.0166172,-1.0313655,"('hostile', 'amicable')",-0.4474759,-0.32445222,0.1164201,0.25317675,-0.4492243,-0.367547,-0.0816773
54,-0.9816967,-0.9967885,"('incapable', 'capable')",0.6537552,0.72632015,1.106689,1.1312373,0.2595825,0.286923,-0.0273405
58,-0.8606419,-0.74004436,"('undiscriminating', 'discriminating')",1.3265686,1.4616992,0.20172708,0.32303903,0.2225513,0.3482313,-0.12568
55,-0.8296146,-0.79090697,"('incompetent', 'clever')",-0.25048113,-0.23626776,-0.3507578,-0.47333393,-0.4769512,-0.5001696,0.0232184
23,-0.79584795,-0.8351861,"('insincere', 'sincere')",0.93471384,0.9288683,5.7974963,5.620158,1.9787874,1.9046135,0.0741739
43,-0.79108655,-0.73626506,"('irresponsible', 'responsible')",1.0373535,1.127341,0.520313,0.5887405,0.2555267,0.3266055,-0.0710788
5,-0.78066564,-0.84333867,"('distant', 'outgoing')",0.3181287,0.28648376,0.11381298,0.17778805,-0.1162413,-0.1263556,0.0101143
72,-0.77244717,-0.7889039,"('unambitious', 'ambitious')",-0.0040478483,-0.05408311,-0.8021211,-0.98208493,-0.5262054,-0.6083573,0.0821519
24,-0.7499958,-0.7565018,"('dishonest', 'honest')",-0.022216769,-0.050781123,0.7821376,0.72697854,0.0033083,-0.0267681,0.0300764
6,-0.74922264,-0.8152837,"('distant', 'open')",-0.57429427,-0.5503017,0.6658475,0.79124784,-0.2192231,-0.1914458,-0.0277773
56,0.7264018,0.6605643,"('impractical', 'practical')",0.8585409,0.7654805,0.02435578,-0.13739373,0.5364328,0.4295504,0.1068824
61,-0.69142693,-0.62755764,"('illogical', 'logical')",1.4241258,1.4744179,0.04355993,0.0957979,0.2587529,0.3142194,-0.0554665
59,-0.6810917,-0.70758086,"('foolish', 'wise')",0.4181702,0.4684716,0.5596781,0.676252,0.0989189,0.1457142,-0.0467953
67,0.664273,0.6369358,"('doubtful', 'determined')",0.33110777,0.21760024,-0.3506986,-0.51877815,0.2148941,0.1119193,0.1029748
18,-0.6290196,-0.66653943,"('disagreeable', 'welcoming')",-0.7403732,-0.7670152,-0.4078908,-0.43416023,-0.5924279,-0.6225716,0.0301437
30,0.6228759,0.60765326,"('intolerant', 'tolerant')",0.81965744,0.800388,1.195761,1.0906925,0.8794314,0.8329113,0.0465201
