,t_male,t_female,tuple,rowe_male,rowe_female,price_male,price_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
21,1.8415442,1.3378899,"('immoral', 'moral')",2.6576488,1.1735005,1.890258,1.9288474,-0.06604335,-0.0050486997,-1.0852717,-1.1627914,1.0476272,0.6544796,0.3931476
13,1.6288086,1.3784813,"('impolite', 'polite')",2.8590834,1.8287299,1.9190675,1.8403928,0.489449,0.69171387,-0.18366407,-0.20924033,1.3425489,1.1060154,0.2365335
35,-1.5109164,-1.0502433,"('corrupt', 'incorrupt')",-3.2253006,-1.526304,-1.9949886,-2.0005019,-1.9028254,-1.7129073,-0.34887084,-0.19912484,-1.7965805,-1.2978163,-0.4987642
49,-1.5022371,-1.2016908,"('unable', 'able')",-0.5253056,-0.8575122,-0.42316025,-0.29455036,-1.2753288,-1.1500125,-0.55313736,-0.4466221,-0.8558338,-0.7900776,-0.0657562
8,-1.4906828,-1.1347573,"('unaffectionate', 'affectionate')",-1.5022069,-1.1612412,-0.39091867,-0.26279464,0.022072982,0.1839742,0.7795888,1.0096856,-0.5164293,-0.2730267,-0.2434026
26,-1.4088659,-1.2105203,"('hardhearted', 'benevolent')",-1.0257545,-0.97833437,0.05784973,0.5330432,1.1290897,1.2164196,1.7436419,2.0502148,0.0991922,0.3221646,-0.2229724
48,-1.3926681,-1.562413,"('unintelligent', 'intelligent')",0.9971538,-0.07515729,0.7742884,0.72807527,-0.60162574,-0.88007736,0.19710875,0.17579378,-0.0051486,-0.3227557,0.3176071
36,-1.3280721,-0.89013904,"('hostile', 'amicable')",-2.853324,-1.5015501,-1.4445945,-1.5774469,-1.5604819,-1.2292986,-0.08451686,0.018727686,-1.4541979,-1.0359414,-0.4182565
14,1.3050597,1.0164114,"('antisocial', 'social')",2.0725827,1.332736,2.3152168,2.439478,1.1483427,1.1401608,-0.7672964,-0.7663215,1.2147811,1.0324929,0.1822882
51,1.3035568,1.1368943,"('uneducated', 'educated')",1.4562025,0.570661,0.8911163,0.7464809,-0.22566499,-0.35032296,0.41707367,0.27852255,0.7684569,0.4764472,0.2920097
1,-1.2816982,-1.2418295,"('unfriendly', 'friendly')",-2.4995613,-2.4799652,-0.5572021,-0.39290425,-0.19541833,-0.29295325,1.8144702,1.8897153,-0.543882,-0.5035873,-0.0402947
88,-1.2475251,-1.2606201,"('low', 'eminent')",-0.41356125,-0.8087027,-1.4816189,-1.3534315,-1.2495574,-1.353368,0.23327446,0.12629898,-0.8317976,-0.9299646,0.098167
87,1.2326429,1.3648375,"('unsuccessful', 'successful')",0.73492795,0.46081024,0.45780727,0.3292414,1.2608918,1.2365081,0.62547314,0.66876197,0.8623486,0.8120318,0.0503168
46,1.2074344,1.1419377,"('uncompetitive', 'competitive')",2.1721792,1.3829722,1.8038645,1.7573309,1.3070514,1.3864096,-0.5144452,-0.67777133,1.1952169,0.9981758,0.1970411
6,-1.1561574,-0.9860765,"('distant', 'open')",-2.7593265,-2.078042,-1.9747579,-2.0347288,-1.5108812,-1.5933238,0.42241648,0.41820443,-1.3957413,-1.2547934,-0.1409479
81,1.1445885,0.772133,"('submissive', 'aggressive')",2.1168,0.6098646,1.0831383,1.1460077,1.0724667,0.8179823,-0.9620376,-1.1972373,0.8909912,0.42975,0.4612412
80,1.0698158,1.0255857,"('dominated', 'dominating')",2.316168,0.9006681,0.033445805,0.037713144,0.7802458,0.7787436,-1.290236,-1.3854811,0.5818879,0.2714459,0.310442
31,-1.0438784,-0.6865046,"('evil', 'good')",-3.12908,-1.6518432,-1.8300045,-1.7804275,-1.4426805,-1.341269,-1.3215164,-1.1682229,-1.7534319,-1.3256535,-0.4277784
73,1.0203972,1.2825338,"('helpless', 'self-reliant')",-0.43881375,0.43177396,1.0886286,1.1825569,0.20896149,0.21328709,-3.4152083,-3.2410395,-0.307207,-0.0261775,-0.2810295
70,0.9308173,1.0693663,"('lethargic', 'energetic')",2.7406285,1.9399447,1.3459778,1.3467088,1.1145399,1.0836042,1.1458925,0.9969766,1.4555713,1.2873201,0.1682512
83,-0.8869444,-0.85976905,"('powerless', 'powerful')",-0.7234558,-1.1727178,0.49980807,0.799985,-0.15853603,-0.03917615,-0.9412602,-0.89359164,-0.4420777,-0.433054,-0.0090237
25,-0.88023406,-1.1015364,"('egoistic', 'altruistic')",-1.0984701,-1.1859034,-0.03500315,-0.05213709,-0.16216952,-0.30638313,1.4643234,1.5301405,-0.1423107,-0.2231639,0.0808532
