,stryker_male,stryker_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,3.1455026,3.254278,"('inefficient', 'efficient')",0.2281177,-0.086034164,1.6868101,1.5841219,0.1026882
36,-2.605222,-2.6987274,"('hostile', 'amicable')",-0.36881995,-0.16148375,-1.487021,-1.4301056,-0.0569154
52,-2.547482,-2.637443,"('irrational', 'rational')",-0.13596751,-0.008615166,-1.3417248,-1.3230292,-0.0186956
31,-2.544671,-2.6567967,"('evil', 'good')",-1.1868769,-1.051414,-1.8657739,-1.8541054,-0.0116685
69,-2.4761095,-2.705397,"('lazy', 'industrious')",-0.8791392,-0.7090578,-1.6776243,-1.7072273,0.029603
48,2.3842583,2.5742326,"('unintelligent', 'intelligent')",0.9484156,0.89317435,1.6663369,1.7337035,-0.0673666
6,-2.3833716,-2.287125,"('distant', 'open')",-0.5234092,-0.31042102,-1.4533904,-1.2987731,-0.1546173
16,-2.2523513,-2.2438138,"('unpopular', 'popular')",0.29387307,0.46372822,-0.9792391,-0.8900428,-0.0891963
44,-2.205527,-2.3670793,"('prejudiced', 'unprejudiced')",-1.6376069,-1.8298554,-1.921567,-2.0984674,0.1769004
79,-2.168811,-2.1373467,"('wavering', 'unwavering')",-0.53356713,-0.0656853,-1.3511891,-1.101516,-0.2496731
66,-2.1507962,-2.2033412,"('inactive', 'active')",-0.013118677,0.17472047,-1.0819575,-1.0143104,-0.0676471
4,-2.0989158,-1.8661968,"('disliked', 'liked')",-7.367093,-7.1582923,-4.7330046,-4.5122447,-0.2207599
75,-2.0484865,-2.0340075,"('meek', 'impulsive')",-0.8709583,-0.5939276,-1.4597224,-1.3139676,-0.1457548
5,-1.8695756,-1.716405,"('distant', 'outgoing')",-0.49541116,-0.16729972,-1.1824934,-0.9418524,-0.240641
17,-1.8292413,-1.6998645,"('nasty', 'nice')",-0.89718866,-0.77596897,-1.363215,-1.2379167,-0.1252983
81,1.8126096,1.8442743,"('submissive', 'aggressive')",-0.3606998,-0.50021535,0.7259549,0.6720295,0.0539254
23,1.7029525,1.7979447,"('insincere', 'sincere')",6.19821,6.186032,3.9505811,3.9919882,-0.0414071
21,1.6162091,1.8791689,"('immoral', 'moral')",-0.30561224,-0.45086187,0.6552985,0.7141535,-0.058855
12,1.598448,1.8463457,"('unsupportive', 'supportive')",-1.8848865,-1.7783248,-0.1432192,0.0340104,-0.1772296
85,-1.577357,-1.896085,"('insignificant', 'prestigious')",-0.6321091,-0.40842128,-1.1047331,-1.1522532,0.0475201
55,1.5220641,1.684845,"('incompetent', 'clever')",0.19497825,-0.19968465,0.8585212,0.7425802,0.115941
62,1.5098983,1.8265704,"('incompetent', 'brilliant')",0.55592346,0.5778471,1.0329108,1.2022088,-0.169298
10,1.4251716,1.6539483,"('unsympathetic', 'sympathetic')",-0.3251264,-0.52034897,0.5500226,0.5667996,-0.016777
76,1.4165936,1.4657546,"('anxious', 'daring')",-0.11798273,-0.30216268,0.6493054,0.581796,0.0675094
28,1.387069,1.5131986,"('disloyal', 'loyal')",1.6223937,1.4569083,1.5047314,1.4850535,0.0196779
56,1.3850559,1.6712186,"('impractical', 'practical')",-0.67544824,-0.8327487,0.3548038,0.419235,-0.0644312
19,-1.3025128,-1.0990028,"('inhospitable', 'hospitable')",-0.59489036,-0.076027036,-0.9487016,-0.5875149,-0.3611867
11,1.2604631,1.175872,"('unhelpful', 'helpful')",2.0901768,2.058973,1.6753199,1.6174226,0.0578973
46,1.194154,1.3861313,"('uncompetitive', 'competitive')",-0.70767,-0.8155168,0.243242,0.2853072,-0.0420652
24,1.1649226,1.3396169,"('dishonest', 'honest')",0.6643406,0.6467017,0.9146316,0.9931593,-0.0785277
30,1.1034747,1.2713403,"('intolerant', 'tolerant')",0.46457845,0.35827354,0.7840266,0.8148069,-0.0307803
86,1.0915349,1.3265245,"('uninfluential', 'influential')",-0.26656106,-0.41281986,0.4124869,0.4568523,-0.0443654
59,-1.0815481,-0.98363906,"('foolish', 'wise')",0.4114224,0.75929457,-0.3350629,-0.1121722,-0.2228907
78,1.0730689,1.0827904,"('nonresilient', 'resilient')",0.40332782,0.6368244,0.7381983,0.8598074,-0.1216091
63,1.0025635,1.1626862,"('unperceptive', 'insightful')",0.66541314,0.79351133,0.8339883,0.9780988,-0.1441105
35,-0.96419644,-1.0721806,"('corrupt', 'incorrupt')",-0.52167547,-0.26282164,-0.742936,-0.6675012,-0.0754348
74,0.9497723,1.0249368,"('undedicated', 'dedicated')",-0.31352627,-0.45366466,0.318123,0.2856361,0.0324869
61,0.94429547,1.0274076,"('illogical', 'logical')",0.32730892,0.22549379,0.6358022,0.6264507,0.0093515
0,0.94082224,0.9833407,"('unsociable', 'sociable')",-0.26702273,-0.55818754,0.3368998,0.2125766,0.1243232
70,0.9406177,1.1529495,"('lethargic', 'energetic')",0.33943024,0.11540067,0.6400239,0.6341751,0.0058488
14,0.92258525,1.0866698,"('antisocial', 'social')",-0.5108116,-0.8800466,0.2058868,0.1033116,0.1025752
84,0.891639,0.92835814,"('inferior', 'superior')",0.94030523,1.0281785,0.9159721,0.9782683,-0.0622962
65,0.88308513,0.90594506,"('insecure', 'secure')",-0.18641247,-0.4218156,0.3483363,0.2420647,0.1062716
39,0.8716075,0.75892913,"('exploitative', 'cooperative')",-0.032562863,-0.15600285,0.4195223,0.3014631,0.1180592
67,0.8675478,0.8330926,"('doubtful', 'determined')",-0.5940777,-0.66107595,0.1367351,0.0860083,0.0507268
43,0.859315,1.1088141,"('irresponsible', 'responsible')",0.5422573,0.35022348,0.7007861,0.7295188,-0.0287327
22,0.833864,1.0233896,"('untrustworthy', 'trustworthy')",-1.007492,-1.1738378,-0.086814,-0.0752241,-0.0115899
29,-0.8256056,-0.74098206,"('unfair', 'fair')",-0.41341966,-0.51066977,-0.6195126,-0.6258259,0.0063133
42,-0.82549804,-0.6074122,"('unreliable', 'reliable')",-3.24885,-3.5969813,-2.037174,-2.1021967,0.0650227
32,0.8052205,0.9687684,"('unkind', 'kind')",0.67939276,0.43374306,0.7423066,0.7012557,0.0410509
72,0.7807535,0.8335145,"('unambitious', 'ambitious')",-0.32664314,-0.2703629,0.2270552,0.2815758,-0.0545206
7,0.75404274,1.0276661,"('insensitive', 'sensitive')",0.40641132,0.29861197,0.580227,0.663139,-0.082912
57,-0.74967384,-0.51608396,"('unimaginative', 'imaginative')",-3.4697204,-3.7006326,-2.1096971,-2.1083584,-0.0013387
9,0.74232876,0.88872105,"('unaffectionate', 'caring')",1.2508203,1.3616995,0.9965745,1.1252103,-0.1286358
83,-0.72203875,-0.7571005,"('powerless', 'powerful')",-1.088602,-1.086753,-0.9053203,-0.9219267,0.0166064
82,0.6718719,0.7740006,"('poor', 'rich')",6.698154,6.7141614,3.6850128,3.744081,-0.0590682
33,-0.6581985,-0.59306,"('wrong', 'right')",-0.74151325,-0.6145233,-0.6998559,-0.6037917,-0.0960642
18,-0.6402221,-0.40926236,"('disagreeable', 'welcoming')",-0.45420527,-0.44651407,-0.5472137,-0.4278882,-0.1193255
73,-0.63779235,-0.57666,"('helpless', 'self-reliant')",-3.1743767,-3.1003144,-1.9060845,-1.8384871,-0.0675974
50,-0.617523,-0.6627896,"('clumsy', 'skillful')",0.563149,0.5893445,-0.027187,-0.0367225,0.0095355
64,-0.5888846,-0.43987453,"('shy', 'confident')",-6.7581625,-6.907237,-3.6735234,-3.6735559,3.25e-05
3,0.5801825,0.74579877,"('repellent', 'pleasant')",0.7808738,0.5898222,0.6805282,0.6678104,0.0127178
77,0.5581947,0.84227777,"('unmotivated', 'motivated')",-1.0967695,-0.89271736,-0.2692874,-0.0252198,-0.2440676
25,-0.53413886,-0.7165936,"('egoistic', 'altruistic')",0.9028095,0.6582585,0.1843353,-0.0291676,0.2135029
13,0.5286841,0.8438306,"('impolite', 'polite')",-1.100972,-1.1535825,-0.286144,-0.1548759,-0.1312681
51,0.51676744,0.65700555,"('uneducated', 'educated')",0.24032333,0.14202234,0.3785454,0.399514,-0.0209686
49,0.50344795,0.7290007,"('unable', 'able')",0.041081678,0.21507521,0.2722648,0.4720379,-0.1997731
15,-0.48234513,-0.43985465,"('boring', 'funny')",-0.45516038,-0.46173555,-0.4687527,-0.4507951,-0.0179576
80,0.46252787,0.6419254,"('dominated', 'dominating')",-0.92850024,-0.96617997,-0.2329862,-0.1621273,-0.0708589
71,0.44935584,0.52600294,"('diffident', 'self-confident')",0.44481805,0.5519973,0.4470869,0.5390002,-0.0919133
45,-0.44262978,-0.20331869,"('incompetent', 'competent')",-0.10048724,-0.20934407,-0.2715585,-0.2063314,-0.0652271
