,gilead_male,gilead_female,tuple,sciences_male,sciences_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.2252073,-2.0198884,"('unsympathetic', 'sympathetic')",-1.4087418,-1.2546422,-0.4295747,-0.5556477,-1.3545079,-1.2767261,-0.0777818
38,-1.9236518,-1.7859248,"('untruthful', 'truthful')",-0.8498351,-0.8110747,-0.1074879,-0.023680598,-0.9603249,-0.87356,-0.0867649
43,-1.8809159,-1.5692295,"('irresponsible', 'responsible')",-1.3353367,-1.11717,-0.42639032,-0.14711243,-1.2142143,-0.9445039,-0.2697104
1,-1.8098898,-1.6565515,"('unfriendly', 'friendly')",-0.65886015,-0.82650656,1.2441919,1.2945223,-0.408186,-0.3961786,-0.0120074
32,-1.5655401,-1.6548405,"('unkind', 'kind')",-0.07152624,-0.05788272,0.47760928,0.46941987,-0.3864857,-0.4144344,0.0279487
86,-1.5638934,-1.4865611,"('uninfluential', 'influential')",-0.24828479,-0.240556,-0.018951464,-0.24934223,-0.6103766,-0.6588198,0.0484432
69,1.5581703,1.5188061,"('lazy', 'industrious')",0.9990279,0.8887573,-0.49986893,-0.54905146,0.6857765,0.619504,0.0662725
13,-1.5212846,-1.7192504,"('impolite', 'polite')",-1.1743146,-1.1113635,-0.2764228,-0.29766288,-0.9906739,-1.042759,0.0520851
11,-1.4729742,-1.5942997,"('unhelpful', 'helpful')",-0.18672708,-0.11204976,1.6935751,1.81279,0.0112913,0.0354802,-0.0241889
23,-1.4055395,-1.4857562,"('insincere', 'sincere')",-0.730207,-0.7265373,5.2746253,5.6437654,1.0462929,1.143824,-0.0975311
19,-1.3299574,-1.1320084,"('inhospitable', 'hospitable')",-1.0717524,-1.0449337,-0.10944396,0.17911316,-0.8370512,-0.665943,-0.1711082
63,-1.3116287,-1.331864,"('unperceptive', 'insightful')",-0.2720603,-0.12333964,1.1096134,0.9644649,-0.1580252,-0.1635796,0.0055544
9,-1.2851536,-1.1680151,"('unaffectionate', 'caring')",0.1338001,-0.051619414,0.8561097,0.92124414,-0.0984146,-0.0994635,0.0010489
53,-1.2764592,-1.0742142,"('uncreative', 'creative')",-0.58247805,-0.5880143,0.40664044,0.4722451,-0.484099,-0.3966612,-0.0874378
70,-1.2521707,-1.252939,"('lethargic', 'energetic')",-0.82341665,-0.6208812,0.4168664,0.44331375,-0.552907,-0.4768355,-0.0760715
28,-1.1710057,-0.9968159,"('disloyal', 'loyal')",0.014880126,0.040519617,0.46329406,0.59091014,-0.2309438,-0.1217954,-0.1091484
0,-1.1383007,-1.1310804,"('unsociable', 'sociable')",-0.0622612,-0.11635906,-0.5372544,-0.68376267,-0.5792721,-0.6437341,0.064462
45,-1.0758667,-0.9096578,"('incompetent', 'competent')",-0.035017256,0.25710526,-0.2958703,-0.43053752,-0.4689181,-0.36103,-0.1078881
56,-1.0732595,-1.1378657,"('impractical', 'practical')",-0.05683808,0.12025475,-0.44550017,-0.52660155,-0.5251992,-0.5147375,-0.0104617
30,-1.0318161,-1.0532874,"('intolerant', 'tolerant')",0.31590965,0.36776063,0.7798218,0.69781375,0.0213051,0.0040957,0.0172094
5,-0.99537367,-0.7200068,"('distant', 'outgoing')",-0.9829592,-0.973739,-0.31671494,-0.12708208,-0.7650159,-0.6069427,-0.1580732
42,-0.994514,-0.76187444,"('unreliable', 'reliable')",-1.1480498,-0.78696936,-2.9644399,-3.0895245,-1.7023346,-1.5461229,-0.1562117
54,-0.95628107,-0.7746787,"('incapable', 'capable')",-0.4206532,-0.46595702,0.8496485,1.241609,-0.1757619,0.0003244,-0.1760863
82,-0.94358975,-0.9679646,"('poor', 'rich')",-0.059796806,-0.01839428,5.678904,6.172378,1.5585059,1.728673,-0.1701671
24,-0.9383296,-0.6729001,"('dishonest', 'honest')",-1.1779569,-1.060741,0.3017683,0.44274586,-0.6048394,-0.4302984,-0.174541
7,-0.9007652,-0.9198262,"('insensitive', 'sensitive')",-0.46580252,-0.311798,0.7086399,0.7198444,-0.2193093,-0.1705933,-0.048716
8,-0.80032575,-0.63566244,"('unaffectionate', 'affectionate')",-0.15032274,-0.36116725,0.2533345,0.45594653,-0.232438,-0.1802944,-0.0521436
3,-0.7994189,-1.1009654,"('repellent', 'pleasant')",-0.0820224,-0.10240122,0.38800392,0.12924272,-0.1644791,-0.3580413,0.1935622
6,-0.7907454,-0.42925966,"('distant', 'open')",-1.2460775,-1.2635137,0.04599251,0.32127985,-0.6636101,-0.4571645,-0.2064456
61,-0.78724587,-0.7937128,"('illogical', 'logical')",0.45770717,0.39413854,0.2017536,0.106741786,-0.042595,-0.0976108,0.0550158
77,-0.7651092,-0.9025586,"('unmotivated', 'motivated')",0.3711717,0.46903038,-0.82912004,-0.83397996,-0.4076858,-0.4225028,0.014817
27,-0.7636648,-0.59122354,"('hardhearted', 'softhearted')",0.08403295,0.031733923,1.5616672,1.514317,0.2940118,0.3182758,-0.024264
84,0.7541606,0.6504623,"('inferior', 'superior')",0.7389454,0.7094584,0.9581239,0.97311777,0.8170767,0.7776795,0.0393972
57,-0.745236,-0.49065375,"('unimaginative', 'imaginative')",-0.74619627,-0.5771597,-2.4655945,-2.7802296,-1.3190089,-1.282681,-0.0363279
88,-0.739162,-0.77693594,"('low', 'eminent')",-0.69375664,-0.72895336,-0.2515033,-0.16532123,-0.561474,-0.5570702,-0.0044038
47,-0.7372219,-0.9463715,"('stupid', 'smart')",-0.010813974,0.087427914,5.094531,5.619686,1.4488317,1.5869142,-0.1380825
33,0.73617125,0.854656,"('wrong', 'right')",-0.0732826,-0.04565417,-0.37582138,-0.3178155,0.0956891,0.1637288,-0.0680397
22,-0.6802582,-0.6318458,"('untrustworthy', 'trustworthy')",0.15904324,0.23234014,-0.7992717,-0.9792821,-0.4401622,-0.4595959,0.0194337
20,0.65878177,0.40271586,"('rough', 'thoughtful')",1.6303438,1.5547409,0.80967844,0.7613763,1.0329347,0.9062777,0.126657
40,0.65173286,0.7970906,"('stingy', 'generous')",0.32948476,0.5386829,-0.8198115,-1.2590925,0.053802,0.0255603,0.0282417
72,-0.6326248,-0.31851482,"('unambitious', 'ambitious')",-0.5742457,-0.3902682,-1.0678823,-0.89949644,-0.758251,-0.5360932,-0.2221578
80,0.6064063,0.7613882,"('dominated', 'dominating')",0.41969544,0.7535079,-0.43806645,-0.41996446,0.1960117,0.3649772,-0.1689655
31,-0.582714,-0.6820531,"('evil', 'good')",-0.15860978,-0.29000446,-0.711698,-0.7473285,-0.4843406,-0.5731287,0.0887881
85,0.5708,0.7677548,"('insignificant', 'prestigious')",0.4310056,0.29045227,0.35435846,0.3883754,0.4520547,0.4821941,-0.0301394
46,-0.5444114,-0.5893266,"('uncompetitive', 'competitive')",-0.71480966,-0.4885931,-0.27220967,-0.58740956,-0.5104769,-0.5551097,0.0446328
81,-0.52364725,-0.6100178,"('submissive', 'aggressive')",0.22272119,0.47939128,-0.2984993,-0.36591417,-0.1998084,-0.1655136,-0.0342948
51,-0.5228045,-0.8430004,"('uneducated', 'educated')",0.120677516,0.18010068,0.8500271,0.8040521,0.1493,0.0470508,0.1022492
87,0.5221077,0.67643076,"('unsuccessful', 'successful')",0.16743657,0.16991664,1.2103611,1.1825105,0.6333018,0.676286,-0.0429842
35,0.5221002,0.7168452,"('corrupt', 'incorrupt')",-0.029470049,-0.20220521,-0.27207604,-0.091767855,0.073518,0.1409574,-0.0674394
52,0.5029103,0.5729624,"('irrational', 'rational')",0.17987436,-0.041277222,-0.26106146,-0.28570414,0.1405744,0.0819937,0.0585807
60,-0.49042016,-0.5749302,"('inefficient', 'efficient')",0.36116785,0.59578544,-0.0040320195,0.01281618,-0.0444281,0.0112238,-0.0556519
21,-0.47302243,-0.5926419,"('immoral', 'moral')",0.15508413,0.14901964,-0.5918111,-0.8141992,-0.3032498,-0.4192738,0.116024
65,-0.4724973,-0.46730122,"('insecure', 'secure')",-0.31738928,-0.26622307,-0.20100316,-0.18135461,-0.3302966,-0.3049597,-0.0253369
67,-0.46279106,-0.5115459,"('doubtful', 'determined')",-0.6662795,-0.42791137,-0.7893635,-0.5165649,-0.639478,-0.4853408,-0.1541372
12,-0.442201,-0.31514743,"('unsupportive', 'supportive')",-0.13618837,0.027463049,-1.7842577,-2.0288122,-0.787549,-0.7721655,-0.0153835
17,-0.37742078,-0.42442206,"('nasty', 'nice')",-0.1714331,-0.3730176,-0.30654347,-0.32308638,-0.2851324,-0.3735087,0.0883763
4,0.37117735,0.60330033,"('disliked', 'liked')",-0.37228912,-0.32796374,-5.6000156,-6.2118006,-1.8670425,-1.9788213,0.1117788
29,0.3685427,0.2523369,"('unfair', 'fair')",0.1465888,0.17521745,-0.34262115,-0.26249695,0.0575034,0.0550191,0.0024843
14,-0.34284893,-0.49431163,"('antisocial', 'social')",0.6612601,0.7632055,-0.59434366,-0.8338904,-0.0919775,-0.1883322,0.0963547
74,-0.3042686,-0.21617487,"('undedicated', 'dedicated')",-0.61370313,-0.42501324,-0.07505739,-0.15902588,-0.3310097,-0.266738,-0.0642717
18,0.30023438,0.5249668,"('disagreeable', 'welcoming')",0.02899751,0.07158658,-0.38096508,-0.29871252,-0.0172444,0.0992803,-0.1165247
79,-0.29869908,0.015070846,"('wavering', 'unwavering')",-1.516976,-1.504616,-0.0056512672,0.28346822,-0.6071088,-0.4020257,-0.2050831
15,0.2842893,0.5509499,"('boring', 'funny')",-0.12591653,-0.22023894,0.5413825,0.6208385,0.2332518,0.3171832,-0.0839314
66,-0.28016785,-0.105007544,"('inactive', 'active')",-1.4504867,-1.3458905,0.73538214,0.9699362,-0.3317574,-0.1603206,-0.1714368
73,0.2725254,0.40979594,"('helpless', 'self-reliant')",-0.09554147,-0.1527734,-2.9042325,-3.086116,-0.9090829,-0.9430312,0.0339483
