,bristol_male,bristol_female,tuple,myers_male,myers_female,squibb_male,squibb_female,co_male,co_female,average_male,average_female,male-female
51,1.6875439,0.89974064,"('uneducated', 'educated')",0.41619414,-0.06933863,-1.0030491,-1.2211037,1.0476583,0.6447016,0.5370868,0.0635,0.4735868
87,1.542631,1.2604563,"('unsuccessful', 'successful')",0.68743485,0.43629044,0.14134826,-0.005375905,0.7265994,0.52402174,0.7745034,0.5538481,0.2206553
35,-1.5360899,-1.0410234,"('corrupt', 'incorrupt')",-0.4547353,-0.23112321,1.7104845,1.9142817,-1.2630616,-0.8570623,-0.3858506,-0.0537318,-0.3321188
6,-1.5223833,-1.1138301,"('distant', 'open')",0.16970205,0.19275023,0.86936104,0.8641913,-0.64660937,-0.1716412,-0.2824824,-0.0571324,-0.22535
25,-1.3894722,-0.81467324,"('egoistic', 'altruistic')",0.26044288,0.7648114,0.21897055,0.449668,1.3369437,1.4031829,0.1067212,0.4507473,-0.3440261
8,-1.3847393,-1.5304999,"('unaffectionate', 'affectionate')",-0.48834497,-0.50711495,-2.0005002,-2.1128912,0.6595073,0.7598941,-0.8035193,-0.847653,0.0441337
28,-1.359033,-1.443984,"('disloyal', 'loyal')",-0.8104895,-0.9496798,-1.5322324,-1.5086033,1.0475442,0.97080964,-0.6635527,-0.7328644,0.0693117
5,-1.341076,-1.1058449,"('distant', 'outgoing')",0.3028949,0.3746974,1.1978794,1.2719609,-0.71156424,-0.28017458,-0.1379665,0.0651597,-0.2031262
73,1.3279969,1.4716766,"('helpless', 'self-reliant')",0.51050323,0.23847967,0.45471942,0.5395756,-3.2726495,-2.9556932,-0.2448575,-0.1764904,-0.0683671
79,-1.2365159,-1.355117,"('wavering', 'unwavering')",-0.3935814,-0.6472549,0.1936626,0.032485135,-0.6599978,-0.5558313,-0.5241081,-0.6314295,0.1073214
18,-1.1573128,-0.7161083,"('disagreeable', 'welcoming')",0.54982585,0.7758234,-0.90117806,-0.8664528,-0.70792085,-0.122523814,-0.5541465,-0.2323154,-0.3218311
58,1.0659658,0.8109192,"('undiscriminating', 'discriminating')",0.15249658,-0.30890074,-1.1935965,-1.2855856,0.06741587,-0.20407216,0.0230704,-0.2469098,0.2699802
