,compuware_male,compuware_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.6026974,-2.2165432,"('unsympathetic', 'sympathetic')",-0.43537772,-0.47555646,-1.5190375,-1.3460498,-0.1729877
46,-2.0534725,-1.5598745,"('uncompetitive', 'competitive')",-1.0873129,-0.9394697,-1.5703927,-1.2496722,-0.3207205
86,-1.7235538,-1.1982224,"('uninfluential', 'influential')",-0.11674482,-0.08085343,-0.9201493,-0.6395379,-0.2806114
43,-1.7137333,-1.3119643,"('irresponsible', 'responsible')",0.32283828,0.38501054,-0.6954475,-0.4634769,-0.2319706
73,1.6959063,1.3397171,"('helpless', 'self-reliant')",-3.1343343,-3.0006785,-0.719214,-0.8304807,0.1112667
0,-1.4610735,-1.05346,"('unsociable', 'sociable')",0.03425713,0.10817916,-0.7134082,-0.4726404,-0.2407678
3,-1.394923,-1.1595514,"('repellent', 'pleasant')",0.43701917,0.55190814,-0.4789519,-0.3038216,-0.1751303
66,-1.3752942,-1.1360955,"('inactive', 'active')",0.30517492,0.42755947,-0.5350596,-0.354268,-0.1807916
63,-1.3662014,-1.5562503,"('unperceptive', 'insightful')",0.9559702,0.43235806,-0.2051156,-0.5619462,0.3568306
7,-1.3044435,-0.97630686,"('insensitive', 'sensitive')",0.45323524,0.48635918,-0.4256041,-0.2449738,-0.1806303
53,-1.269747,-1.0463313,"('uncreative', 'creative')",0.4833362,0.51223373,-0.3932054,-0.2670488,-0.1261566
45,-1.2659888,-1.3182756,"('incompetent', 'competent')",0.09751921,0.056513473,-0.5842348,-0.6308811,0.0466463
57,-1.2260801,-1.0340651,"('unimaginative', 'imaginative')",-3.1002014,-2.5795734,-2.1631408,-1.8068192,-0.3563216
70,-1.1533895,-1.2690979,"('lethargic', 'energetic')",0.19985656,0.10258064,-0.4767664,-0.5832586,0.1064922
24,-1.1474233,-0.67811096,"('dishonest', 'honest')",0.86103016,0.71381557,-0.1431966,0.0178523,-0.1610489
12,-1.1457641,-0.971482,"('unsupportive', 'supportive')",-1.7485285,-1.7943368,-1.4471463,-1.3829094,-0.0642369
18,-1.1055738,-0.3540275,"('disagreeable', 'welcoming')",-0.53060824,-0.12342497,-0.818091,-0.2387262,-0.5793648
28,-1.0917604,-0.7252933,"('disloyal', 'loyal')",0.96196777,0.9481954,-0.0648963,0.1114511,-0.1763474
55,-1.0712438,-0.759389,"('incompetent', 'clever')",0.31946206,0.63663304,-0.3758909,-0.061378,-0.3145129
