,home_male,home_female,tuple,depot_male,depot_female,inc_male,inc_female,average_male,average_female,male-female
49,-1.6286445,-0.6486775,"('unable', 'able')",-1.4084148,-0.8416835,-0.6113741,-0.14616935,-1.2161445,-0.5455101,-0.6706344
77,-1.6214777,-1.5327431,"('unmotivated', 'motivated')",0.073634185,0.44758922,-1.3391792,-1.2373897,-0.9623409,-0.7741812,-0.1881597
53,-1.547251,-1.2256387,"('uncreative', 'creative')",-1.0593969,-0.9073397,1.2785938,1.1724964,-0.4426847,-0.3201607,-0.122524
67,1.4437865,1.4682901,"('doubtful', 'determined')",1.1293789,1.1129124,-0.5219875,-0.23484306,0.683726,0.7821198,-0.0983938
73,1.3974764,1.2928505,"('helpless', 'self-reliant')",0.3092592,0.15523367,-3.736066,-3.772416,-0.6764435,-0.7747773,0.0983338
68,-1.3356897,-1.0216599,"('dependent', 'independent')",-1.1984937,-0.8267572,-0.9865706,-0.7771291,-1.1735847,-0.8751821,-0.2984026
36,-1.1059598,-1.1503656,"('hostile', 'amicable')",-1.4413167,-1.7783351,-0.4788362,-0.3473968,-1.0087043,-1.0920325,0.0833282
20,-1.0645618,-0.6934065,"('rough', 'thoughtful')",-0.43633738,-0.03225688,1.02345,0.92700976,-0.1591497,0.0671154,-0.2262651
60,-1.0230306,-0.26622522,"('inefficient', 'efficient')",1.3617947,2.156108,0.4335906,0.67258954,0.2574516,0.8541574,-0.5967058
15,1.0070335,1.1558245,"('boring', 'funny')",0.51605034,0.38084537,0.34142718,0.519344,0.6215037,0.685338,-0.0638343
34,-1.0039107,-0.16460232,"('mean', 'honorable')",0.42832047,0.93885237,5.8135266,6.3432903,1.7459788,2.3725135,-0.6265347
26,0.99393076,0.5970308,"('hardhearted', 'benevolent')",1.2347481,1.052817,1.565581,1.1968328,1.2647533,0.9488935,0.3158598
59,0.9931164,1.0264518,"('foolish', 'wise')",-0.3622909,-0.46606207,-0.21578912,0.06981622,0.1383455,0.2100687,-0.0717232
65,-0.96661717,-1.0521231,"('insecure', 'secure')",-0.06151651,0.29048118,0.23234268,0.20785001,-0.2652637,-0.1845973,-0.0806664
