,simon_male,simon_female,tuple,property_male,property_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.336935,-2.581374,"('hostile', 'amicable')",0.033437215,0.28441063,-0.99624515,-0.7858046,0.18923366,0.09875299,-0.7776273,-0.7460037,-0.0316236
12,2.223504,2.2385483,"('unsupportive', 'supportive')",1.196699,1.3402785,1.4697711,1.5214682,-1.4261689,-1.278298,0.8659514,0.9554993,-0.0895479
62,2.0873914,1.9157237,"('incompetent', 'brilliant')",-0.27744198,-0.48360536,0.80126506,0.4391864,0.29916155,0.12083985,0.727594,0.4980361,0.2295579
56,2.0477886,1.9898629,"('impractical', 'practical')",0.42018914,0.071550086,0.6088194,0.20972118,-0.173116,-0.11645318,0.7259203,0.5386702,0.1872501
30,2.0440848,1.579153,"('intolerant', 'tolerant')",0.79444385,0.533058,0.41779155,0.16027442,1.1200905,1.045614,1.0941026,0.8295249,0.2645777
69,-1.9445251,-1.7314528,"('lazy', 'industrious')",1.1958293,1.2521185,0.55025154,0.6398272,-0.32536852,-0.302666,-0.1309532,-0.0355433,-0.0954099
60,1.8517545,1.7947794,"('inefficient', 'efficient')",-0.3246941,-0.6771253,1.3675435,0.8594035,0.14127742,-0.062027797,0.7589703,0.4787574,0.2802129
43,1.8414029,1.4666834,"('irresponsible', 'responsible')",0.64943445,0.43418795,0.8996657,0.6712321,0.80462956,0.7041659,1.0487831,0.8190674,0.2297157
14,1.7296573,1.5370103,"('antisocial', 'social')",0.7978415,0.59298307,1.3687354,0.9458914,-0.937373,-0.8839343,0.7397153,0.5479876,0.1917277
35,-1.709793,-2.1418993,"('corrupt', 'incorrupt')",-0.57324505,-0.59817445,-1.2087678,-1.3790841,-0.10019964,-0.4605057,-0.8980014,-1.1449158,0.2469144
39,1.6812449,1.9117768,"('exploitative', 'cooperative')",-0.09159866,-0.12577319,1.1086392,0.9405403,0.009033859,-0.20361601,0.6768299,0.630732,0.0460979
7,1.5684571,1.6444184,"('insensitive', 'sensitive')",0.38430083,0.64985204,0.32471988,0.36914667,0.98820317,1.1300582,0.8164202,0.9483688,-0.1319486
9,1.5614316,0.808222,"('unaffectionate', 'caring')",1.0064485,0.95250064,0.28005406,0.23177701,1.5407789,1.2566472,1.0971782,0.8122867,0.2848915
31,-1.5190437,-1.919435,"('evil', 'good')",-1.0768656,-1.0522949,-1.2571373,-1.0701578,-1.0115589,-1.1123402,-1.2161514,-1.2885568,0.0724054
23,1.4806211,1.4691585,"('insincere', 'sincere')",-0.19201463,-0.24387988,0.49028292,0.24469465,6.273397,5.889012,2.0130715,1.8397462,0.1733253
