,supervalu_male,supervalu_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-1.8925909,-2.0853374,"('uninfluential', 'influential')",-0.11595079,-0.12073308,-1.0042708,-1.1030352,0.0987644
10,-1.8801483,-1.8274565,"('unsympathetic', 'sympathetic')",-0.56845653,-0.5025043,-1.2243024,-1.1649804,-0.059322
58,-1.5942734,-1.587102,"('undiscriminating', 'discriminating')",0.048535444,0.04984597,-0.772869,-0.7686281,-0.0042409
19,-1.5859414,-1.4971026,"('inhospitable', 'hospitable')",-0.2954812,-0.30300435,-0.9407113,-0.9000535,-0.0406578
66,-1.3675224,-1.2739424,"('inactive', 'active')",0.33840123,0.13368279,-0.5145606,-0.5701298,0.0555692
53,-1.2899528,-1.4069215,"('uncreative', 'creative')",0.9752143,0.85458386,-0.1573692,-0.2761688,0.1187996
11,-1.2604073,-1.184846,"('unhelpful', 'helpful')",1.7131569,1.8227247,0.2263748,0.3189393,-0.0925645
45,-1.2602913,-1.1650546,"('incompetent', 'competent')",-0.45410097,-0.23949575,-0.8571962,-0.7022752,-0.154921
57,-1.2004267,-1.3482217,"('unimaginative', 'imaginative')",-2.171192,-2.27666,-1.6858094,-1.8124409,0.1266315
43,-1.1972514,-1.1220566,"('irresponsible', 'responsible')",0.6347676,0.77425444,-0.2812419,-0.1739011,-0.1073408
84,1.1582242,1.1305643,"('inferior', 'superior')",1.0273639,1.110252,1.0927941,1.1204082,-0.0276141
0,-1.1497618,-1.2115836,"('unsociable', 'sociable')",-0.26891032,-0.24248518,-0.709336,-0.7270344,0.0176984
44,1.1442401,1.3495487,"('prejudiced', 'unprejudiced')",-1.0122881,-0.9329509,0.065976,0.2082989,-0.1423229
61,-1.1079637,-1.177072,"('illogical', 'logical')",0.32466906,0.33569,-0.3916473,-0.420691,0.0290437
63,-1.0796745,-1.1491343,"('unperceptive', 'insightful')",1.0244492,1.0671308,-0.0276126,-0.0410017,0.0133891
8,-1.0620725,-1.246352,"('unaffectionate', 'affectionate')",0.6272995,0.44630808,-0.2173865,-0.4000219,0.1826354
12,-1.0445921,-1.1240886,"('unsupportive', 'supportive')",-1.475554,-1.5749112,-1.2600731,-1.3494999,0.0894268
24,-1.0092047,-1.0761163,"('dishonest', 'honest')",0.48118863,0.4940989,-0.264008,-0.2910087,0.0270007
28,-0.9893237,-0.98799706,"('disloyal', 'loyal')",0.8451467,0.9074489,-0.0720885,-0.0402741,-0.0318144
23,-0.9325494,-1.0511111,"('insincere', 'sincere')",5.432684,5.53216,2.2500672,2.2405243,0.0095429
9,-0.9001214,-1.0373456,"('unaffectionate', 'caring')",1.1246089,1.0004004,0.1122437,-0.0184726,0.1307163
81,-0.85024524,-0.7814819,"('submissive', 'aggressive')",-0.66179776,-0.5638553,-0.7560215,-0.6726686,-0.0833529
46,-0.83338803,-0.858562,"('uncompetitive', 'competitive')",-0.18140031,-0.16141984,-0.5073942,-0.5099909,0.0025967
75,0.8023419,0.8590063,"('meek', 'impulsive')",-0.567729,-0.51307005,0.1173064,0.1729681,-0.0556617
50,0.7343468,0.81284565,"('clumsy', 'skillful')",0.37837654,0.30731237,0.5563617,0.560079,-0.0037173
71,0.7104969,0.62633467,"('diffident', 'self-confident')",0.8743837,0.8963436,0.7924403,0.7613391,0.0311012
39,0.7089505,0.71704,"('exploitative', 'cooperative')",0.3847989,0.39591014,0.5468747,0.556475,-0.0096003
68,-0.7065736,-0.7635532,"('dependent', 'independent')",-0.18867932,-0.3072628,-0.4476265,-0.535408,0.0877815
55,-0.70256954,-0.66109097,"('incompetent', 'clever')",0.32518294,0.38100877,-0.1886933,-0.1400411,-0.0486522
56,-0.702107,-0.5319898,"('impractical', 'practical')",-0.49756458,-0.18751365,-0.5998358,-0.3597517,-0.2400841
38,-0.6684232,-0.64164096,"('untruthful', 'truthful')",-0.29552943,-0.16997465,-0.4819763,-0.4058078,-0.0761685
79,-0.6618586,-0.7834876,"('wavering', 'unwavering')",-0.2938629,-0.39772213,-0.4778607,-0.5906049,0.1127442
13,-0.65337163,-0.61882234,"('impolite', 'polite')",-0.55038285,-0.41129577,-0.6018772,-0.5150591,-0.0868181
69,0.64957905,0.6326384,"('lazy', 'industrious')",-0.46587655,-0.5886508,0.0918512,0.0219938,0.0698574
36,-0.6494067,-0.8267599,"('hostile', 'amicable')",-0.066357866,-0.31160197,-0.3578823,-0.5691809,0.2112986
35,0.6443738,0.72093487,"('corrupt', 'incorrupt')",-0.34085873,-0.4749368,0.1517575,0.122999,0.0287585
82,-0.6289679,-0.6542397,"('poor', 'rich')",5.6093364,5.7313905,2.4901843,2.5385754,-0.0483911
34,-0.6137454,-0.59676504,"('mean', 'honorable')",5.8093657,5.9307976,2.5978103,2.6670163,-0.069206
6,-0.60922724,-0.68857676,"('distant', 'open')",0.068254784,-0.09136526,-0.2704862,-0.389971,0.1194848
1,-0.5968018,-0.78304243,"('unfriendly', 'friendly')",1.8850032,1.7757947,0.6441007,0.4963762,0.1477245
87,-0.58101684,-0.47460353,"('unsuccessful', 'successful')",0.69358385,0.74799,0.0562835,0.1366932,-0.0804097
37,-0.57929873,-0.4254983,"('fake', 'genuine')",0.19364005,0.24438672,-0.1928293,-0.0905558,-0.1022735
73,0.53614396,0.8546308,"('helpless', 'self-reliant')",-2.8514435,-2.7686336,-1.1576498,-0.9570014,-0.2006484
25,0.525861,0.29166412,"('egoistic', 'altruistic')",1.7516172,1.5453032,1.1387391,0.9184837,0.2202554
7,-0.5220303,-0.5620621,"('insensitive', 'sensitive')",0.96195394,1.0435578,0.2199618,0.2407478,-0.020786
59,0.51966876,0.30230784,"('foolish', 'wise')",0.3548922,0.13592772,0.4372805,0.2191178,0.2181627
51,-0.50263447,-0.38171512,"('uneducated', 'educated')",0.49678123,0.48592198,-0.0029266,0.0521034,-0.05503
70,-0.4995026,-0.42553,"('lethargic', 'energetic')",0.48921788,0.53879285,-0.0051424,0.0566314,-0.0617738
65,-0.49341065,-0.57565176,"('insecure', 'secure')",-0.046990916,-0.027688846,-0.2702008,-0.3016703,0.0314695
52,-0.480136,-0.6270353,"('irrational', 'rational')",-0.16399637,-0.400248,-0.3220662,-0.5136417,0.1915755
14,-0.43256852,-0.31675616,"('antisocial', 'social')",-0.56109875,-0.29137015,-0.4968336,-0.3040631,-0.1927705
40,0.43109086,0.2331549,"('stingy', 'generous')",-1.3029603,-1.4553587,-0.4359347,-0.6111019,0.1751672
48,0.40423572,0.097202435,"('unintelligent', 'intelligent')",1.3220071,1.2552042,0.8631214,0.6762033,0.1869181
3,-0.34355882,-0.37398222,"('repellent', 'pleasant')",0.16162407,0.18812633,-0.0909674,-0.0929279,0.0019605
41,-0.33247003,-0.45481545,"('unforgiving', 'forgiving')",-0.22319861,-0.20659325,-0.2778343,-0.3307043,0.05287
21,-0.30325985,-0.3598429,"('immoral', 'moral')",-0.31708848,-0.19864057,-0.3101742,-0.2792417,-0.0309325
49,0.2979357,0.19121334,"('unable', 'able')",0.26393527,0.23489314,0.2809355,0.2130532,0.0678823
78,0.2911013,0.13600653,"('nonresilient', 'resilient')",0.6800429,0.72025293,0.4855721,0.4281297,0.0574424
31,-0.28795707,-0.56058514,"('evil', 'good')",-1.1774131,-1.3579925,-0.7326851,-0.9592888,0.2266037
30,-0.2853093,-0.27625734,"('intolerant', 'tolerant')",1.2340109,1.3145003,0.4743508,0.5191215,-0.0447707
27,-0.27817652,-0.25558117,"('hardhearted', 'softhearted')",1.5818006,1.4265178,0.651812,0.5854684,0.0663436
47,-0.27413282,-0.27338234,"('stupid', 'smart')",4.838569,4.9191747,2.2822182,2.3228962,-0.040678
85,0.2613186,0.12966956,"('insignificant', 'prestigious')",0.6717907,0.3984048,0.4665546,0.2640372,0.2025174
64,0.2552229,0.2702608,"('shy', 'confident')",-6.023239,-5.9733257,-2.8840082,-2.8515325,-0.0324757
54,-0.25227553,-0.30006045,"('incapable', 'capable')",1.1440771,1.1028581,0.4459008,0.4013988,0.044502
20,0.25017145,0.4331238,"('rough', 'thoughtful')",1.283164,1.3753511,0.7666677,0.9042374,-0.1375697
76,0.24655442,0.43806386,"('anxious', 'daring')",0.4299656,0.45586205,0.33826,0.446963,-0.108703
67,0.24151388,0.31235635,"('doubtful', 'determined')",-1.048825,-0.8105984,-0.4036556,-0.249121,-0.1545346
33,-0.23434007,-0.36331356,"('wrong', 'right')",-0.6923939,-0.74707896,-0.463367,-0.5551963,0.0918293
42,-0.23399676,-0.03926617,"('unreliable', 'reliable')",-3.009153,-2.9731123,-1.6215749,-1.5061892,-0.1153857
88,-0.22430706,-0.33053628,"('low', 'eminent')",0.5563367,0.42612174,0.1660148,0.0477927,0.1182221
32,0.20726974,0.21339563,"('unkind', 'kind')",1.1320645,1.0707985,0.6696671,0.6420971,0.02757
62,-0.18057907,-0.080434814,"('incompetent', 'brilliant')",0.10802627,0.3557582,-0.0362764,0.1376617,-0.1739381
2,0.1712232,0.18718642,"('unlikable', 'likable')",0.5806539,0.51266104,0.3759385,0.3499237,0.0260148
16,-0.17072916,-0.23775314,"('unpopular', 'popular')",0.2916828,0.25405836,0.0604768,0.0081526,0.0523242
74,-0.16352567,-0.12443909,"('undedicated', 'dedicated')",0.081869304,0.085436,-0.0408282,-0.0195015,-0.0213267
5,-0.15437582,-0.23697507,"('distant', 'outgoing')",-0.21498801,-0.32262748,-0.1846819,-0.2798013,0.0951194
77,-0.14762338,-0.24582608,"('unmotivated', 'motivated')",-0.9383822,-0.788149,-0.5430028,-0.5169876,-0.0260152
80,0.13853587,0.260683,"('dominated', 'dominating')",-1.2817523,-1.1892047,-0.5716082,-0.4642608,-0.1073474
