,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,male-female
8,-2.2253869,-2.057203,"('unaffectionate', 'affectionate')",-1.8050385,-1.7873449,-3.4178998,-3.1671996,-0.24951974,-0.23342457,-1.9244612,-1.811293,-0.1131682
1,-2.0555396,-1.8387262,"('unfriendly', 'friendly')",-1.1763235,-1.0475122,-0.8028423,-0.61442035,1.1267095,1.2157291,-0.7269989,-0.5712324,-0.1557665
69,1.908209,1.9871827,"('lazy', 'industrious')",1.4292818,1.40962,-1.0695924,-0.949645,-0.018958,0.012329478,0.5622351,0.6148719,-0.0526368
53,-1.9044329,-1.7642356,"('uncreative', 'creative')",-0.26342106,-0.30886027,-0.20292002,-0.055520512,0.78705364,0.7849191,-0.3959301,-0.3359243,-0.0600058
64,1.7877975,1.5229776,"('shy', 'confident')",0.84298766,0.6569041,0.014502719,-0.1131472,-5.9597716,-5.7403455,-0.828621,-0.9184028,0.0897818
67,1.6587365,1.72869,"('doubtful', 'determined')",0.43119228,0.4102447,-0.13761362,-0.10468388,-0.42981663,-0.22746047,0.3806246,0.4516976,-0.071073
44,1.6556635,1.4689162,"('prejudiced', 'unprejudiced')",0.8200586,0.5875045,-1.0044209,-0.9692922,-1.087033,-1.180768,0.096067,-0.0234098,0.1194768
9,-1.6048793,-1.3523101,"('unaffectionate', 'caring')",-0.5076258,-0.45013797,-0.86133,-0.6631671,0.84838665,0.94461,-0.5313621,-0.3802513,-0.1511108
86,-1.5073199,-1.518858,"('uninfluential', 'influential')",0.24747264,0.21686016,1.6975449,1.4255416,-0.1887668,-0.17319916,0.0622327,-0.0124138,0.0746465
56,1.4861426,1.7999024,"('impractical', 'practical')",1.7298758,1.8479828,3.040957,2.9246612,0.20745364,0.67403644,1.6161072,1.8116457,-0.1955385
73,1.4812828,1.5898947,"('helpless', 'self-reliant')",-0.1450644,0.018228788,-1.2926499,-1.0735432,-3.4630244,-3.240522,-0.8548639,-0.6764854,-0.1783785
48,-1.3824918,-1.5780299,"('unintelligent', 'intelligent')",-0.3689229,-0.48496413,0.25860995,0.07112924,0.46725082,0.35089633,-0.2563885,-0.4102421,0.1538536
55,-1.3683465,-1.5978311,"('incompetent', 'clever')",0.13299192,-0.21282129,2.639384,2.1771827,-0.10825684,-0.2357533,0.3239432,0.0326943,0.2912489
28,-1.3401353,-1.3264952,"('disloyal', 'loyal')",-0.6490816,-0.6870709,0.356019,0.40079835,0.67694134,0.70897377,-0.2390641,-0.2259485,-0.0131156
82,-1.2524872,-0.87738025,"('poor', 'rich')",-0.5416776,-0.22382408,0.46044916,0.5634298,5.798237,5.8860006,1.1161304,1.3370565,-0.2209261
60,1.2364082,1.3466871,"('inefficient', 'efficient')",1.9014415,1.7741466,3.7368793,3.374568,0.6159221,0.8658663,1.8726628,1.8403169,0.0323459
78,-1.2100401,-1.033537,"('nonresilient', 'resilient')",0.6989836,0.8267766,-0.24930118,-0.24186769,0.69013876,0.82300305,-0.0175547,0.0935937,-0.1111484
42,1.0849121,1.0486048,"('unreliable', 'reliable')",0.76884955,0.7382037,1.0251856,1.1627438,-2.907943,-2.627133,-0.0072489,0.0806049,-0.0878538
16,-1.0758177,-0.8824021,"('unpopular', 'popular')",-0.27589023,-0.051353484,-1.0767174,-1.0046786,0.4518978,0.5906508,-0.4941319,-0.3369459,-0.157186
31,-1.0746865,-1.013843,"('evil', 'good')",-1.322313,-1.248188,-2.825805,-2.3695045,-1.3376857,-1.2665969,-1.6401224,-1.4745331,-0.1655893
25,-1.0498376,-0.83228594,"('egoistic', 'altruistic')",-0.61763954,-0.37741578,-1.5928226,-1.2647575,0.66091835,0.7535582,-0.6498454,-0.4302253,-0.2196201
10,-1.0366589,-1.1687583,"('unsympathetic', 'sympathetic')",-0.0029597841,-0.16379517,2.1846817,1.9133918,0.045500282,0.104420476,0.2976408,0.1713147,0.1263261
81,1.0257742,0.6690251,"('submissive', 'aggressive')",1.1903937,1.0426027,2.2695203,1.7716347,-0.47209567,-0.37961143,1.0033982,0.7759128,0.2274854
36,-1.0190772,-1.0046225,"('hostile', 'amicable')",-0.7496318,-0.77029586,-4.1743817,-3.9448495,-0.5437319,-0.7664542,-1.6217055,-1.6215554,-0.0001501
46,-1.0165269,-1.1711929,"('uncompetitive', 'competitive')",1.6468338,1.4243642,2.8357484,2.3808262,-0.12890439,-0.20016094,0.8342878,0.6084591,0.2258287
75,0.9539402,1.1005054,"('meek', 'impulsive')",-0.40387976,-0.18636715,-2.5670216,-2.439875,-0.8572223,-0.7680577,-0.7185459,-0.5734486,-0.1450973
0,-0.9394376,-1.0004444,"('unsociable', 'sociable')",0.3759491,0.1281514,1.223787,0.7867532,-0.315895,-0.3361474,0.0861009,-0.1054218,0.1915227
19,-0.92598575,-0.48014072,"('inhospitable', 'hospitable')",-1.3742863,-1.0530515,-1.7437328,-1.2756013,-0.61133105,-0.43567136,-1.163834,-0.8111162,-0.3527178
23,-0.88014,-0.55139124,"('insincere', 'sincere')",0.3648644,0.44371253,2.8210273,2.762909,5.6905966,5.7886796,1.9990871,2.1109774,-0.1118903
3,-0.84312665,-0.7407132,"('repellent', 'pleasant')",0.30621415,0.34986144,2.0747113,1.8434255,0.46010298,0.41298395,0.4994755,0.4663894,0.0330861
50,0.83802694,1.0716574,"('clumsy', 'skillful')",-0.56410044,-0.22173968,-1.0704148,-0.84513164,0.14223495,0.21996707,-0.1635633,0.0561883,-0.2197516
18,-0.8329875,-0.71812475,"('disagreeable', 'welcoming')",0.69196117,0.98775333,-0.26818302,0.16106704,-0.18613069,-0.083614744,-0.148835,0.0867702,-0.2356052
40,-0.8283162,-1.0134728,"('stingy', 'generous')",0.06675674,-0.044720694,-0.16020986,-0.1793051,-1.4576778,-1.3769339,-0.5948618,-0.6536081,0.0587463
80,0.7214887,0.45221627,"('dominated', 'dominating')",1.0066617,0.8606871,2.7603328,2.238781,-1.2763203,-1.429942,0.8030407,0.5304356,0.2726051
65,-0.6983011,-0.93259275,"('insecure', 'secure')",0.63772994,0.49880162,2.6713798,2.231844,-0.29298833,-0.30082285,0.5794551,0.3743075,0.2051476
51,-0.6870439,-0.75960875,"('uneducated', 'educated')",1.1604339,1.2075443,1.1051289,1.0543386,0.301368,0.19764924,0.4699717,0.4249808,0.0449909
