,jpmorgan_male,jpmorgan_female,tuple,chase_male,chase_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
10,-3.9291353,-3.8585212,"('unsympathetic', 'sympathetic')",-1.503168,-1.284789,-1.3565665,-1.2279744,-0.7233024,-0.50990903,-1.8780431,-1.7202984,-0.1577447
55,-2.9802094,-3.2563796,"('incompetent', 'clever')",-1.0360061,-0.9812621,-0.80880356,-0.84498066,-1.2824531,-1.3529878,-1.526868,-1.6089026,0.0820346
69,2.9764605,3.0263548,"('lazy', 'industrious')",0.27855304,0.3476917,1.1829815,1.1711688,0.27913523,0.21197206,1.1792825,1.189297,-0.0100145
0,-2.597605,-2.8015316,"('unsociable', 'sociable')",-0.84065044,-0.82892674,-0.19500318,-0.23810214,-0.67263436,-0.5855449,-1.0764732,-1.1135263,0.0370531
60,-2.5416577,-2.5783343,"('inefficient', 'efficient')",-1.6987302,-1.617189,-1.0063794,-0.86624753,-1.0078045,-0.978098,-1.5636429,-1.5099672,-0.0536757
35,2.5195963,2.5575538,"('corrupt', 'incorrupt')",0.58339953,0.4642645,0.7003102,0.6458294,0.13331601,0.17054057,0.9841555,0.959547,0.0246085
36,2.4042423,2.1684031,"('hostile', 'amicable')",1.0075586,0.8059443,1.0732338,0.7422269,0.64494324,0.65652066,1.2824945,1.0932738,0.1892207
45,-2.3754284,-2.6841652,"('incompetent', 'competent')",-1.3103542,-1.261023,-0.6765715,-0.7359074,-1.6537035,-1.5782863,-1.5040145,-1.5648454,0.0608309
5,2.3650832,2.3606622,"('distant', 'outgoing')",2.2632487,2.1340451,1.4310113,1.2632872,0.63299775,0.53467584,1.6730852,1.5731676,0.0999176
85,2.352367,2.1843143,"('insignificant', 'prestigious')",2.2479646,1.9308656,2.609878,2.385158,0.95630383,1.0501307,2.0416284,1.8876172,0.1540112
46,-2.321373,-2.529989,"('uncompetitive', 'competitive')",0.039569657,0.0723985,-0.3797347,-0.47477028,0.042732388,-0.20745288,-0.6547014,-0.7849534,0.130252
31,2.270926,2.2247026,"('evil', 'good')",0.8405433,0.76864076,0.8054625,0.65230066,-0.31408286,-0.29842022,0.9007122,0.8368059,0.0639063
57,-2.2508328,-2.648446,"('unimaginative', 'imaginative')",-0.70616287,-0.8079087,-0.61726844,-0.8297825,-2.835311,-3.0677783,-1.6023937,-1.838479,0.2360853
14,-2.2367702,-2.565018,"('antisocial', 'social')",-0.7460284,-0.66983485,0.2952598,0.12037986,-1.1657171,-1.2445085,-0.963314,-1.0897453,0.1264313
21,-2.216404,-2.2429247,"('immoral', 'moral')",-0.47800967,-0.3210775,-0.45863998,-0.462969,-1.8145834,-1.8880577,-1.2419093,-1.2287573,-0.013152
13,-2.1164954,-1.9805278,"('impolite', 'polite')",-0.9451853,-0.83304346,-1.2285632,-0.96073896,-0.8641221,-0.8145816,-1.2885915,-1.1472229,-0.1413686
65,-2.1151597,-2.220708,"('insecure', 'secure')",-1.4861623,-1.5140753,-0.83762646,-0.72140634,-1.4177421,-1.3751473,-1.4641727,-1.4578342,-0.0063385
81,-2.0959768,-1.8926004,"('submissive', 'aggressive')",-0.8852816,-0.6090864,-0.24800146,-0.13762088,-1.4478773,-1.4691366,-1.1692843,-1.0271111,-0.1421732
43,-2.0907614,-2.0456142,"('irresponsible', 'responsible')",0.047179796,0.19104943,-1.4175799,-1.244462,-0.52807575,-0.46346337,-0.9973093,-0.8906225,-0.1066868
70,-2.0439885,-2.289204,"('lethargic', 'energetic')",-0.6490234,-0.62954277,-0.42475387,-0.6022297,-0.77175945,-0.77165425,-0.9723813,-1.0731577,0.1007764
86,-2.0208175,-2.1881843,"('uninfluential', 'influential')",0.3576146,0.35451367,0.008154672,0.0577555,-0.84427524,-0.65097994,-0.6248308,-0.6067238,-0.018107
11,-1.9700089,-2.0941825,"('unhelpful', 'helpful')",-1.0803089,-1.107399,-1.48212,-1.4580398,1.5123185,1.6092594,-0.7550298,-0.7625905,0.0075607
62,-1.9264168,-2.2062492,"('incompetent', 'brilliant')",-0.21444908,-0.2680383,-0.88199884,-0.9695386,-0.65351194,-0.83482283,-0.9190941,-1.0696622,0.1505681
48,-1.9162585,-2.0278523,"('unintelligent', 'intelligent')",-1.5232552,-1.4825698,-0.6046834,-0.4910773,-1.5360414,-1.3595681,-1.3950596,-1.3402669,-0.0547927
