,murphy_male,murphy_female,tuple,oil_male,oil_female,corp_male,corp_female,average_male,average_female,male-female
74,1.7952626,1.7651322,"('undedicated', 'dedicated')",-0.17189047,-0.1536548,-0.39429265,-0.33729678,0.4096932,0.4247269,-0.0150337
12,1.4582224,1.4132366,"('unsupportive', 'supportive')",1.1325241,1.1928209,-1.6259955,-1.1667495,0.3215836,0.4797694,-0.1581858
16,-1.2227101,-1.088477,"('unpopular', 'popular')",0.19892815,0.115280926,0.36971658,0.27924883,-0.2180218,-0.2313158,0.013294
25,1.1252196,1.3363398,"('egoistic', 'altruistic')",1.0526462,1.1067663,0.45775887,0.7850454,0.8785415,1.0760505,-0.197509
17,-1.106537,-1.165832,"('nasty', 'nice')",-1.4636979,-1.4691098,-0.59081876,-0.6453948,-1.0536846,-1.0934455,0.0397609
71,1.0381565,1.1307058,"('diffident', 'self-confident')",1.5525552,1.6216774,0.3737662,0.50297403,0.9881593,1.0851191,-0.0969598
73,1.02537,1.0726609,"('helpless', 'self-reliant')",0.68769395,0.77465594,-3.7759874,-3.366483,-0.6876411,-0.5063887,-0.1812524
72,1.0180888,0.89584535,"('unambitious', 'ambitious')",0.45985606,0.50468767,-0.60624003,-0.4513215,0.2905683,0.3164038,-0.0258355
49,-0.9862817,-1.1349468,"('unable', 'able')",-0.3166257,-0.3064899,-0.14675835,-0.48054007,-0.4832219,-0.6406589,0.157437
44,-0.96845824,-1.1712046,"('prejudiced', 'unprejudiced')",-1.0956421,-1.0530032,-1.5054792,-1.4141715,-1.1898599,-1.2127931,0.0229332
9,0.9520383,1.4463732,"('unaffectionate', 'caring')",0.49919128,0.8296035,0.47906056,0.90187764,0.64343,1.0592848,-0.4158548
56,0.9408103,0.97768,"('impractical', 'practical')",0.7629394,0.8352618,0.2062107,0.1255619,0.6366535,0.6461679,-0.0095144
47,-0.9360603,-1.1205124,"('stupid', 'smart')",0.22344662,0.35055682,5.14783,4.6040006,1.4784055,1.278015,0.2003905
45,-0.9019628,-0.70292455,"('incompetent', 'competent')",0.022624377,0.031105757,0.31407672,0.3204049,-0.1884206,-0.117138,-0.0712826
30,-0.8976674,-0.8559157,"('intolerant', 'tolerant')",-0.3177881,-0.20297824,0.19149229,0.47589847,-0.3413211,-0.1943318,-0.1469893
31,-0.89494765,-0.519822,"('evil', 'good')",-0.77648014,-0.7157126,-2.0132167,-1.6345989,-1.2282148,-0.9567111,-0.2715037
23,0.87446964,0.9067867,"('insincere', 'sincere')",-0.10299065,0.0086055705,6.085168,5.514283,2.285549,2.1432252,0.1423238
33,0.8617327,1.1779276,"('wrong', 'right')",1.2939951,1.5013571,-1.0324458,-0.4590168,0.3744274,0.7400893,-0.3656619
39,0.80511564,0.812904,"('exploitative', 'cooperative')",-0.8550707,-0.623748,-0.3033752,-0.15211153,-0.1177768,0.0123482,-0.130125
46,-0.7801242,-1.0975915,"('uncompetitive', 'competitive')",0.4355597,0.23172852,0.16868816,-0.15142827,-0.0586254,-0.3390971,0.2804717
88,-0.7564116,-0.6099057,"('low', 'eminent')",-0.53096384,-0.38642156,-0.47009948,-0.30731574,-0.585825,-0.4345477,-0.1512773
82,-0.7258266,-0.91932416,"('poor', 'rich')",-0.23722571,-0.41473132,6.8620014,5.902009,1.9663164,1.5226512,0.4436652
