,cummins_male,cummins_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.7342377,1.6447823,"('lazy', 'industrious')",-0.6224437,-0.77615803,0.555897,0.4343121,0.1215849
87,1.5799909,1.2364169,"('unsuccessful', 'successful')",1.1285119,0.9251785,1.3542514,1.0807977,0.2734537
18,-1.4862329,-1.2993599,"('disagreeable', 'welcoming')",-0.42570737,-0.52412504,-0.9559701,-0.9117424,-0.0442277
72,-1.3023859,-1.3355819,"('unambitious', 'ambitious')",-0.90636843,-1.193059,-1.1043772,-1.2643204,0.1599432
73,1.2722275,1.2992862,"('helpless', 'self-reliant')",-3.0559864,-3.1729872,-0.8918794,-0.9368505,0.0449711
57,-1.2164793,-1.324626,"('unimaginative', 'imaginative')",-2.4120893,-2.6162872,-1.8142843,-1.9704566,0.1561723
39,1.1308062,1.0817447,"('exploitative', 'cooperative')",0.057230644,-0.10174496,0.5940184,0.4899999,0.1040185
65,-1.0781642,-1.1037608,"('insecure', 'secure')",-0.7382048,-0.72321457,-0.9081845,-0.9134877,0.0053032
8,-1.0575528,-1.2798393,"('unaffectionate', 'affectionate')",0.916172,0.4513292,-0.0706904,-0.414255,0.3435646
71,0.96756846,0.94176024,"('diffident', 'self-confident')",0.70810133,0.5584219,0.8378349,0.7500911,0.0877438
33,0.9664995,1.1122234,"('wrong', 'right')",-0.46637398,-0.61679125,0.2500628,0.2477161,0.0023467
10,-0.9442515,-0.93385375,"('unsympathetic', 'sympathetic')",0.1327021,0.07914424,-0.4057747,-0.4273548,0.0215801
84,0.898705,0.8984235,"('inferior', 'superior')",0.9806526,0.9875345,0.9396788,0.942979,-0.0033002
26,0.88701046,0.62579346,"('hardhearted', 'benevolent')",1.3626183,1.2979828,1.1248144,0.9618881,0.1629263
42,-0.8843681,-0.5846672,"('unreliable', 'reliable')",-3.2707496,-3.3682973,-2.0775588,-1.9764823,-0.1010765
85,0.87584734,0.7395168,"('insignificant', 'prestigious')",0.5142369,0.474161,0.6950421,0.6068389,0.0882032
77,-0.8388087,-0.55149674,"('unmotivated', 'motivated')",-1.137905,-0.95811856,-0.9883568,-0.7548077,-0.2335491
76,-0.8309988,-0.6187449,"('anxious', 'daring')",0.09980532,0.38563082,-0.3655967,-0.116557,-0.2490397
59,0.7964711,0.6817717,"('foolish', 'wise')",0.6198289,0.30139002,0.70815,0.4915808,0.2165692
55,-0.7859224,-0.957566,"('incompetent', 'clever')",0.21245274,0.044885118,-0.2867348,-0.4563405,0.1696057
52,-0.72530955,-0.7358664,"('irrational', 'rational')",-0.24742971,-0.6055727,-0.4863696,-0.6707196,0.18435
63,0.68486995,0.5324777,"('unperceptive', 'insightful')",1.7447293,1.555335,1.2147996,1.0439063,0.1708933
48,-0.66124433,-0.6722994,"('unintelligent', 'intelligent')",0.49586028,0.36638796,-0.082692,-0.1529557,0.0702637
74,0.65656865,0.58130383,"('undedicated', 'dedicated')",0.34467483,0.26857767,0.5006217,0.4249408,0.0756809
60,-0.64848137,-0.4001051,"('inefficient', 'efficient')",-0.07346522,0.020513851,-0.3609733,-0.1897956,-0.1711777
43,-0.6220142,-0.36503223,"('irresponsible', 'responsible')",0.7066077,0.57329905,0.0422967,0.1041334,-0.0618367
17,-0.61792266,-0.7061885,"('nasty', 'nice')",-0.35774142,-0.36338863,-0.487832,-0.5347885,0.0469565
