,broadcom_male,broadcom_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.6836345,-1.2981411,"('unsympathetic', 'sympathetic')",-0.2973991,-0.28526777,-0.9905168,-0.7917044,-0.1988124
0,-1.6704229,-1.4834571,"('unsociable', 'sociable')",-0.010169031,-0.08005522,-0.840296,-0.7817562,-0.0585398
8,-1.5491344,-0.99263006,"('unaffectionate', 'affectionate')",0.35619336,0.74966073,-0.5964705,-0.1214847,-0.4749858
43,-1.5287154,-1.2512226,"('irresponsible', 'responsible')",0.3116575,0.24310738,-0.608529,-0.5040576,-0.1044714
1,-1.5206814,-0.7400803,"('unfriendly', 'friendly')",1.2837634,1.6593609,-0.118459,0.4596403,-0.5780993
86,-1.4330858,-0.84254426,"('uninfluential', 'influential')",-0.2623406,-0.07275334,-0.8477132,-0.4576488,-0.3900644
9,-1.3714426,-0.6390457,"('unaffectionate', 'caring')",0.96261704,1.2183899,-0.2044128,0.2896721,-0.4940849
38,-1.3353748,-1.0419656,"('untruthful', 'truthful')",-0.0969307,0.020379208,-0.7161528,-0.5107932,-0.2053596
73,1.3139709,1.0141529,"('helpless', 'self-reliant')",-3.337618,-3.049321,-1.0118237,-1.0175841,0.0057604
53,-1.3012109,-0.97926766,"('uncreative', 'creative')",0.5503007,0.61217666,-0.3754551,-0.1835455,-0.1919096
32,-1.2566535,-0.66044444,"('unkind', 'kind')",0.48363447,0.5778379,-0.3865095,-0.0413033,-0.3452062
39,1.1258357,1.5378544,"('exploitative', 'cooperative')",-0.05553883,0.26298362,0.5351484,0.900419,-0.3652706
41,-1.0534693,-0.51416516,"('unforgiving', 'forgiving')",-0.052895218,0.097858205,-0.5531822,-0.2081535,-0.3450287
63,-1.0507783,-0.89436316,"('unperceptive', 'insightful')",0.8285753,0.77615213,-0.1111015,-0.0591055,-0.051996
23,-1.0452428,-0.828332,"('insincere', 'sincere')",5.706291,4.9900227,2.3305242,2.0808454,0.2496788
11,-1.0212755,-0.81655526,"('unhelpful', 'helpful')",1.8530085,1.6671509,0.4158665,0.4252978,-0.0094313
57,-0.99580896,-1.0176952,"('unimaginative', 'imaginative')",-3.077674,-2.713636,-2.0367415,-1.8656656,-0.1710759
