,southwest_male,southwest_female,tuple,airlines_male,airlines_female,co_male,co_female,average_male,average_female,male-female
16,-1.6830192,-1.1485496,"('unpopular', 'popular')",-0.45119908,-0.17540185,-0.13947976,0.06458208,-0.7578993,-0.4197898,-0.3381095
63,1.5879673,1.1019081,"('unperceptive', 'insightful')",0.2967841,0.3192632,-0.21829684,-0.08810671,0.5554848,0.4443549,0.1111299
39,1.4362897,1.2360501,"('exploitative', 'cooperative')",1.2659477,1.2009561,0.71797496,0.76847464,1.1400708,1.0684936,0.0715772
7,1.3871304,1.0170826,"('insensitive', 'sensitive')",0.29720953,0.32182613,0.37365648,0.51633704,0.6859988,0.6184152,0.0675836
4,-1.3535461,-0.45051333,"('disliked', 'liked')",0.47339696,0.54289174,-7.446902,-7.5490804,-2.7756837,-2.4855673,-0.2901164
36,-1.245854,-0.2706318,"('hostile', 'amicable')",0.51235986,0.7935848,0.07273303,0.33338207,-0.2202537,0.285445,-0.5056987
23,1.1773089,0.66160166,"('insincere', 'sincere')",-0.25291598,-0.305497,5.8109016,5.961014,2.2450981,2.1057062,0.1393919
35,-1.142747,-0.39671534,"('corrupt', 'incorrupt')",0.025029942,0.0063448586,-0.41780654,-0.42379466,-0.5118412,-0.2713884,-0.2404528
37,1.1356353,0.85255975,"('fake', 'genuine')",-0.5463294,-0.42401606,0.08554254,0.12964141,0.2249495,0.1860617,0.0388878
27,1.0979509,1.1698002,"('hardhearted', 'softhearted')",0.18390416,0.18116942,1.2572474,1.3900228,0.8463675,0.9136641,-0.0672966
26,1.0937476,1.4101242,"('hardhearted', 'benevolent')",2.3897035,2.4078755,1.6389211,1.6824864,1.7074574,1.8334955,-0.1260381
31,-1.0607909,0.0035288064,"('evil', 'good')",0.110104,0.4594128,-0.49826092,-0.38580763,-0.4829826,0.0257113,-0.5086939
42,1.047859,0.578259,"('unreliable', 'reliable')",-0.5182938,-0.81591797,-2.822351,-2.9865115,-0.764262,-1.0747235,0.3104615
64,-1.0025598,-1.0001376,"('shy', 'confident')",-0.8147555,-0.8303237,-6.129753,-6.3562846,-2.6490227,-2.7289152,0.0798925
0,-0.99569595,-1.3691517,"('unsociable', 'sociable')",-0.2636226,-0.29078406,-0.43954852,-0.30109748,-0.566289,-0.6536777,0.0873887
33,0.99252224,1.3789126,"('wrong', 'right')",1.1231018,1.2975833,-0.34500208,-0.14523104,0.5902073,0.843755,-0.2535477
49,-0.9634305,-1.0905389,"('unable', 'able')",-1.0306969,-1.0598024,-0.92720824,-0.82913864,-0.9737786,-0.9931599,0.0193813
74,0.9166931,0.7344143,"('undedicated', 'dedicated')",0.7801091,0.7012414,-0.03058616,-0.13270067,0.5554053,0.4343183,0.121087
67,0.8985766,0.45911926,"('doubtful', 'determined')",-0.7025518,-0.9500407,-0.46428895,-0.55205387,-0.0894214,-0.3476584,0.258237
52,-0.87711287,-0.023388669,"('irrational', 'rational')",0.6950955,0.8598704,0.0014971755,0.25563157,-0.0601734,0.3640378,-0.4242112
5,-0.85886663,-0.25746998,"('distant', 'outgoing')",0.615378,0.6242743,-0.40767443,-0.3144671,-0.2170543,0.0174457,-0.2345
75,-0.83057463,-0.4493064,"('meek', 'impulsive')",0.4246233,0.3038747,-0.39588702,-0.50619835,-0.2672794,-0.21721,-0.0500694
46,0.81131315,-0.2497638,"('uncompetitive', 'competitive')",-0.030157544,-0.14068072,-1.2443479,-1.3202772,-0.1543974,-0.5702406,0.4158432
47,-0.7922585,-1.0592778,"('stupid', 'smart')",0.34528175,0.28078717,4.939617,5.1214027,1.4975468,1.4476374,0.0499094
87,-0.77790153,-0.8882039,"('unsuccessful', 'successful')",-0.18249899,-0.21869862,0.067722715,0.21557564,-0.2975593,-0.297109,-0.0004503
12,0.77081203,0.7728383,"('unsupportive', 'supportive')",0.11270641,0.19463706,-2.1517115,-1.9608221,-0.422731,-0.3311156,-0.0916154
62,0.7680495,0.23984826,"('incompetent', 'brilliant')",-0.22257076,-0.33462304,-0.47784665,-0.40747628,0.022544,-0.167417,0.189961
72,0.7534457,0.7255095,"('unambitious', 'ambitious')",0.4598795,0.41587675,-0.2935609,-0.25416332,0.3065881,0.295741,0.0108471
17,-0.7533133,-0.45208946,"('nasty', 'nice')",0.20891199,0.2938129,-0.10733253,-0.11660139,-0.2172446,-0.091626,-0.1256186
32,0.742526,0.5694939,"('unkind', 'kind')",-0.106839,-0.15360175,0.96427894,1.0223202,0.533322,0.4794041,0.0539179
73,0.74137163,0.9698157,"('helpless', 'self-reliant')",0.82104784,0.8210135,-3.217501,-3.2710662,-0.5516938,-0.4934123,-0.0582815
24,0.73045415,0.93197775,"('dishonest', 'honest')",-0.1835143,-0.0473239,1.0078381,1.0561069,0.5182593,0.6469203,-0.128661
44,-0.7242352,-1.0219706,"('prejudiced', 'unprejudiced')",-0.9327352,-1.1192049,-0.8640409,-1.0462153,-0.8403371,-1.0624636,0.2221265
58,0.688812,0.5290723,"('undiscriminating', 'discriminating')",0.28061035,0.34355348,0.071859114,0.11336854,0.3470938,0.3286648,0.018429
10,0.6876397,0.20443638,"('unsympathetic', 'sympathetic')",-0.8019019,-0.84776455,-0.14512868,-0.13389677,-0.0864636,-0.259075,0.1726114
56,0.6813292,-0.04217615,"('impractical', 'practical')",-0.05558084,-0.2429122,-0.86925423,-0.9501027,-0.0811686,-0.4117304,0.3305618
60,0.67351145,-0.24891734,"('inefficient', 'efficient')",-0.37412733,-0.38691705,-0.3817564,-0.39654186,-0.0274574,-0.3441254,0.316668
21,0.6548861,-0.05473804,"('immoral', 'moral')",-0.42108938,-0.34925964,-0.7795926,-0.83615476,-0.1819319,-0.4133842,0.2314523
59,-0.6500801,-0.19635153,"('foolish', 'wise')",0.09314011,0.035525195,0.0338137,0.16695157,-0.1743754,0.0020417,-0.1764171
40,0.60424095,0.8005393,"('stingy', 'generous')",0.086603954,0.15747517,-2.2435665,-2.082531,-0.5175739,-0.3748388,-0.1427351
20,0.5796337,0.20234707,"('rough', 'thoughtful')",-0.69155467,-0.57216436,0.35579956,0.394414,0.0812929,0.0081989,0.073094
76,0.5717236,-0.20544124,"('anxious', 'daring')",-1.2366747,-1.4926622,-0.29819006,-0.49441263,-0.321047,-0.7308387,0.4097917
82,-0.56854486,-0.9531884,"('poor', 'rich')",-0.09386584,-0.0957248,6.023069,6.144059,1.7868861,1.6983821,0.088504
25,0.56157917,0.95261997,"('egoistic', 'altruistic')",1.5212848,1.5535651,1.4558433,1.595616,1.1795691,1.367267,-0.1876979
6,-0.5470316,0.045785677,"('distant', 'open')",0.3918821,0.42860582,0.09091933,0.21536967,-0.0214101,0.2299204,-0.2513305
9,0.54669565,1.0257541,"('unaffectionate', 'caring')",0.48958442,0.5776272,1.0565004,1.2506992,0.6975935,0.9513601,-0.2537666
2,0.51952904,0.54103744,"('unlikable', 'likable')",0.21059403,0.1661439,0.74976575,0.78385687,0.4932963,0.4970127,-0.0037164
81,-0.4844619,-1.2439189,"('submissive', 'aggressive')",-1.0192895,-1.3461192,-0.85025907,-1.0987701,-0.7846702,-1.2296027,0.4449325
45,-0.4512691,-0.46074384,"('incompetent', 'competent')",-0.9450704,-0.7688068,-0.47795406,-0.36123282,-0.6247645,-0.5302611,-0.0945034
51,0.44845816,-0.0095368065,"('uneducated', 'educated')",0.1709736,0.17712043,0.34663633,0.3041228,0.3220227,0.1572355,0.1647872
53,-0.44044948,-0.6136213,"('uncreative', 'creative')",0.36930093,0.40022296,0.23112284,0.33308715,0.0533248,0.0398963,0.0134285
8,-0.43724528,0.3703638,"('unaffectionate', 'affectionate')",0.40679878,0.43888253,0.5773344,0.7426844,0.182296,0.5173102,-0.3350142
15,-0.40101856,0.073233925,"('boring', 'funny')",0.13153715,0.11652837,0.37123007,0.39562464,0.0339162,0.195129,-0.1612128
19,0.38138846,0.5941492,"('inhospitable', 'hospitable')",0.060496096,0.15590781,-0.21071428,-0.137716,0.0770568,0.2041137,-0.1270569
77,0.36386725,-0.21437691,"('unmotivated', 'motivated')",-0.04274366,-0.08808331,-1.4790692,-1.5278577,-0.3859819,-0.610106,0.2241241
11,0.35708544,-0.17389368,"('unhelpful', 'helpful')",0.013633007,-0.21674304,1.6354415,1.6833017,0.66872,0.4308883,0.2378317
1,-0.35552186,0.40077892,"('unfriendly', 'friendly')",1.3687973,1.6296387,1.4730293,1.7696205,0.8287683,1.2666794,-0.4379111
57,-0.33607253,-0.5161172,"('unimaginative', 'imaginative')",-0.1291313,-0.3113807,-3.2914073,-3.301112,-1.2522037,-1.3762032,0.1239995
66,0.33505493,0.106487356,"('inactive', 'active')",-0.27950284,-0.40532228,0.76545703,0.68200547,0.2736697,0.1277235,0.1459462
28,0.32845068,0.314575,"('disloyal', 'loyal')",-0.2917437,-0.408702,0.7815592,0.8071912,0.2727554,0.2376881,0.0350673
61,-0.30651215,-0.36059353,"('illogical', 'logical')",-0.3113766,-0.25897187,-0.015582548,0.1268074,-0.2111571,-0.1642527,-0.0469044
22,-0.30632713,-0.29524928,"('untrustworthy', 'trustworthy')",-0.21190502,-0.19690964,-0.5352292,-0.49468863,-0.3511538,-0.3289492,-0.0222046
55,0.29397768,-0.3008724,"('incompetent', 'clever')",-1.1705872,-1.1954907,-0.090528496,-0.03537058,-0.3223793,-0.5105779,0.1881986
38,0.26541677,0.2483807,"('untruthful', 'truthful')",-0.1475034,-0.16167773,-0.2549055,-0.17616317,-0.045664,-0.0298201,-0.0158439
18,0.26314983,0.3841154,"('disagreeable', 'welcoming')",0.37118888,0.5031877,-0.51611775,-0.38836598,0.039407,0.1663124,-0.1269054
41,-0.26180366,0.3655281,"('unforgiving', 'forgiving')",0.3169701,0.53179955,0.36649108,0.47066835,0.1405525,0.4559987,-0.3154462
29,-0.24582899,-0.34125248,"('unfair', 'fair')",-0.23547839,-0.14367545,-0.42652592,-0.45168665,-0.3026111,-0.3122049,0.0095938
69,0.24269831,0.53224105,"('lazy', 'industrious')",0.47896865,0.4150562,-0.9232096,-0.9083166,-0.0671809,0.0129935,-0.0801744
43,-0.21961063,-0.8242221,"('irresponsible', 'responsible')",-0.4243909,-0.5522758,0.31688452,0.31368148,-0.109039,-0.3542721,0.2452331
30,0.19878739,0.114656396,"('intolerant', 'tolerant')",-0.033417653,-0.08588357,0.34428173,0.4050111,0.1698838,0.1445946,0.0252892
71,0.19392939,0.33491108,"('diffident', 'self-confident')",1.2937782,1.3661937,0.28721234,0.40240195,0.59164,0.7011689,-0.1095289
54,0.18808876,0.068568155,"('incapable', 'capable')",-0.30327654,-0.4038171,0.7831384,0.83555716,0.2226502,0.1667694,0.0558808
13,-0.17706878,-0.7303822,"('impolite', 'polite')",-0.0077886656,0.0259539,-0.048754767,0.036605,-0.0778707,-0.2226078,0.1447371
