,ch_male,ch_female,tuple,robinson_male,robinson_female,worldwide_male,worldwide_female,inc_male,inc_female,average_male,average_female,male-female
60,5.759611,5.735381,"('inefficient', 'efficient')",2.595962,3.4747496,1.212849,1.7026389,0.2556296,0.44165653,2.456013,2.8386064,-0.3825934
55,4.7967515,4.942134,"('incompetent', 'clever')",0.470802,1.2845513,-0.20005888,0.04549279,-0.18650103,-0.20330748,1.2202483,1.5172175,-0.2969692
35,-4.6436963,-4.601632,"('corrupt', 'incorrupt')",-0.7454167,-1.1708481,-0.5442209,-0.6765585,-0.34738755,-0.26014128,-1.5701804,-1.677295,0.1071146
31,-4.396855,-4.303734,"('evil', 'good')",-2.0173142,-2.5386004,-0.89571625,-0.8801094,-1.1488087,-1.1563523,-2.1146736,-2.2196989,0.1050253
6,-4.2903438,-4.2643623,"('distant', 'open')",-1.6783518,-2.360214,-1.2096976,-1.0062567,0.30726993,0.47127545,-1.7177808,-1.7898895,0.0721087
36,-3.9990518,-4.136697,"('hostile', 'amicable')",-0.48406443,-1.2473779,-0.2443755,-0.7178985,0.12509127,-0.025637701,-1.1506002,-1.5319027,0.3813025
46,3.9527473,4.2851057,"('uncompetitive', 'competitive')",1.5404173,2.3714943,0.7651806,1.2157508,-0.2620582,-0.21196806,1.4990717,1.9150957,-0.416024
85,-3.7938652,-4.05921,"('insignificant', 'prestigious')",-0.633643,-1.8812703,-0.29914045,-1.103258,1.0528672,0.4391431,-0.9184454,-1.6511488,0.7327034
10,3.7757206,3.9616559,"('unsympathetic', 'sympathetic')",0.72593486,1.727346,-0.64581853,-0.31717634,-0.13654493,-0.02077077,0.929823,1.3377638,-0.4079408
81,3.7644272,3.6983628,"('submissive', 'aggressive')",-0.3002617,0.48951092,0.23481372,0.35618603,-0.731072,-0.7554064,0.7419768,0.9471633,-0.2051865
21,3.7365134,3.5717542,"('immoral', 'moral')",1.6919402,2.041529,0.6354525,0.55541515,-0.644409,-0.84035105,1.3548741,1.3320868,0.0227873
62,3.710709,3.9200327,"('incompetent', 'brilliant')",-0.04578574,0.94920444,1.0090241,1.5461496,0.4844157,0.8079685,1.2895907,1.8058388,-0.5162481
65,3.6751885,3.9951532,"('insecure', 'secure')",1.5255464,2.0400875,0.6102206,1.2150601,-0.6457938,-0.19370969,1.2912904,1.7641478,-0.4728574
79,-3.6558464,-3.620933,"('wavering', 'unwavering')",-0.654912,-0.9660432,-0.3575612,-0.4167538,0.12726285,0.32299915,-1.1352642,-1.1701827,0.0349185
0,3.4812403,3.4417248,"('unsociable', 'sociable')",1.0451055,1.5776585,0.22200209,0.49972042,-0.57521945,-0.511378,1.043282,1.2519315,-0.2086495
52,-3.404992,-3.3877647,"('irrational', 'rational')",-1.1905597,-1.9495296,-0.6017396,-0.80506253,0.18287027,-0.109945506,-1.2536052,-1.5630755,0.3094703
14,3.4044068,3.6049612,"('antisocial', 'social')",1.1497138,1.9324563,1.4675978,1.7032794,-0.5199053,-0.3123494,1.3754532,1.7320869,-0.3566337
5,-3.3600078,-3.352517,"('distant', 'outgoing')",-1.3086101,-1.7900506,-0.41237968,-0.2113803,-0.19114697,0.11066305,-1.3180361,-1.3108213,-0.0072148
70,3.3563893,3.6997762,"('lethargic', 'energetic')",1.5577005,2.059889,0.17578606,0.54296744,0.8103107,1.1885822,1.4750466,1.8728037,-0.3977571
69,-3.1916656,-3.1282313,"('lazy', 'industrious')",-0.27013636,-0.77938485,0.8346674,0.6596003,-0.27558365,-0.16581328,-0.7256796,-0.8534573,0.1277777
4,-3.1785867,-3.0691676,"('disliked', 'liked')",-1.5907369,-1.6405585,-0.22963433,-0.2586649,-6.264844,-6.0574164,-2.8159504,-2.7564521,-0.0594983
43,3.1287348,3.1624005,"('irresponsible', 'responsible')",2.20728,2.4419703,0.8749048,1.3898636,0.75160915,1.0772878,1.7406322,2.0178807,-0.2772485
23,3.0544062,3.055487,"('insincere', 'sincere')",1.262726,1.7769065,1.0945855,1.130375,5.8379064,5.7878704,2.8124061,2.9376597,-0.1252536
56,3.0118878,3.1020672,"('impractical', 'practical')",2.4540062,3.0297441,1.4150797,1.7437263,0.17533076,0.36232275,1.764076,2.0594649,-0.2953889
76,2.9827292,2.9891841,"('anxious', 'daring')",0.8723053,1.1910135,1.1848352,1.4475114,0.27192986,0.56492895,1.3279498,1.5481596,-0.2202098
80,2.736234,2.7646422,"('dominated', 'dominating')",0.7912741,1.365581,0.57697725,0.6212376,-0.9706775,-1.0531156,0.783452,0.9245864,-0.1411344
86,2.7029154,2.4578757,"('uninfluential', 'influential')",-0.13096417,0.3586832,-0.40609905,-0.19490242,-0.49846357,-0.54634666,0.4168471,0.5188274,-0.1019803
59,-2.6923938,-2.446233,"('foolish', 'wise')",-0.5944972,-0.8891399,0.35015458,0.31018922,0.6396249,0.73119676,-0.5742779,-0.5734967,-0.0007812
7,2.6134088,2.7744675,"('insensitive', 'sensitive')",0.96003705,1.2803386,-0.15051423,0.115825996,0.91020924,1.1425672,1.0832852,1.3282999,-0.2450147
39,2.5338953,2.5168412,"('exploitative', 'cooperative')",2.731752,2.6861606,1.5920746,1.5450221,0.59194845,0.38593167,1.8624175,1.7834889,0.0789286
13,2.5221338,2.7247524,"('impolite', 'polite')",2.133153,2.7048059,0.33970076,0.67184263,0.0352339,0.18507582,1.2575554,1.5716192,-0.3140638
77,2.4367263,2.4255886,"('unmotivated', 'motivated')",1.1626797,1.6945379,0.32963678,0.26519868,-1.0380188,-0.9278422,0.722756,0.8643708,-0.1416148
44,-2.4257634,-2.1950288,"('prejudiced', 'unprejudiced')",-1.0015424,-1.1834588,-0.20125791,-0.26425764,-1.3194314,-1.4004017,-1.2369988,-1.2607868,0.023788
30,2.4087706,2.4289598,"('intolerant', 'tolerant')",1.044046,1.7184467,0.27214885,0.6974287,1.2084072,1.3751382,1.2333431,1.5549934,-0.3216503
74,2.39511,2.608809,"('undedicated', 'dedicated')",1.384148,1.7091053,1.1206825,1.6782209,0.2233564,0.6877124,1.2808242,1.6709617,-0.3901375
12,2.3525648,2.5282347,"('unsupportive', 'supportive')",1.2736264,1.5437621,1.2944883,1.4386429,-1.4169805,-1.2155648,0.8759248,1.0737687,-0.1978439
16,-2.2555926,-2.411991,"('unpopular', 'popular')",-1.762675,-2.1471307,-0.16250902,-0.34503537,0.7042059,0.40878272,-0.8691427,-1.1238437,0.254701
63,2.248208,2.4475648,"('unperceptive', 'insightful')",0.21254058,0.79147345,1.954535,2.1676502,1.2917446,1.5185934,1.4267571,1.7313205,-0.3045634
45,2.2080586,2.5883937,"('incompetent', 'competent')",-0.08065219,0.7234517,0.8155304,1.1527916,-0.09751206,0.06601722,0.7113562,1.1326635,-0.4213073
19,-2.121816,-2.2924237,"('inhospitable', 'hospitable')",-1.3422165,-1.7180873,-0.6042974,-0.8229599,-0.116509914,-0.011349894,-1.0462099,-1.2112051,0.1649952
33,-2.0761201,-1.9423052,"('wrong', 'right')",-0.07678531,-0.10349397,0.045563225,-0.075177,-0.31729424,-0.53760684,-0.6061591,-0.6646458,0.0584867
3,2.0402462,1.9284633,"('repellent', 'pleasant')",-0.12543666,0.34848756,-0.08235726,-0.10796732,0.1659156,0.18216075,0.499592,0.5877861,-0.0881941
32,1.9682387,1.9231179,"('unkind', 'kind')",1.4265547,1.617847,0.46123543,0.526582,0.8598751,0.8447726,1.1789761,1.2280798,-0.0491037
51,1.8012574,1.7308424,"('uneducated', 'educated')",0.3876666,0.63693047,0.17564347,0.22023946,-0.094360545,-0.06978669,0.5675517,0.6295564,-0.0620047
