,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,male-female
50,-2.2739866,-2.0591059,"('clumsy', 'skillful')",0.4953164,0.5295489,-0.1252526,-0.121703014,0.9023431,0.762811,-0.2503949,-0.2221123,-0.0282826
65,-2.2383006,-2.534233,"('insecure', 'secure')",0.38366494,0.39152688,-0.7319485,-0.30694148,-1.2493875,-1.1802202,-0.9589929,-0.907467,-0.0515259
51,-2.158382,-2.3348742,"('uneducated', 'educated')",-0.4589979,-0.6331432,0.8705934,1.1327481,-0.11278361,-0.24169628,-0.4648925,-0.5192414,0.0543489
55,-2.1278126,-2.553604,"('incompetent', 'clever')",0.6541767,0.3730561,0.20670515,0.09938934,-0.66929525,-0.93142045,-0.4840565,-0.7531447,0.2690882
19,-1.9462568,-1.8378314,"('inhospitable', 'hospitable')",-1.6844344,-1.618105,0.2307728,0.130757,0.81325495,0.80180466,-0.6466658,-0.6308436,-0.0158222
49,-1.8922784,-2.0223668,"('unable', 'able')",-0.3048937,-0.3167072,0.456679,0.5325978,0.19249493,0.32859445,-0.3869995,-0.3694704,-0.0175291
68,-1.7808131,-1.8425856,"('dependent', 'independent')",1.0113409,0.9178113,1.0377487,0.72936916,-0.3949717,-0.67007166,-0.0316738,-0.2163692,0.1846954
22,-1.7534409,-1.8573109,"('untrustworthy', 'trustworthy')",0.53052616,0.55928457,0.055096854,0.29597893,-1.6881964,-1.6860889,-0.7140036,-0.6720341,-0.0419695
33,1.7313008,1.8736768,"('wrong', 'right')",0.040643148,0.27093178,0.3993806,0.3126952,0.26801708,0.16192529,0.6098354,0.6548073,-0.0449719
18,-1.705937,-1.717743,"('disagreeable', 'welcoming')",-1.011259,-0.98085785,0.36872494,0.25713456,-0.106448084,-0.22398733,-0.6137298,-0.6663634,0.0526336
26,1.6518316,1.6237878,"('hardhearted', 'benevolent')",0.7714628,0.7964747,1.6053326,1.489481,1.170444,1.1658281,1.2997679,1.2688929,0.030875
16,-1.6136045,-1.4323909,"('unpopular', 'popular')",-0.9703727,-0.9259323,-0.33969295,-0.48048782,1.3289154,1.0944343,-0.3986887,-0.4360942,0.0374055
31,-1.5902472,-1.2027491,"('evil', 'good')",-2.9351912,-2.7134979,-0.45100096,-0.5314664,0.27168578,0.16042927,-1.1761885,-1.071821,-0.1043675
44,-1.5492659,-1.4404962,"('prejudiced', 'unprejudiced')",-0.060920812,-0.12321259,-0.40733495,-0.50083363,-1.3557318,-1.2622143,-0.8433133,-0.8316891,-0.0116242
76,-1.4539368,-1.6470597,"('anxious', 'daring')",1.0372627,0.93938,-0.5897842,-0.22517829,-0.6916808,-0.733089,-0.4245348,-0.4164867,-0.0080481
54,-1.3640362,-1.3724024,"('incapable', 'capable')",-0.9414234,-0.8115406,0.2950496,0.22284582,1.3292193,1.5023972,-0.1702976,-0.114675,-0.0556226
82,-1.351858,-1.3309871,"('poor', 'rich')",0.17961806,0.08675586,1.0035758,0.8508001,7.545241,7.2646165,1.8441441,1.7177963,0.1263478
3,-1.3497179,-1.3366483,"('repellent', 'pleasant')",0.26166993,0.09337376,0.12231683,0.03904923,1.0580534,0.8716966,0.0230806,-0.0831322,0.1062128
45,-1.347685,-1.5588568,"('incompetent', 'competent')",0.46439648,0.2742523,0.09949621,-0.15883869,-0.9269538,-1.212351,-0.4276865,-0.6639485,0.236262
85,1.3435559,1.5675267,"('insignificant', 'prestigious')",-1.3459799,-1.0663984,0.3011782,-0.11243488,1.3273118,1.0187951,0.4065165,0.3518721,0.0546444
17,-1.3054662,-1.3432217,"('nasty', 'nice')",-0.7384163,-0.8879614,-0.39785647,-0.80437654,-1.221724,-1.176564,-0.9158657,-1.053031,0.1371653
56,1.2797307,0.9386202,"('impractical', 'practical')",1.7009463,1.4944863,0.75522333,0.95876575,-0.97446775,-0.7706088,0.6903582,0.6553159,0.0350423
35,-1.2487749,-0.8480073,"('corrupt', 'incorrupt')",-1.8260266,-1.4726149,-0.5675434,-0.5132633,0.17736216,0.0052460004,-0.8662457,-0.7071599,-0.1590858
70,-1.1985016,-1.3170437,"('lethargic', 'energetic')",0.78329635,0.68794334,0.5143391,0.693263,0.593329,0.3878219,0.1731157,0.1129961,0.0601196
62,-1.1681832,-1.3801681,"('incompetent', 'brilliant')",0.30490053,0.2943226,0.14501023,0.4384855,-0.7896179,-0.6934139,-0.3769726,-0.3351935,-0.0417791
15,-1.1456076,-1.0356162,"('boring', 'funny')",-0.94528675,-0.8912134,0.25232327,0.18243405,0.17142376,0.38215584,-0.4167868,-0.3405599,-0.0762269
75,-1.1287519,-0.7473596,"('meek', 'impulsive')",-0.23632011,-0.3159547,0.41694745,0.04099122,0.21932681,0.22989677,-0.1821994,-0.1981066,0.0159072
64,-1.1038185,-1.3368524,"('shy', 'confident')",0.5641157,0.50294673,-0.48377776,-0.06676653,-7.327646,-7.225478,-2.0877817,-2.0315375,-0.0562442
88,-1.0449555,-1.1935169,"('low', 'eminent')",-0.8392129,-1.1116235,0.392334,0.16561082,0.3034328,0.31187814,-0.2971004,-0.4569129,0.1598125
1,1.0356839,1.0505118,"('unfriendly', 'friendly')",-1.0754439,-0.7540062,0.4054231,0.33421716,2.5693858,2.491628,0.7337622,0.7805877,-0.0468255
73,1.034961,1.1445572,"('helpless', 'self-reliant')",0.59013075,0.85945374,1.1966327,1.2648222,-3.170815,-2.9678044,-0.0872726,0.0752572,-0.1625298
46,-1.01932,-1.411064,"('uncompetitive', 'competitive')",1.8086486,1.4575604,0.059711747,0.058901504,-1.422336,-1.6136659,-0.1433239,-0.377067,0.2337431
58,1.0025766,0.8331185,"('undiscriminating', 'discriminating')",1.5101118,1.4518197,0.16033041,0.11061419,-0.18038426,-0.39615098,0.6231587,0.4998504,0.1233083
29,-1.0025665,-1.0481055,"('unfair', 'fair')",-0.70536387,-0.5239981,-0.5376108,-0.49214002,-0.5435358,-0.86663187,-0.6972692,-0.7327188,0.0354496
