,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
10,-2.3771029,-2.2440555,"('unsympathetic', 'sympathetic')",-2.3771029,-2.2440555,-0.1330474
57,-2.228878,-2.22513,"('unimaginative', 'imaginative')",-2.228878,-2.2251301,-0.0037479
86,-2.1362083,-1.5840255,"('uninfluential', 'influential')",-2.1362083,-1.5840255,-0.5521828
0,-1.9267946,-1.9147216,"('unsociable', 'sociable')",-1.9267946,-1.9147216,-0.012073
77,-1.9060113,-2.2236652,"('unmotivated', 'motivated')",-1.9060113,-2.2236652,0.3176539
45,-1.889813,-1.7283201,"('incompetent', 'competent')",-1.8898129,-1.7283201,-0.1614928
64,-1.8655102,-2.0474443,"('shy', 'confident')",-1.8655102,-2.0474443,0.1819341
3,-1.7256098,-1.5974371,"('repellent', 'pleasant')",-1.7256098,-1.5974371,-0.1281727
12,-1.6986777,-1.3462288,"('unsupportive', 'supportive')",-1.6986777,-1.3462288,-0.3524489
46,-1.6940635,-1.8241594,"('uncompetitive', 'competitive')",-1.6940635,-1.8241594,0.1300959
28,-1.6871858,-1.7075793,"('disloyal', 'loyal')",-1.6871858,-1.7075793,0.0203935
21,-1.6751055,-1.7646488,"('immoral', 'moral')",-1.6751055,-1.7646488,0.0895433
22,-1.6688794,-1.6720874,"('untrustworthy', 'trustworthy')",-1.6688794,-1.6720874,0.003208
70,-1.6540123,-1.8044485,"('lethargic', 'energetic')",-1.6540123,-1.8044485,0.1504362
55,-1.5700116,-1.5441502,"('incompetent', 'clever')",-1.5700116,-1.5441502,-0.0258614
81,-1.5011871,-1.7723348,"('submissive', 'aggressive')",-1.5011871,-1.7723348,0.2711477
48,-1.4683117,-1.1662048,"('unintelligent', 'intelligent')",-1.4683117,-1.1662048,-0.3021069
34,1.4397635,1.6534147,"('mean', 'honorable')",1.4397635,1.6534147,-0.2136512
14,-1.4129249,-1.5235863,"('antisocial', 'social')",-1.4129249,-1.5235863,0.1106614
13,-1.293658,-1.5069646,"('impolite', 'polite')",-1.293658,-1.5069646,0.2133066
43,-1.2665486,-1.403055,"('irresponsible', 'responsible')",-1.2665486,-1.403055,0.1365064
78,-1.2290906,-0.9214693,"('nonresilient', 'resilient')",-1.2290906,-0.9214693,-0.3076213
40,-1.2265646,-0.83617115,"('stingy', 'generous')",-1.2265646,-0.8361712,-0.3903934
7,-1.224582,-1.137442,"('insensitive', 'sensitive')",-1.224582,-1.137442,-0.08714
15,1.1984894,1.4461792,"('boring', 'funny')",1.1984894,1.4461792,-0.2476898
35,1.111551,1.0153406,"('corrupt', 'incorrupt')",1.111551,1.0153406,0.0962104
82,1.083968,0.8186548,"('poor', 'rich')",1.083968,0.8186548,0.2653132
75,1.0584364,0.8941307,"('meek', 'impulsive')",1.0584364,0.8941307,0.1643057
18,-1.016627,-0.6695533,"('disagreeable', 'welcoming')",-1.016627,-0.6695533,-0.3470737
69,0.9988009,1.3438802,"('lazy', 'industrious')",0.9988009,1.3438802,-0.3450793
32,-0.9501336,-0.97737473,"('unkind', 'kind')",-0.9501336,-0.9773747,0.0272411
4,-0.94467306,-0.9650298,"('disliked', 'liked')",-0.9446731,-0.9650298,0.0203567
60,-0.9308269,-1.286759,"('inefficient', 'efficient')",-0.9308269,-1.286759,0.3559321
11,-0.9116381,-1.1006473,"('unhelpful', 'helpful')",-0.9116381,-1.1006473,0.1890092
24,-0.8744072,-0.70176345,"('dishonest', 'honest')",-0.8744072,-0.7017635,-0.1726437
6,0.86673844,1.03021,"('distant', 'open')",0.8667384,1.03021,-0.1634716
36,0.8654342,1.0873331,"('hostile', 'amicable')",0.8654342,1.0873331,-0.2218989
63,-0.8610798,-0.7306311,"('unperceptive', 'insightful')",-0.8610798,-0.7306311,-0.1304487
53,-0.85354125,-0.71179765,"('uncreative', 'creative')",-0.8535413,-0.7117977,-0.1417436
80,-0.8461666,-0.7774517,"('dominated', 'dominating')",-0.8461666,-0.7774517,-0.0687149
42,-0.8057989,-0.9231439,"('unreliable', 'reliable')",-0.8057989,-0.9231439,0.117345
65,-0.7708062,-1.227595,"('insecure', 'secure')",-0.7708062,-1.227595,0.4567888
68,-0.7377544,-0.83473676,"('dependent', 'independent')",-0.7377544,-0.8347368,0.0969824
88,-0.7286303,-0.6016743,"('low', 'eminent')",-0.7286303,-0.6016743,-0.126956
61,-0.72785133,-0.71800226,"('illogical', 'logical')",-0.7278513,-0.7180023,-0.009849
85,0.7194593,1.0819784,"('insignificant', 'prestigious')",0.7194593,1.0819784,-0.3625191
51,-0.70791054,-0.8937264,"('uneducated', 'educated')",-0.7079105,-0.8937264,0.1858159
62,-0.7009452,-0.8904336,"('incompetent', 'brilliant')",-0.7009452,-0.8904336,0.1894884
74,-0.6895316,-0.63021463,"('undedicated', 'dedicated')",-0.6895316,-0.6302146,-0.059317
47,0.68227404,0.6105394,"('stupid', 'smart')",0.682274,0.6105394,0.0717346
49,-0.6492836,-0.69834614,"('unable', 'able')",-0.6492836,-0.6983461,0.0490625
30,-0.640232,-0.81031233,"('intolerant', 'tolerant')",-0.640232,-0.8103123,0.1700803
1,-0.59509003,-0.13719589,"('unfriendly', 'friendly')",-0.59509,-0.1371959,-0.4578941
52,0.51495594,0.49740645,"('irrational', 'rational')",0.5149559,0.4974065,0.0175494
59,0.4874107,0.29254082,"('foolish', 'wise')",0.4874107,0.2925408,0.1948699
5,0.48102087,0.56840545,"('distant', 'outgoing')",0.4810209,0.5684054,-0.0873845
26,0.47031358,0.9068157,"('hardhearted', 'benevolent')",0.4703136,0.9068157,-0.4365021
33,0.46343777,0.46083194,"('wrong', 'right')",0.4634378,0.4608319,0.0026059
76,-0.44879842,-0.69996434,"('anxious', 'daring')",-0.4487984,-0.6999643,0.2511659
56,-0.40979546,-0.73722744,"('impractical', 'practical')",-0.4097955,-0.7372274,0.3274319
16,-0.39294165,-0.35929415,"('unpopular', 'popular')",-0.3929417,-0.3592941,-0.0336476
9,-0.38937697,-0.25380424,"('unaffectionate', 'caring')",-0.389377,-0.2538042,-0.1355728
41,-0.35286632,-0.100302674,"('unforgiving', 'forgiving')",-0.3528663,-0.1003027,-0.2525636
38,-0.34995082,-0.5237703,"('untruthful', 'truthful')",-0.3499508,-0.5237703,0.1738195
20,-0.333873,-0.30510625,"('rough', 'thoughtful')",-0.333873,-0.3051063,-0.0287667
66,0.3158937,0.38600263,"('inactive', 'active')",0.3158937,0.3860026,-0.0701089
39,-0.29298604,-0.4290345,"('exploitative', 'cooperative')",-0.292986,-0.4290345,0.1360485
2,0.28909492,0.2634093,"('unlikable', 'likable')",0.2890949,0.2634093,0.0256856
50,-0.28897542,-0.13315405,"('clumsy', 'skillful')",-0.2889754,-0.133154,-0.1558214
87,0.28838027,0.01560251,"('unsuccessful', 'successful')",0.2883803,0.0156025,0.2727778
27,0.27122638,0.49190262,"('hardhearted', 'softhearted')",0.2712264,0.4919026,-0.2206762
19,0.22562522,0.28622815,"('inhospitable', 'hospitable')",0.2256252,0.2862282,-0.060603
31,0.22096567,0.67045987,"('evil', 'good')",0.2209657,0.6704599,-0.4494942
71,-0.18838428,0.05029155,"('diffident', 'self-confident')",-0.1883843,0.0502915,-0.2386758
17,-0.1840587,-0.04248903,"('nasty', 'nice')",-0.1840587,-0.042489,-0.1415697
37,-0.15824893,-0.07657933,"('fake', 'genuine')",-0.1582489,-0.0765793,-0.0816696
23,0.1531082,0.005058283,"('insincere', 'sincere')",0.1531082,0.0050583,0.1480499
73,0.14576133,-0.02489301,"('helpless', 'self-reliant')",0.1457613,-0.024893,0.1706543
8,-0.14088821,0.36417663,"('unaffectionate', 'affectionate')",-0.1408882,0.3641766,-0.5050648
83,-0.13252848,-0.20297669,"('powerless', 'powerful')",-0.1325285,-0.2029767,0.0704482
29,0.13168557,-0.10110268,"('unfair', 'fair')",0.1316856,-0.1011027,0.2327883
84,-0.129085,-0.20125112,"('inferior', 'superior')",-0.129085,-0.2012511,0.0721661
54,0.11382785,-0.020964632,"('incapable', 'capable')",0.1138278,-0.0209646,0.1347924
25,-0.10581572,-0.044341013,"('egoistic', 'altruistic')",-0.1058157,-0.044341,-0.0614747
67,0.102370754,-0.18071416,"('doubtful', 'determined')",0.1023708,-0.1807142,0.283085
44,0.10126857,-0.4376371,"('prejudiced', 'unprejudiced')",0.1012686,-0.4376371,0.5389057
72,-0.09230144,-0.21756603,"('unambitious', 'ambitious')",-0.0923014,-0.217566,0.1252646
79,0.054806724,0.25698748,"('wavering', 'unwavering')",0.0548067,0.2569875,-0.2021808
58,0.034390382,0.1467271,"('undiscriminating', 'discriminating')",0.0343904,0.1467271,-0.1123367
