,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.8207568,1.693423,"('lazy', 'industrious')",-0.46815136,-0.60699606,0.6763027,0.5432135,0.1330892
82,-1.6838974,-1.3651252,"('poor', 'rich')",5.837057,6.217408,2.0765798,2.4261415,-0.3495617
39,1.5886084,1.6230205,"('exploitative', 'cooperative')",0.07176576,0.021954969,0.8301871,0.8224878,0.0076993
86,-1.5870563,-1.6613356,"('uninfluential', 'influential')",0.06426847,-0.14270148,-0.7613939,-0.9020185,0.1406246
2,1.5487316,1.6700766,"('unlikable', 'likable')",0.72281444,0.8912175,1.1357729,1.280647,-0.1448741
73,1.3168693,1.3907647,"('helpless', 'self-reliant')",-2.8262331,-2.9356766,-0.7546819,-0.7724559,0.017774
85,1.296247,1.1760478,"('insignificant', 'prestigious')",0.62627506,0.66467583,0.961261,0.9203618,0.0408992
10,-1.2764806,-1.2913018,"('unsympathetic', 'sympathetic')",-0.37120107,-0.47209316,-0.8238408,-0.8816975,0.0578567
42,1.226715,1.357616,"('unreliable', 'reliable')",-2.202262,-2.4076047,-0.4877735,-0.5249944,0.0372209
66,1.2118902,0.9648405,"('inactive', 'active')",1.2356333,1.0440682,1.2237618,1.0044544,0.2193074
26,1.178657,1.1437602,"('hardhearted', 'benevolent')",1.8657614,1.9035705,1.5222092,1.5236654,-0.0014562
13,-1.1496285,-0.9051729,"('impolite', 'polite')",-0.72349423,-0.67129856,-0.9365613,-0.7882357,-0.1483256
51,-1.0796807,-1.1498731,"('uneducated', 'educated')",0.6480044,0.50328267,-0.2158381,-0.3232952,0.1074571
53,-0.9987653,-0.93358976,"('uncreative', 'creative')",1.0958912,1.201873,0.048563,0.1341416,-0.0855786
57,-0.9531521,-1.0259488,"('unimaginative', 'imaginative')",-2.418747,-2.57646,-1.6859496,-1.8012043,0.1152547
55,-0.940063,-0.8782865,"('incompetent', 'clever')",-0.10859728,-0.19937554,-0.5243301,-0.538831,0.0145009
46,-0.9398369,-0.84217274,"('uncompetitive', 'competitive')",-0.945123,-0.9606906,-0.94248,-0.9014317,-0.0410483
45,-0.90478706,-0.81324226,"('incompetent', 'competent')",-0.2835561,-0.486222,-0.5941716,-0.6497321,0.0555605
23,-0.90008986,-0.854415,"('insincere', 'sincere')",5.480757,5.582912,2.2903337,2.3642485,-0.0739148
87,0.88445896,0.9859936,"('unsuccessful', 'successful')",0.7842052,0.68849576,0.8343321,0.8372447,-0.0029126
49,-0.87355435,-0.74278665,"('unable', 'able')",-0.48223948,-0.34603646,-0.6778969,-0.5444115,-0.1334854
67,0.8501871,0.9666823,"('doubtful', 'determined')",-0.8017199,-0.6587416,0.0242336,0.1539704,-0.1297368
27,0.82675827,0.69884104,"('hardhearted', 'softhearted')",1.6573286,1.4917618,1.2420435,1.0953014,0.1467421
68,-0.8147032,-0.8588398,"('dependent', 'independent')",-0.5097065,-0.6366614,-0.6622049,-0.7477506,0.0855457
20,0.77239466,0.7169365,"('rough', 'thoughtful')",1.4513676,1.3125325,1.1118811,1.0147345,0.0971466
8,-0.7659695,-0.77283037,"('unaffectionate', 'affectionate')",0.77542126,0.88045204,0.0047259,0.0538108,-0.0490849
83,0.75921,0.8197016,"('powerless', 'powerful')",-0.63815004,-0.6113808,0.06053,0.1041604,-0.0436304
33,0.75694937,0.5939742,"('wrong', 'right')",-0.36194387,-0.4396876,0.1975027,0.0771433,0.1203594
44,0.7528565,0.75690156,"('prejudiced', 'unprejudiced')",-1.2953551,-1.2605164,-0.2712493,-0.2518074,-0.0194419
24,-0.73005754,-0.6389517,"('dishonest', 'honest')",0.57393336,0.7230332,-0.0780621,0.0420407,-0.1201028
58,0.6964057,0.5237383,"('undiscriminating', 'discriminating')",0.39733362,0.17773314,0.5468696,0.3507357,0.1961339
