,adobe_male,adobe_female,tuple,inc_male,inc_female,average_male,average_female,male-female
64,-2.2145414,-2.2987838,"('shy', 'confident')",-6.812844,-6.3648157,-4.5136929,-4.3317995,-0.1818934
53,2.0765092,2.0289464,"('uncreative', 'creative')",0.8349766,0.8147562,1.455743,1.4218513,0.0338917
1,1.8225654,1.7403426,"('unfriendly', 'friendly')",1.5760416,1.6097704,1.6993035,1.6750565,0.024247
26,1.7973139,1.8474964,"('hardhearted', 'benevolent')",1.3425859,1.6289786,1.5699499,1.7382375,-0.1682876
80,-1.7225044,-1.9849634,"('dominated', 'dominating')",-1.6690049,-1.8258791,-1.6957546,-1.9054213,0.2096667
44,-1.6658494,-1.6209686,"('prejudiced', 'unprejudiced')",-1.4181426,-1.209042,-1.541996,-1.4150052,-0.1269908
23,1.5975271,1.6223826,"('insincere', 'sincere')",5.673771,5.5644536,3.635649,3.5934181,0.0422309
54,1.5268056,1.4375819,"('incapable', 'capable')",1.210496,1.3375764,1.3686508,1.3875792,-0.0189284
85,1.5130019,1.4336915,"('insignificant', 'prestigious')",0.96545184,0.97896624,1.2392268,1.2063289,0.0328979
9,1.4731295,1.4351139,"('unaffectionate', 'caring')",0.66499287,0.81808716,1.0690612,1.1266005,-0.0575393
4,-1.461071,-1.4591974,"('disliked', 'liked')",-6.5215454,-6.3303986,-3.9913082,-3.894798,-0.0965102
34,1.3942255,1.5205508,"('mean', 'honorable')",6.1240706,5.994255,3.7591481,3.7574029,0.0017452
39,1.3840966,1.4049987,"('exploitative', 'cooperative')",0.2543566,0.4068879,0.8192266,0.9059433,-0.0867167
6,1.3098966,1.2909265,"('distant', 'open')",0.089341044,0.2753107,0.6996188,0.7831186,-0.0834998
61,1.284562,1.1139557,"('illogical', 'logical')",0.548129,0.464456,0.9163455,0.7892058,0.1271397
45,-1.2753791,-1.41857,"('incompetent', 'competent')",-0.8372072,-0.85282296,-1.0562931,-1.1356965,0.0794034
15,1.2429898,1.5364037,"('boring', 'funny')",0.18152635,0.38164362,0.712258,0.9590237,-0.2467657
75,-1.1928525,-1.1471422,"('meek', 'impulsive')",-0.32662266,-0.22347014,-0.7597376,-0.6853061,-0.0744315
65,-1.1528332,-1.0490526,"('insecure', 'secure')",-0.84716016,-0.7715381,-0.9999967,-0.9102954,-0.0897013
5,1.1284915,1.1378123,"('distant', 'outgoing')",-0.30310723,-0.03780295,0.4126921,0.5500047,-0.1373126
81,-1.0875913,-1.1749294,"('submissive', 'aggressive')",-1.2216502,-1.2593927,-1.1546208,-1.2171611,0.0625403
14,-1.0766445,-1.0740689,"('antisocial', 'social')",-0.9683861,-0.8249339,-1.0225153,-0.9495014,-0.0730139
2,1.0727698,1.1139591,"('unlikable', 'likable')",0.34532422,0.62984604,0.709047,0.8719026,-0.1628556
13,-1.0387421,-1.1223223,"('impolite', 'polite')",-0.6651412,-0.594202,-0.8519416,-0.8582622,0.0063206
33,1.0314429,0.8704729,"('wrong', 'right')",-0.41159543,-0.3261567,0.3099237,0.2721581,0.0377656
71,1.0140771,1.0206201,"('diffident', 'self-confident')",0.419406,0.47563592,0.7167416,0.748128,-0.0313864
51,-1.0000563,-1.089421,"('uneducated', 'educated')",0.77188325,0.45209205,-0.1140865,-0.3186645,0.204578
48,0.9909616,0.8607122,"('unintelligent', 'intelligent')",0.649214,0.51230025,0.8200878,0.6865062,0.1335816
12,0.9635174,0.8346694,"('unsupportive', 'supportive')",-1.9572222,-1.8940359,-0.4968524,-0.5296832,0.0328308
27,0.95089954,0.8734382,"('hardhearted', 'softhearted')",1.396718,1.2417846,1.1738088,1.0576113,0.1161975
29,-0.9330394,-0.95038706,"('unfair', 'fair')",-0.5345511,-0.5223851,-0.7337953,-0.7363861,0.0025908
42,-0.9269088,-0.8400289,"('unreliable', 'reliable')",-3.380125,-3.2203722,-2.153517,-2.0302005,-0.1233165
58,0.85297686,0.8183575,"('undiscriminating', 'discriminating')",0.47977462,0.31680638,0.6663758,0.567582,0.0987938
84,0.8192875,0.73900986,"('inferior', 'superior')",1.1166613,1.1939151,0.9679744,0.9664625,0.0015119
8,0.81039286,0.80613244,"('unaffectionate', 'affectionate')",0.40551513,0.5451315,0.607954,0.675632,-0.067678
86,0.77526945,0.4773948,"('uninfluential', 'influential')",-0.24136177,-0.42789334,0.2669538,0.0247507,0.2422031
63,0.76342833,0.45883498,"('unperceptive', 'insightful')",0.96757925,0.7145001,0.8655038,0.5866675,0.2788363
78,0.763247,0.66659,"('nonresilient', 'resilient')",0.6867501,0.2587738,0.7249986,0.4626819,0.2623167
20,0.7221596,0.73791736,"('rough', 'thoughtful')",1.2994411,1.2630628,1.0108004,1.0004901,0.0103103
74,0.71615446,0.5474484,"('undedicated', 'dedicated')",0.05618088,0.024634056,0.3861677,0.2860412,0.1001265
3,-0.7091499,-0.7265991,"('repellent', 'pleasant')",0.23763259,0.18012114,-0.2357587,-0.273239,0.0374803
68,-0.7037232,-0.92415607,"('dependent', 'independent')",0.12056417,-0.1136434,-0.2915795,-0.5188997,0.2273202
24,0.6378965,0.5971259,"('dishonest', 'honest')",0.5169761,0.779764,0.5774363,0.688445,-0.1110087
16,-0.6278505,-0.7963573,"('unpopular', 'popular')",0.99016756,0.8605733,0.1811585,0.032108,0.1490505
0,-0.6068696,-0.66418934,"('unsociable', 'sociable')",-0.54204434,-0.52058625,-0.5744569,-0.5923878,0.0179309
30,0.59626853,0.69594973,"('intolerant', 'tolerant')",0.8276699,1.0243292,0.7119693,0.8601395,-0.1481702
83,0.5957759,0.40993208,"('powerless', 'powerful')",-0.91985416,-0.9796204,-0.1620391,-0.2848442,0.1228051
40,0.5822859,0.50556743,"('stingy', 'generous')",-1.6886014,-1.6950417,-0.5531577,-0.5947371,0.0415794
69,0.5779393,0.663028,"('lazy', 'industrious')",-0.36662868,-0.2522466,0.1056553,0.2053907,-0.0997354
55,-0.55465853,-0.72989106,"('incompetent', 'clever')",-0.10216364,-0.16544592,-0.3284111,-0.4476685,0.1192574
25,0.54109234,0.5122668,"('egoistic', 'altruistic')",1.5190547,1.531331,1.0300735,1.0217988,0.0082747
82,-0.5281133,-0.51104486,"('poor', 'rich')",5.79119,5.6078105,2.6315384,2.5483828,0.0831556
52,0.49279335,0.55709827,"('irrational', 'rational')",-0.39691514,-0.22203715,0.0479391,0.1675306,-0.1195915
87,0.48135194,0.46640432,"('unsuccessful', 'successful')",0.92382973,1.112004,0.7025908,0.7892042,-0.0866134
22,-0.45215565,-0.67108524,"('untrustworthy', 'trustworthy')",-1.2479441,-1.0211346,-0.8500499,-0.8461099,-0.00394
