,american_male,american_female,tuple,capital_male,capital_female,ltd_male,ltd_female,average_male,average_female,male-female
16,-2.1230683,-2.083944,"('unpopular', 'popular')",-0.0073428685,-0.10596316,-0.15971883,-0.054433156,-0.7633766,-0.7481135,-0.0152631
73,1.5905279,1.5453571,"('helpless', 'self-reliant')",1.2011144,1.1651344,-3.444482,-3.2249355,-0.2176133,-0.1714813,-0.046132
36,-1.5890626,-1.381242,"('hostile', 'amicable')",-0.63049453,-0.11193902,-0.07414109,0.12128757,-0.764566,-0.4572978,-0.3072682
31,-1.4829624,-1.3222926,"('evil', 'good')",-0.6679071,-0.24223015,-0.9672118,-0.81949013,-1.0393604,-0.794671,-0.2446894
39,1.4776055,1.5812522,"('exploitative', 'cooperative')",0.119702816,0.3555326,-0.008252398,0.053629585,0.5296853,0.6634715,-0.1337862
78,-1.2153417,-1.4100069,"('nonresilient', 'resilient')",1.0553687,0.6716387,0.24839096,0.11560557,0.0294726,-0.2075875,0.2370601
47,-1.1798561,-0.7105394,"('stupid', 'smart')",0.36091545,0.67765003,6.21792,6.05159,1.7996597,2.0062335,-0.2065738
42,1.1649268,1.1058745,"('unreliable', 'reliable')",1.1673236,1.1628085,-3.0971954,-2.8573844,-0.2549817,-0.1962338,-0.0587479
76,1.0893762,1.0739523,"('anxious', 'daring')",1.3532982,1.049537,0.510923,0.60645616,0.9845325,0.9099819,0.0745506
53,-0.98219895,-1.0876243,"('uncreative', 'creative')",0.8801207,0.7594702,0.74152845,0.5536101,0.2131501,0.075152,0.1379981
24,0.97912955,1.0963905,"('dishonest', 'honest')",-0.6152593,-0.53806096,0.626732,0.42302233,0.3302008,0.3271173,0.0030835
29,-0.95387745,-1.129515,"('unfair', 'fair')",-0.19030085,-0.30535513,-0.32600525,-0.5962915,-0.4900612,-0.6770539,0.1869927
51,0.9124739,0.7175235,"('uneducated', 'educated')",0.65241873,0.3007328,0.5955646,0.54861456,0.7201524,0.5222903,0.1978621
52,-0.89658,-0.6333957,"('irrational', 'rational')",-0.15634733,0.38533106,-0.55196667,-0.63811654,-0.5349646,-0.2953937,-0.2395709
77,-0.8841225,-1.1944981,"('unmotivated', 'motivated')",1.510257,1.0399225,-1.0014014,-1.1796882,-0.125089,-0.4447546,0.3196656
70,0.873691,0.83185905,"('lethargic', 'energetic')",0.934899,0.60490704,0.81304955,0.8289872,0.8738798,0.7552511,0.1186287
56,0.86416084,0.91094536,"('impractical', 'practical')",1.2094778,0.9413788,0.29783416,0.42589486,0.7904909,0.7594063,0.0310846
81,0.8548975,1.0003823,"('submissive', 'aggressive')",1.5005308,1.1555408,-0.32146704,-0.12025267,0.6779871,0.6785568,-0.0005697
1,-0.84272146,-0.87924165,"('unfriendly', 'friendly')",0.26134476,0.25103796,1.9371456,1.8302163,0.451923,0.4006708,0.0512522
4,-0.8245899,-0.6714015,"('disliked', 'liked')",-0.096847795,-0.09510462,-6.7496567,-5.784955,-2.5570315,-2.1838204,-0.3732111
65,0.7387046,0.83887637,"('insecure', 'secure')",0.19556907,0.17908545,0.725749,0.8545697,0.5533409,0.6241772,-0.0708363
18,0.73551285,0.89516777,"('disagreeable', 'welcoming')",0.598797,0.72736645,-0.61788887,-0.5070769,0.238807,0.3718191,-0.1330121
45,-0.7303678,-0.59267086,"('incompetent', 'competent')",-0.123565,-0.32252148,0.6141855,0.72266775,-0.0799158,-0.0641749,-0.0157409
43,0.7025437,0.83536977,"('irresponsible', 'responsible')",0.7706042,0.68008894,1.0752842,1.1222752,0.8494774,0.8792446,-0.0297672
0,-0.6940858,-0.6175292,"('unsociable', 'sociable')",0.30617812,0.0743378,-0.26360923,-0.23708273,-0.2171723,-0.2600914,0.0429191
12,0.6768627,0.6351138,"('unsupportive', 'supportive')",1.6953107,1.6139188,-1.6002928,-1.5300559,0.2572935,0.2396589,0.0176346
66,0.65980726,0.45442683,"('inactive', 'active')",1.5647781,1.6099746,0.96865934,0.81813014,1.0644149,0.9608439,0.103571
80,0.6560596,0.51178014,"('dominated', 'dominating')",0.14452623,-0.106559694,-0.18985154,-0.39037424,0.2035781,0.0049487,0.1986294
49,-0.64782,-0.52939093,"('unable', 'able')",-0.29908866,-0.34582642,0.26162082,0.22134103,-0.2284293,-0.2179588,-0.0104705
2,0.6295785,0.88252145,"('unlikable', 'likable')",2.6479206,2.7859356,0.66537434,0.9458858,1.3142912,1.5381142,-0.223823
64,0.6267674,0.60142094,"('shy', 'confident')",0.6025427,0.54441774,-6.5948234,-6.1478386,-1.7885044,-1.6673333,-0.1211711
72,0.6220998,0.5496952,"('unambitious', 'ambitious')",1.1571648,1.0652113,0.08423055,-0.08878419,0.6211651,0.5087074,0.1124577
41,-0.6202169,-0.2501471,"('unforgiving', 'forgiving')",0.5435256,0.6453875,0.12601113,0.36306423,0.0164399,0.2527682,-0.2363283
48,0.6138111,0.42241055,"('unintelligent', 'intelligent')",-0.016320243,-0.38475516,0.46043313,0.4323658,0.3526413,0.1566737,0.1959676
34,-0.5922707,-0.57398057,"('mean', 'honorable')",0.39837354,0.40442052,5.965262,5.5185156,1.9237882,1.7829852,0.140803
82,-0.5893981,-0.6150176,"('poor', 'rich')",0.38725606,0.1329387,6.7424207,6.3347573,2.1800928,1.9508928,0.2292
5,-0.5648193,-0.54260254,"('distant', 'outgoing')",0.7669254,0.9310467,-0.19055854,-0.2680032,0.0038492,0.040147,-0.0362978
79,0.55987674,0.44362965,"('wavering', 'unwavering')",0.20551774,0.373308,-0.09268004,-0.23439787,0.2242381,0.1941799,0.0300582
11,0.5309737,0.5676654,"('unhelpful', 'helpful')",0.6350259,0.49600995,2.1664634,2.0358741,1.110821,1.0331832,0.0776378
6,-0.5102321,-0.49051473,"('distant', 'open')",0.13540947,0.41695398,0.26800632,0.10082688,-0.0356054,0.0090887,-0.0446941
17,-0.50928885,-0.097066104,"('nasty', 'nice')",0.13483486,0.3025862,-0.5966843,-0.41476062,-0.3237127,-0.0697468,-0.2539659
74,0.50594586,0.60893226,"('undedicated', 'dedicated')",1.1142776,1.0869069,0.51018065,0.54192704,0.7101347,0.7459221,-0.0357874
57,-0.5054761,-0.53118837,"('unimaginative', 'imaginative')",1.0106568,0.87260014,-2.0533912,-1.5323658,-0.5160702,-0.3969847,-0.1190855
40,0.48924592,0.32746708,"('stingy', 'generous')",1.2340873,0.9355376,-1.717706,-1.8904897,0.0018758,-0.2091617,0.2110375
60,0.4803765,0.5042094,"('inefficient', 'efficient')",0.7818555,0.47117934,0.5042665,0.59096104,0.5888329,0.5221166,0.0667163
21,0.4514701,0.41173786,"('immoral', 'moral')",0.36238357,0.04801772,-0.6885815,-0.6963865,0.0417574,-0.078877,0.1206344
84,0.45121515,0.4865966,"('inferior', 'superior')",0.32607803,0.17649888,0.48110452,0.23722282,0.4194659,0.3001061,0.1193598
8,-0.45005366,-0.5154281,"('unaffectionate', 'affectionate')",-0.50607795,-0.25660044,0.70038015,0.6198829,-0.0852505,-0.0507152,-0.0345353
35,-0.44977793,-0.28042516,"('corrupt', 'incorrupt')",-1.1480826,-0.8913909,-0.88912356,-0.9453462,-0.8289948,-0.7057207,-0.1232741
