,lauder_male,lauder_female,tuple,estee_male,estee_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
85,2.4156022,1.8074541,"('insignificant', 'prestigious')",2.320072,1.9303528,-0.20949352,-0.5749998,1.3670896,0.5324864,1.4733175,0.9238234,0.5494941
69,2.3886058,2.0256066,"('lazy', 'industrious')",2.9842358,2.9880729,1.2518742,0.9006755,-0.12788448,-0.6935971,1.6242079,1.3051894,0.3190185
35,1.9583114,1.472283,"('corrupt', 'incorrupt')",2.0593586,1.704717,-0.04249969,-0.2190463,0.14333543,-0.58884495,1.0296265,0.5922772,0.4373493
73,1.8747102,2.0620618,"('helpless', 'self-reliant')",1.4365808,1.6149986,0.6091996,0.87401474,-2.9165213,-2.6728213,0.2509923,0.4695634,-0.2185711
24,-1.7888076,-1.8038596,"('dishonest', 'honest')",-2.2261612,-2.522931,-1.237221,-1.3761976,0.70841575,0.64683366,-1.1359434,-1.2640388,0.1280954
57,-1.7103486,-1.511285,"('unimaginative', 'imaginative')",-2.1455555,-2.2120101,-0.9386404,-0.9175781,-1.7694055,-1.8238711,-1.6409875,-1.6161861,-0.0248014
45,-1.6779897,-1.4897263,"('incompetent', 'competent')",-2.2424405,-2.258498,-0.64725375,-0.8208571,-0.3266018,-0.10536365,-1.2235715,-1.1686113,-0.0549602
14,-1.6276314,-1.3918296,"('antisocial', 'social')",-1.5714717,-1.3184958,-0.25762492,-0.28070286,-1.0388796,-0.5413229,-1.1239018,-0.8830878,-0.240814
72,-1.5307683,-1.3578887,"('unambitious', 'ambitious')",-1.6946306,-1.5800326,-1.092359,-1.0805614,-0.72167337,-0.46359682,-1.2598579,-1.1205199,-0.139338
10,-1.5211087,-1.4780564,"('unsympathetic', 'sympathetic')",-2.8940833,-3.0962415,-0.7832652,-1.0084223,0.080856964,0.28727007,-1.2794001,-1.3238626,0.0444625
48,-1.4610114,-1.0851337,"('unintelligent', 'intelligent')",-2.2084477,-2.050565,-1.099709,-0.8810998,0.1350473,0.57343376,-1.1585301,-0.8608412,-0.2976889
3,-1.4480596,-1.0550742,"('repellent', 'pleasant')",-2.5267758,-2.17496,0.04471256,0.27684963,-0.045075074,0.24855946,-0.9937995,-0.6761563,-0.3176432
65,-1.4120977,-1.2442085,"('insecure', 'secure')",-1.593053,-1.4472322,-0.026467126,0.0400766,-0.6354577,-0.056585014,-0.9167689,-0.6769873,-0.2397816
22,-1.4089593,-1.25417,"('untrustworthy', 'trustworthy')",-1.9173776,-1.681761,-1.0808926,-0.94269127,-1.6148751,-1.0920327,-1.5055261,-1.2426637,-0.2628624
36,1.3862646,0.515273,"('hostile', 'amicable')",2.038213,1.4732497,0.30181074,-0.23619287,0.34822425,-0.47150594,1.0186281,0.320206,0.6984221
86,-1.3078403,-1.3725214,"('uninfluential', 'influential')",-1.6872962,-2.1209023,-0.85026723,-1.2609531,0.002851829,-0.124317735,-0.960638,-1.2196736,0.2590356
