,unitedhealth_male,unitedhealth_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
55,-3.3900163,-3.431003,"('incompetent', 'clever')",1.7315699,1.6576957,-0.07587601,0.023864083,-0.5781075,-0.5831478,0.0050403
69,2.7009046,2.7255738,"('lazy', 'industrious')",0.16481787,0.15019163,-0.4749224,-0.39485973,0.7969333,0.8269685,-0.0300352
46,-2.6809547,-2.6703868,"('uncompetitive', 'competitive')",1.8396971,1.8593016,-0.8774154,-0.6793213,-0.572891,-0.4968022,-0.0760888
10,-2.3415105,-2.1416135,"('unsympathetic', 'sympathetic')",0.92574894,1.251478,-0.030463802,0.3235489,-0.4820751,-0.1888622,-0.2932129
58,-2.127742,-2.1298573,"('undiscriminating', 'discriminating')",0.37036735,0.40147814,-0.20429544,0.025325954,-0.6538901,-0.5676844,-0.0862057
45,-2.0969472,-2.037165,"('incompetent', 'competent')",0.84794337,0.7563497,-0.35569635,-0.29913697,-0.5349001,-0.5266507,-0.0082494
57,-1.9188775,-1.8448827,"('unimaginative', 'imaginative')",-0.19003256,-0.25189427,-2.8149993,-2.5067532,-1.6413031,-1.53451,-0.1067931
59,1.8710685,1.9739954,"('foolish', 'wise')",-1.4861091,-1.4500048,0.603232,0.474045,0.3293971,0.3326786,-0.0032815
53,-1.8398392,-1.8668993,"('uncreative', 'creative')",-0.4286009,-0.48458624,1.0051832,0.9547291,-0.4210857,-0.4655855,0.0444998
86,-1.831148,-1.5682081,"('uninfluential', 'influential')",0.40117106,0.72780305,-0.22880292,0.12112419,-0.5529266,-0.2397603,-0.3131663
0,-1.8233166,-1.9073055,"('unsociable', 'sociable')",1.1506486,1.0174055,-0.4419214,-0.5150206,-0.3715298,-0.4683069,0.0967771
85,1.822791,2.0030992,"('insignificant', 'prestigious')",-1.6610246,-1.7220498,0.31149778,0.28296435,0.1577547,0.1880046,-0.0302499
35,1.7298056,1.6066175,"('corrupt', 'incorrupt')",-1.9140729,-2.051963,-0.15313424,-0.24897131,-0.1124672,-0.231439,0.1189718
82,-1.6967086,-1.7832493,"('poor', 'rich')",-0.44605708,-0.49280387,6.40153,5.880935,1.4195881,1.2016273,0.2179608
6,1.6079507,1.7213409,"('distant', 'open')",-2.4171102,-2.2435033,0.4151767,0.2514063,-0.1313276,-0.090252,-0.0410756
62,-1.5789418,-1.655689,"('incompetent', 'brilliant')",1.3197991,1.0572987,0.44176498,0.2705328,0.0608741,-0.1092859,0.17016
70,-1.5769805,-1.4661714,"('lethargic', 'energetic')",1.0122162,1.1551726,0.80735385,1.0636302,0.0808632,0.2508771,-0.1700139
65,-1.5713948,-1.6975113,"('insecure', 'secure')",1.3896375,1.3184731,-0.36891067,-0.36519665,-0.183556,-0.2480783,0.0645223
60,-1.5504938,-1.6254871,"('inefficient', 'efficient')",2.457211,2.4601424,0.25341728,0.16414347,0.3867115,0.3329329,0.0537786
