,textron_male,textron_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.7752142,-2.7118146,"('distant', 'open')",-0.19748971,0.12655863,-1.486352,-1.292628,-0.193724
79,-2.2609293,-2.1335309,"('wavering', 'unwavering')",-0.17943187,-0.020090578,-1.2201806,-1.0768107,-0.1433699
31,-2.2440298,-1.8761904,"('evil', 'good')",-1.2944357,-0.81055105,-1.7692327,-1.3433707,-0.425862
36,-2.1916904,-1.9580587,"('hostile', 'amicable')",-0.0662662,0.3453121,-1.1289784,-0.8063733,-0.3226051
5,-2.0331986,-2.0456464,"('distant', 'outgoing')",-0.35700077,-0.07996064,-1.1950997,-1.0628035,-0.1322962
60,2.0031745,1.7581667,"('inefficient', 'efficient')",0.37935057,0.098381735,1.1912626,0.9282742,0.2629884
8,-1.9852239,-1.801333,"('unaffectionate', 'affectionate')",0.17381692,0.62136006,-0.9057035,-0.5899864,-0.3157171
85,-1.8447055,-1.4692225,"('insignificant', 'prestigious')",0.22354352,0.8571352,-0.810581,-0.3060437,-0.5045373
66,-1.7992469,-1.7683989,"('inactive', 'active')",0.498032,0.7023105,-0.6506075,-0.5330442,-0.1175633
19,-1.7711589,-1.6412793,"('inhospitable', 'hospitable')",-0.32461736,0.111221045,-1.0478882,-0.7650291,-0.2828591
1,-1.7559081,-1.5920093,"('unfriendly', 'friendly')",1.2022198,1.6146683,-0.2768441,0.0113295,-0.2881736
9,-1.6599953,-1.5032048,"('unaffectionate', 'caring')",0.78232646,1.0554183,-0.4388344,-0.2238933,-0.2149411
52,-1.5791802,-1.3050815,"('irrational', 'rational')",-0.26030046,0.029904574,-0.9197403,-0.6375884,-0.2821519
54,-1.3704536,-1.2709256,"('incapable', 'capable')",0.96729195,1.1361858,-0.2015808,-0.0673699,-0.1342109
81,1.3379989,1.3862203,"('submissive', 'aggressive')",-0.28598493,-0.47708583,0.5260069,0.4545673,0.0714396
18,-1.1984913,-1.0399888,"('disagreeable', 'welcoming')",-0.39628136,-0.2365978,-0.7973863,-0.6382933,-0.159093
59,-1.1737517,-1.1734308,"('foolish', 'wise')",0.14343064,0.36416256,-0.5151606,-0.4046341,-0.1105265
53,-1.1565545,-1.1780477,"('uncreative', 'creative')",0.8133061,0.84571666,-0.1716242,-0.1661655,-0.0054587
4,-1.1496996,-1.05152,"('disliked', 'liked')",-5.9517183,-5.819069,-3.550709,-3.4352944,-0.1154146
48,1.1152751,1.4028034,"('unintelligent', 'intelligent')",1.0524925,1.3285133,1.0838838,1.3656583,-0.2817745
14,1.0590993,0.79350215,"('antisocial', 'social')",-0.5845868,-0.7582914,0.2372563,0.0176054,0.2196509
80,0.98423445,0.87223715,"('dominated', 'dominating')",-1.3447396,-1.6741205,-0.1802526,-0.4009417,0.2206891
76,0.98037344,0.88491434,"('anxious', 'daring')",0.21551345,0.038971588,0.5979434,0.461943,0.1360004
26,-0.94992673,-0.6507574,"('hardhearted', 'benevolent')",0.89893705,1.381096,-0.0254948,0.3651693,-0.3906641
