,american_male,american_female,tuple,tower_male,tower_female,corp_male,corp_female,average_male,average_female,male-female
16,-1.7867599,-1.9583229,"('unpopular', 'popular')",-0.64203614,-0.7068374,0.15679395,0.15883863,-0.7573341,-0.8354405,0.0781064
39,1.5068074,1.7203648,"('exploitative', 'cooperative')",1.2740042,1.4098778,0.39683315,0.43816233,1.059215,1.1894683,-0.1302533
36,-1.4676785,-1.7600268,"('hostile', 'amicable')",-1.5633427,-1.5820707,-0.5547718,-0.5766765,-1.1952643,-1.306258,0.1109937
24,1.353982,1.2635955,"('dishonest', 'honest')",0.12747778,0.09747376,0.71477836,0.6700514,0.7320793,0.6770402,0.0550391
29,-1.2024616,-1.2670712,"('unfair', 'fair')",-0.4216941,-0.4917985,-0.004407786,-0.17027842,-0.5428545,-0.6430494,0.1001949
73,1.1402028,1.1330671,"('helpless', 'self-reliant')",-0.79262334,-0.60675216,-3.6042695,-3.4971044,-1.0855633,-0.9902631,-0.0953002
28,0.9447888,0.8626584,"('disloyal', 'loyal')",-0.29888016,-0.32673365,1.4645553,1.3177075,0.703488,0.6178774,0.0856106
12,0.9249587,0.75029725,"('unsupportive', 'supportive')",0.5389024,0.5133737,-1.7954988,-1.8797455,-0.1105459,-0.2053582,0.0948123
48,0.9188358,0.8343735,"('unintelligent', 'intelligent')",0.61651963,0.5909393,0.8919696,0.816851,0.8091083,0.7473879,0.0617204
51,0.9119049,1.0532677,"('uneducated', 'educated')",0.40004134,0.2786544,0.6062527,0.5309989,0.6393996,0.6209737,0.0184259
78,-0.8191585,-0.96710956,"('nonresilient', 'resilient')",0.20770612,0.090682484,0.29278046,0.07758749,-0.106224,-0.2662799,0.1600559
84,0.81635946,0.8722578,"('inferior', 'superior')",0.2610023,0.27641895,0.7782733,0.8425902,0.6185451,0.6637557,-0.0452106
77,-0.7928596,-0.7922441,"('unmotivated', 'motivated')",0.18719803,0.10922521,-0.89708525,-0.992975,-0.5009156,-0.5586646,0.057749
31,-0.78339,-1.1146791,"('evil', 'good')",-1.2218283,-1.327015,-1.193151,-1.2646687,-1.0661231,-1.2354543,0.1693312
81,0.7655961,1.0857179,"('submissive', 'aggressive')",1.1116545,1.0621706,-0.15703,-0.06584703,0.5734069,0.6940139,-0.120607
26,0.75983196,0.37454864,"('hardhearted', 'benevolent')",0.92497915,0.85119927,1.377351,1.389999,1.0207207,0.8719157,0.148805
53,-0.74751663,-0.90787494,"('uncreative', 'creative')",-0.14877924,-0.17648837,0.67916805,0.623579,-0.072376,-0.1535948,0.0812188
66,0.73364884,0.52307963,"('inactive', 'active')",-0.47831565,-0.5512692,0.53193367,0.25987157,0.2624223,0.0772273,0.185195
4,-0.72829723,-0.9006021,"('disliked', 'liked')",-0.79444045,-0.7729183,-7.400338,-7.1473775,-2.9743586,-2.9402994,-0.0340592
47,-0.71704364,-0.54276675,"('stupid', 'smart')",0.4357736,0.51573294,5.604343,5.4790063,1.7743576,1.8173242,-0.0429666
72,0.710936,0.8066069,"('unambitious', 'ambitious')",2.042207,2.1440046,-0.02101142,0.0013982523,0.9107106,0.9840033,-0.0732927
76,0.6929279,0.90056473,"('anxious', 'daring')",0.57815886,0.6542172,0.23452386,0.2518966,0.5018702,0.6022262,-0.100356
1,-0.6899882,-0.9612699,"('unfriendly', 'friendly')",-0.213235,-0.33287278,1.3127532,1.1917667,0.13651,-0.0341253,0.1706353
67,0.664656,0.9406205,"('doubtful', 'determined')",0.60431826,0.67069584,-0.10520072,0.05923398,0.3879245,0.5568501,-0.1689256
3,-0.64195234,-0.7528292,"('repellent', 'pleasant')",-0.38083804,-0.46308544,0.95040005,0.83194923,-0.0241301,-0.1279885,0.1038584
43,0.62923205,0.69398457,"('irresponsible', 'responsible')",0.5457179,0.5371567,0.6010188,0.58467203,0.5919896,0.6052711,-0.0132815
34,-0.6180866,-0.5212207,"('mean', 'honorable')",0.49253824,0.54128325,5.451163,5.3792715,1.7752048,1.799778,-0.0245732
21,0.6095597,0.6786498,"('immoral', 'moral')",0.5126261,0.49663374,-0.09462787,-0.104005374,0.3425193,0.3570927,-0.0145734
40,0.5967051,0.23109235,"('stingy', 'generous')",0.25100198,0.08998084,-2.105691,-2.2897933,-0.419328,-0.65624,0.236912
74,0.57415944,0.43047485,"('undedicated', 'dedicated')",0.41051072,0.45237112,-0.3337424,-0.39058992,0.2169759,0.1640854,0.0528905
10,0.5725198,0.4231971,"('unsympathetic', 'sympathetic')",0.49503455,0.36843872,0.15195036,-0.16293909,0.4065016,0.2095656,0.196936
18,0.56350726,0.669047,"('disagreeable', 'welcoming')",-0.6520208,-0.68209934,-0.51907074,-0.5180438,-0.2025281,-0.1770321,-0.025496
56,0.55790746,0.9709488,"('impractical', 'practical')",1.9686104,2.0696192,-0.057295453,0.16386694,0.8230741,1.068145,-0.2450709
64,0.5464795,0.5825272,"('shy', 'confident')",1.023981,0.95318365,-5.640373,-5.569084,-1.3566376,-1.3444578,-0.0121798
68,0.53708005,0.56455916,"('dependent', 'independent')",-0.1702494,-0.16168293,-0.95971483,-1.0290546,-0.1976281,-0.2087261,0.011098
49,-0.52759826,-0.31579432,"('unable', 'able')",-0.82554483,-0.66415846,-0.25307816,-0.23984188,-0.5354071,-0.4065983,-0.1288088
44,-0.5228533,-0.40255126,"('prejudiced', 'unprejudiced')",-1.6761229,-1.6410159,-1.3640379,-1.3738747,-1.1876713,-1.1391473,-0.048524
27,0.5164972,0.23870906,"('hardhearted', 'softhearted')",-0.41177925,-0.5694962,1.0555215,0.59396386,0.3867465,0.0877256,0.2990209
86,0.50072986,0.14299475,"('uninfluential', 'influential')",1.02293,0.8394297,-0.04560527,-0.25484425,0.4926849,0.2425267,0.2501582
63,0.46355295,0.3937017,"('unperceptive', 'insightful')",0.7428956,0.7518303,0.71171796,0.6287384,0.6393888,0.5914235,0.0479653
80,0.4561541,0.37271288,"('dominated', 'dominating')",0.46368322,0.3054725,-0.43834332,-0.6339515,0.160498,0.0147446,0.1457534
42,0.452993,0.4312754,"('unreliable', 'reliable')",0.0006862823,0.029270984,-2.5567763,-2.5960908,-0.7010323,-0.7118481,0.0108158
