,pepsico_male,pepsico_female,tuple,inc_male,inc_female,average_male,average_female,male-female
85,1.4757018,1.760151,"('insignificant', 'prestigious')",0.8540987,1.0705912,1.1649003,1.4153712,-0.2504709
33,1.3007325,1.3608075,"('wrong', 'right')",-0.37969938,-0.21150474,0.4605166,0.5746514,-0.1141348
82,-1.1929256,-1.2897463,"('poor', 'rich')",5.981573,5.983658,2.3943238,2.3469558,0.047368
14,-1.1826442,-1.2383859,"('antisocial', 'social')",-0.8676065,-0.9898381,-1.0251254,-1.114112,0.0889866
57,-1.1713027,-1.4864403,"('unimaginative', 'imaginative')",-2.498981,-2.7159984,-1.8351419,-2.1012194,0.2660775
39,1.1246332,1.1399384,"('exploitative', 'cooperative')",0.18909438,0.22685754,0.6568638,0.6833979,-0.0265341
73,1.0317585,1.1010269,"('helpless', 'self-reliant')",-2.9614532,-2.870215,-0.9648473,-0.884594,-0.0802533
87,1.0274979,0.9160925,"('unsuccessful', 'successful')",0.9399873,0.8809122,0.9837426,0.8985023,0.0852403
15,0.9281911,0.77477264,"('boring', 'funny')",0.50749177,0.5281768,0.7178414,0.6514747,0.0663667
84,0.9261104,0.86019355,"('inferior', 'superior')",0.78766453,0.8980182,0.8568875,0.8791059,-0.0222184
55,-0.90603846,-1.0520607,"('incompetent', 'clever')",-0.19775608,-0.322877,-0.5518973,-0.6874689,0.1355716
70,-0.8979287,-1.1025596,"('lethargic', 'energetic')",0.6920519,0.5043886,-0.1029384,-0.2990855,0.1961471
76,-0.8773093,-1.0864323,"('anxious', 'daring')",-0.09549047,-0.21966058,-0.4863999,-0.6530465,0.1666466
18,-0.87340873,-0.8391973,"('disagreeable', 'welcoming')",-0.1472665,-0.21312375,-0.5103376,-0.5261605,0.0158229
71,0.84008074,0.9768033,"('diffident', 'self-confident')",0.41015399,0.4451029,0.6251174,0.7109531,-0.0858357
81,-0.8248792,-1.0228636,"('submissive', 'aggressive')",-0.963235,-1.0298313,-0.8940572,-1.0263474,0.1322902
10,-0.8067296,-0.91943324,"('unsympathetic', 'sympathetic')",-0.20045672,-0.45896167,-0.5035931,-0.6891974,0.1856043
72,-0.7960387,-0.84524095,"('unambitious', 'ambitious')",-0.79708093,-0.79897803,-0.7965598,-0.8221095,0.0255497
1,0.78751695,0.7985234,"('unfriendly', 'friendly')",2.281873,2.2805645,1.5346949,1.539544,-0.0048491
44,-0.6881331,-0.66757,"('prejudiced', 'unprejudiced')",-1.6455289,-1.5212115,-1.166831,-1.0943907,-0.0724403
12,0.65651876,0.6328736,"('unsupportive', 'supportive')",-1.4565423,-1.4920788,-0.4000117,-0.4296026,0.0295909
61,0.6467598,0.47168478,"('illogical', 'logical')",0.27165684,0.25281724,0.4592083,0.362251,0.0969573
35,-0.6354157,-0.5204559,"('corrupt', 'incorrupt')",-0.18479556,-0.018119214,-0.4101056,-0.2692876,-0.140818
66,-0.63526255,-0.5524125,"('inactive', 'active')",0.7930821,0.65419424,0.0789098,0.0508909,0.0280189
63,0.6199288,0.5466267,"('unperceptive', 'insightful')",1.2195863,1.1020548,0.9197575,0.8243408,0.0954167
64,-0.60487217,-0.697289,"('shy', 'confident')",-6.6597056,-6.653112,-3.6322889,-3.6752005,0.0429116
5,0.5973702,0.90413684,"('distant', 'outgoing')",-0.3051061,-0.085414715,0.1461321,0.4093611,-0.263229
65,-0.5965879,-0.8579503,"('insecure', 'secure')",-0.41048402,-0.52011114,-0.503536,-0.6890308,0.1854948
51,-0.59254724,-0.6980667,"('uneducated', 'educated')",1.04782,0.8733884,0.2276364,0.0876608,0.1399756
3,-0.58337826,-0.738881,"('repellent', 'pleasant')",0.38294736,0.1604038,-0.1002154,-0.2892386,0.1890232
69,0.5773459,0.877722,"('lazy', 'industrious')",-0.86107445,-0.6667914,-0.1418643,0.1054653,-0.2473296
75,-0.56277883,-0.5223651,"('meek', 'impulsive')",-0.6864551,-0.5623348,-0.624617,-0.5423499,-0.0822671
56,0.5602377,0.55296326,"('impractical', 'practical')",-0.37656844,-0.3308607,0.0918346,0.1110513,-0.0192167
68,-0.52012926,-0.6113173,"('dependent', 'independent')",-0.38201421,-0.51430815,-0.4510717,-0.5628127,0.111741
43,-0.51144594,-0.5278008,"('irresponsible', 'responsible')",0.5246023,0.5817483,0.0065782,0.0269738,-0.0203956
20,-0.51116216,-0.519304,"('rough', 'thoughtful')",1.1743206,1.0620623,0.3315792,0.2713791,0.0602001
74,0.5020536,0.44428158,"('undedicated', 'dedicated')",0.41788697,0.36136597,0.4599703,0.4028238,0.0571465
9,0.48700875,0.7254714,"('unaffectionate', 'caring')",1.2587553,1.388455,0.872882,1.0569632,-0.1840812
8,-0.46019873,-0.18995231,"('unaffectionate', 'affectionate')",0.8512548,0.99191433,0.195528,0.400981,-0.205453
59,0.45165896,0.56846696,"('foolish', 'wise')",0.23302332,0.5157905,0.3423411,0.5421287,-0.1997876
32,0.4342326,0.51228523,"('unkind', 'kind')",1.0933634,1.0362674,0.763798,0.7742763,-0.0104783
47,-0.431189,-0.22639118,"('stupid', 'smart')",4.7126255,4.8927298,2.1407182,2.3331692,-0.192451
42,0.42932597,0.21148883,"('unreliable', 'reliable')",-2.9754145,-3.1502361,-1.2730442,-1.4693737,0.1963295
54,0.3951363,0.4720238,"('incapable', 'capable')",1.2046678,1.4113408,0.7999021,0.9416823,-0.1417802
45,-0.39392,-0.6676034,"('incompetent', 'competent')",-0.31982294,-0.5444113,-0.3568715,-0.6060073,0.2491358
16,-0.39075473,-0.42537707,"('unpopular', 'popular')",0.36455405,0.24895823,-0.0131003,-0.0882094,0.0751091
