,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.7063959,-2.0732546,"('uninfluential', 'influential')",-0.37599605,-0.6181093,-1.041196,-1.3456819,0.3044859
6,-1.6502672,-1.2538538,"('distant', 'open')",-1.0379703,-0.91588974,-1.3441188,-1.0848718,-0.259247
1,-1.5861456,-1.3302597,"('unfriendly', 'friendly')",0.97197807,0.7416819,-0.3070838,-0.2942889,-0.0127949
79,-1.4670186,-1.2100863,"('wavering', 'unwavering')",-1.0126945,-0.73484033,-1.2398565,-0.9724634,-0.2673931
53,-1.4313874,-1.352507,"('uncreative', 'creative')",0.25015622,0.086080216,-0.5906156,-0.6332134,0.0425978
19,-1.3037444,-1.0811664,"('inhospitable', 'hospitable')",-0.9479617,-0.9230848,-1.1258531,-1.0021256,-0.1237275
66,-1.2917981,-1.064324,"('inactive', 'active')",0.10494129,-0.044291653,-0.5934284,-0.5543078,-0.0391206
5,-1.28614,-0.8828323,"('distant', 'outgoing')",-1.215931,-1.0797287,-1.2510355,-0.9812805,-0.269755
36,-1.2336262,-0.5918645,"('hostile', 'amicable')",-0.33291286,-0.285894,-0.7832695,-0.4388793,-0.3443902
85,-1.200079,-0.69558346,"('insignificant', 'prestigious')",-0.5790544,-0.68983305,-0.8895667,-0.6927083,-0.1968584
14,1.1392804,0.5729332,"('antisocial', 'social')",0.42380354,0.13146703,0.781542,0.3522001,0.4293419
58,-1.1206592,-0.920577,"('undiscriminating', 'discriminating')",0.1217137,-0.16487736,-0.4994728,-0.5427272,0.0432544
54,-1.0743588,-0.67065835,"('incapable', 'capable')",0.36745715,0.6003626,-0.3534508,-0.0351479,-0.3183029
81,1.0586449,0.72939223,"('submissive', 'aggressive')",-0.3838217,-0.34280923,0.3374116,0.1932915,0.1441201
31,-1.0563293,-0.48035312,"('evil', 'good')",-1.1762589,-1.2527053,-1.1162941,-0.8665292,-0.2497649
9,-0.91734284,-0.6269539,"('unaffectionate', 'caring')",0.8810019,0.9601231,-0.0181705,0.1665846,-0.1847551
16,-0.905971,-0.4200861,"('unpopular', 'popular')",0.13237931,0.14932902,-0.3867958,-0.1353785,-0.2514173
75,-0.83085704,-0.19348998,"('meek', 'impulsive')",-1.0596493,-0.8724733,-0.9452532,-0.5329816,-0.4122716
