,us_male,us_female,tuple,bancorp_male,bancorp_female,del_male,del_female,average_male,average_female,male-female
12,1.7496269,1.6730917,"('unsupportive', 'supportive')",0.16234076,0.016574241,-1.2986938,-1.2044232,0.2044246,0.1617476,0.042677
39,1.6723455,1.7647873,"('exploitative', 'cooperative')",0.6763353,0.73670053,0.19711828,0.22678426,0.8485997,0.909424,-0.0608243
74,1.531056,1.3815105,"('undedicated', 'dedicated')",0.09828074,-0.022148564,0.30792713,0.17801553,0.6457547,0.5124591,0.1332956
35,-1.4863406,-1.4975675,"('corrupt', 'incorrupt')",0.47262022,0.6569201,-0.7930417,-0.8694938,-0.602254,-0.5700471,-0.0322069
36,-1.4581457,-1.7656515,"('hostile', 'amicable')",2.0276058,1.9335395,-0.5937124,-0.80846494,-0.0080841,-0.2135256,0.2054415
11,1.3543516,1.6083517,"('unhelpful', 'helpful')",-0.6984123,-0.5708661,1.5117079,1.745069,0.7225491,0.9275182,-0.2049691
40,1.3387268,1.0846623,"('stingy', 'generous')",1.5216737,1.3905717,-1.3287528,-1.4789053,0.5105492,0.3321096,0.1784396
73,1.220238,1.1814802,"('helpless', 'self-reliant')",1.18023,1.203355,-2.9736488,-2.8781672,-0.1910603,-0.164444,-0.0266163
62,1.1738746,1.4425234,"('incompetent', 'brilliant')",-0.2903138,-0.23095983,0.36956254,0.53774023,0.4177078,0.5831013,-0.1653935
51,1.1397762,0.97326875,"('uneducated', 'educated')",-1.6676226,-1.9011791,0.40096405,0.2845049,-0.0422941,-0.2144685,0.1721744
80,1.1373914,1.0788336,"('dominated', 'dominating')",-0.33049262,-0.45719033,-0.41355035,-0.36855432,0.1311162,0.084363,0.0467532
43,1.1320064,1.3278767,"('irresponsible', 'responsible')",-0.7850805,-0.81000346,0.44037637,0.6201031,0.2624341,0.3793255,-0.1168914
63,1.1179601,1.1868218,"('unperceptive', 'insightful')",0.21145718,0.12184799,0.5672265,0.7291532,0.6322146,0.6792743,-0.0470597
16,-1.0971363,-1.2010872,"('unpopular', 'popular')",0.027764637,-0.069528386,0.146534,-0.04749545,-0.3076125,-0.4393704,0.1317579
27,1.0840853,0.86676246,"('hardhearted', 'softhearted')",0.14062484,0.055579886,1.7513251,1.7166651,0.9920118,0.8796692,0.1123426
23,1.0741136,1.1097271,"('insincere', 'sincere')",0.288119,0.1619992,5.9981785,5.9697714,2.4534704,2.4138327,0.0396377
24,1.0443473,1.047688,"('dishonest', 'honest')",-0.8378626,-0.75817144,1.243009,1.2520598,0.4831645,0.5138588,-0.0306943
82,-1.0190581,-0.75635374,"('poor', 'rich')",-1.1757681,-1.1177123,6.458768,6.574084,1.4213139,1.5666726,-0.1453587
42,1.0118593,1.0159417,"('unreliable', 'reliable')",-0.0016249679,0.0064570718,-2.5976017,-2.5393302,-0.5291224,-0.5056438,-0.0234786
2,1.0116162,0.94983876,"('unlikable', 'likable')",1.4019111,1.3458565,0.70822775,0.59042126,1.040585,0.9620388,0.0785462
9,0.970464,0.8884804,"('unaffectionate', 'caring')",1.3220183,1.2403289,1.6745845,1.6236136,1.3223556,1.2508077,0.0715479
85,-0.9573761,-1.0698078,"('insignificant', 'prestigious')",1.3615252,1.2847643,-0.19927412,-0.4530166,0.0682916,-0.0793534,0.147645
10,0.93501955,0.8593067,"('unsympathetic', 'sympathetic')",-2.2554617,-2.4060943,0.4335094,0.5518356,-0.2956443,-0.3316507,0.0360064
21,0.9178247,0.84659886,"('immoral', 'moral')",-1.1562129,-1.2461321,-0.49859306,-0.49558833,-0.2456604,-0.2983739,0.0527135
32,0.8948962,0.8494637,"('unkind', 'kind')",0.0136525035,0.011521675,1.3327621,1.3601397,0.7471036,0.740375,0.0067286
70,0.8662059,0.9183436,"('lethargic', 'energetic')",-1.1678036,-1.1819133,1.1320875,1.196667,0.2768299,0.3110324,-0.0342025
71,0.8198232,0.67982894,"('diffident', 'self-confident')",1.4544237,1.4210355,0.6222098,0.5499117,0.9654856,0.883592,0.0818936
56,0.80892307,1.1846977,"('impractical', 'practical')",-0.5664746,-0.4048696,-0.0999832,-0.011043219,0.0474884,0.2562617,-0.2087733
60,0.79839873,0.87943417,"('inefficient', 'efficient')",-1.0973197,-1.1177202,-0.027363073,0.15004484,-0.1087614,-0.0294137,-0.0793477
28,0.7927114,0.74928004,"('disloyal', 'loyal')",-0.40075636,-0.46494368,0.44607008,0.25605372,0.2793417,0.18013,0.0992117
78,-0.78234494,-0.98097694,"('nonresilient', 'resilient')",0.54814464,0.37092,-0.8011,-0.7815935,-0.3451001,-0.4638835,0.1187834
65,0.76011866,0.73859483,"('insecure', 'secure')",-0.43246293,-0.6201303,-0.08447878,-0.04797514,0.081059,0.0234965,0.0575625
31,-0.7148772,-0.8229938,"('evil', 'good')",0.7024466,0.78014874,-0.46190625,-0.67982465,-0.1581123,-0.2408899,0.0827776
41,0.6764124,0.47186595,"('unforgiving', 'forgiving')",0.8394749,0.6258967,0.25270426,-0.028617151,0.5895305,0.3563818,0.2331487
49,-0.6684281,-0.5023516,"('unable', 'able')",-0.63010246,-0.635192,0.17320786,0.25191244,-0.3751076,-0.2952104,-0.0798972
87,0.6668857,0.6787353,"('unsuccessful', 'successful')",0.76998633,0.63930047,0.7762216,0.612538,0.7376978,0.6435246,0.0941732
38,0.65531373,0.7373299,"('untruthful', 'truthful')",0.82333773,0.9096081,-0.056019854,0.075078316,0.4742105,0.5740055,-0.099795
5,-0.6518059,-0.57773525,"('distant', 'outgoing')",1.6615527,1.8523308,0.1891739,0.20716815,0.3996402,0.4939212,-0.094281
76,0.64912665,0.7661216,"('anxious', 'daring')",-0.5579532,-0.5886095,0.2156912,0.2729503,0.1022882,0.1501541,-0.0478659
72,0.63369423,0.61070853,"('unambitious', 'ambitious')",-0.5455743,-0.5759897,0.5300394,0.60843194,0.2060531,0.2143836,-0.0083305
30,0.6150228,0.65496653,"('intolerant', 'tolerant')",-0.866518,-0.89489216,0.35914883,0.4592957,0.0358845,0.0731234,-0.0372389
29,-0.5603653,-0.40635687,"('unfair', 'fair')",-0.49086323,-0.41310036,-0.42538473,-0.57768923,-0.4922044,-0.4657155,-0.0264889
50,-0.5548699,-0.61025035,"('clumsy', 'skillful')",-0.004304452,-0.07146376,0.16351072,0.12544274,-0.1318879,-0.1854238,0.0535359
75,-0.5347997,-0.48656678,"('meek', 'impulsive')",0.47189614,0.5430656,-0.138046,-0.07046439,-0.0669832,-0.0046552,-0.062328
7,0.49748334,0.47561035,"('insensitive', 'sensitive')",-0.22439961,-0.32643884,0.99644893,1.073166,0.4231776,0.4074458,0.0157318
84,-0.495454,-0.39841193,"('inferior', 'superior')",-0.25700694,-0.25191075,-0.16354045,-0.23476933,-0.3053338,-0.2950307,-0.0103031
55,0.49189463,0.4545458,"('incompetent', 'clever')",-1.7940881,-2.0462542,0.17955665,0.096209906,-0.3742123,-0.4984995,0.1242872
6,-0.48730767,-0.44450888,"('distant', 'open')",1.3906401,1.5166084,0.71601254,0.6750671,0.5397816,0.5823889,-0.0426073
8,-0.4870502,-0.49914753,"('unaffectionate', 'affectionate')",0.43321905,0.36526278,1.2169819,1.204734,0.3877169,0.3569497,0.0307672
44,-0.47818825,-0.26077726,"('prejudiced', 'unprejudiced')",-0.5571382,-0.2859255,-1.5634544,-1.4106851,-0.8662603,-0.6524626,-0.2137977
69,-0.4591824,-0.6307836,"('lazy', 'industrious')",2.0220513,2.0713453,-0.933585,-1.1211344,0.2097613,0.1064758,0.1032855
37,-0.45533955,-0.52382296,"('fake', 'genuine')",-1.4947745,-1.5158095,0.48160088,0.5341882,-0.4895044,-0.5018148,0.0123104
86,0.44555733,0.31262708,"('uninfluential', 'influential')",-1.2735311,-1.513866,0.4041446,0.297541,-0.1412764,-0.3012326,0.1599562
88,-0.4303956,-0.50173455,"('low', 'eminent')",-1.4872118,-1.5558462,0.09291566,0.07148286,-0.6082306,-0.6620326,0.053802
3,0.4181945,0.3206894,"('repellent', 'pleasant')",-0.7234088,-0.84686154,0.50687534,0.47146544,0.0672203,-0.0182356,0.0854559
61,0.41585058,0.40700224,"('illogical', 'logical')",0.5330296,0.4318053,0.19566584,0.038517147,0.3815153,0.2924416,0.0890737
26,0.38950616,0.2347067,"('hardhearted', 'benevolent')",1.6222413,1.5809107,0.848102,0.6872291,0.9532832,0.8342822,0.119001
13,0.38533023,0.47030133,"('impolite', 'polite')",-0.14259575,-0.164769,-0.16862264,-0.08951172,0.0247039,0.0720069,-0.047303
81,0.34807542,0.3691438,"('submissive', 'aggressive')",-1.2191485,-1.3141289,-0.32130998,-0.23249587,-0.397461,-0.3924936,-0.0049674
48,0.33625263,0.2951687,"('unintelligent', 'intelligent')",-1.001109,-1.2018464,-0.016706431,-0.07975008,-0.2271876,-0.3288092,0.1016216
58,0.3146149,0.10837449,"('undiscriminating', 'discriminating')",1.0707383,0.8569173,0.033262044,-0.066139355,0.4728717,0.2997175,0.1731542
47,0.30517536,0.30161232,"('stupid', 'smart')",-0.11990152,-0.19896267,5.3986344,5.346782,1.8613027,1.8164773,0.0448254
83,0.29143047,0.1155045,"('powerless', 'powerful')",1.0165343,0.8506155,-0.6388242,-0.78516734,0.2230469,0.0603176,0.1627293
45,0.28051963,0.4286135,"('incompetent', 'competent')",-1.5767369,-1.5827558,-0.26957446,-0.26181108,-0.5219306,-0.4719845,-0.0499461
15,0.26736626,0.3672856,"('boring', 'funny')",1.3977149,1.3755914,0.73789567,0.68120104,0.8009923,0.808026,-0.0070337
53,-0.25782883,-0.31593022,"('uncreative', 'creative')",-0.010195924,-0.041024953,0.14992313,0.21048486,-0.0393672,-0.0488234,0.0094562
14,0.24471211,0.21818313,"('antisocial', 'social')",-0.72142017,-0.82712615,-0.09650021,-0.35960522,-0.1910694,-0.3228494,0.13178
66,0.24164931,0.13216045,"('inactive', 'active')",1.2169137,1.1037294,0.9248018,0.59944457,0.7944549,0.6117781,0.1826768
33,0.24155533,0.21957718,"('wrong', 'right')",1.7513045,1.7178024,0.10219543,-0.050943162,0.6983518,0.6288122,0.0695396
59,0.18266974,0.32047105,"('foolish', 'wise')",0.51254916,0.5819904,0.55417514,0.4978429,0.4164647,0.4667681,-0.0503034
4,-0.1812942,-0.3843914,"('disliked', 'liked')",0.2631484,0.31504574,-7.205299,-7.2256603,-2.3744815,-2.4316686,0.0571871
52,0.16904488,0.08301525,"('irrational', 'rational')",0.8997733,0.79189074,0.41227454,0.18103926,0.4936976,0.3519818,0.1417158
77,-0.16381785,-0.34288058,"('unmotivated', 'motivated')",0.273661,0.117269225,-1.4413537,-1.524757,-0.4438368,-0.5834561,0.1396193
64,0.15988293,-0.08018187,"('shy', 'confident')",-0.84629196,-0.9620535,-6.2684164,-6.3594747,-2.3182751,-2.4672367,0.1489616
79,-0.13697976,-0.09360516,"('wavering', 'unwavering')",0.6942746,0.7651062,0.014982065,-0.07800008,0.190759,0.1978337,-0.0070747
19,-0.12317132,0.05649271,"('inhospitable', 'hospitable')",-0.6028772,-0.46155286,0.063276336,0.097651236,-0.2209241,-0.1024696,-0.1184545
1,-0.11185001,-0.1583056,"('unfriendly', 'friendly')",1.1465342,1.0730351,1.5990145,1.5628908,0.8778996,0.8258735,0.0520261
46,0.11018384,0.007469643,"('uncompetitive', 'competitive')",-0.81020176,-1.0485569,-1.5115814,-1.3282247,-0.7371998,-0.7897706,0.0525708
