,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,inc_male,inc_female,average_male,average_female,male-female
19,-2.0158474,-1.8365394,"('inhospitable', 'hospitable')",0.3210316,0.12139052,-0.3305774,-0.21827473,-0.6751311,-0.6444745,-0.0306566
1,-1.8259022,-1.7202847,"('unfriendly', 'friendly')",-1.468401,-1.5141187,1.8994297,1.8972968,-0.4649578,-0.4457022,-0.0192556
8,-1.7055236,-1.6947318,"('unaffectionate', 'affectionate')",-0.8713224,-1.069004,0.7617365,0.66460216,-0.6050365,-0.6997112,0.0946747
36,-1.6087898,-1.5776523,"('hostile', 'amicable')",0.46222264,0.026814088,-0.09200128,-0.028679183,-0.4128561,-0.5265058,0.1136497
31,-1.4565792,-1.3635349,"('evil', 'good')",0.7264035,0.48484385,-1.3641374,-1.297295,-0.6981044,-0.7253287,0.0272243
80,1.432959,1.3201257,"('dominated', 'dominating')",-0.7145288,-0.6240918,-1.1803752,-1.2495463,-0.1539817,-0.1845041,0.0305224
6,-1.4086411,-1.3738766,"('distant', 'open')",0.2798599,0.11496097,0.14774328,0.061504662,-0.3270126,-0.399137,0.0721244
16,-1.3875523,-1.3598518,"('unpopular', 'popular')",-0.3548603,-0.3725016,0.13527766,0.11928469,-0.5357116,-0.5376896,0.001978
35,-1.3638924,-1.3357345,"('corrupt', 'incorrupt')",1.5563915,1.2570918,-0.67501646,-0.74756557,-0.1608391,-0.2754028,0.1145637
53,-1.3611097,-1.3366486,"('uncreative', 'creative')",-0.74525833,-1.0898727,1.2396382,1.1385151,-0.28891,-0.4293354,0.1404254
5,-1.3483535,-1.3822209,"('distant', 'outgoing')",0.59001195,0.42294714,-0.5137368,-0.5508827,-0.4240261,-0.5033855,0.0793594
27,-1.3383608,-1.1364131,"('hardhearted', 'softhearted')",-0.77391815,-0.59246564,1.432076,1.5380871,-0.2267343,-0.0635972,-0.1631371
42,1.3221049,1.3886248,"('unreliable', 'reliable')",0.70505553,0.8419616,-2.4274206,-2.5298293,-0.1334201,-0.0997476,-0.0336725
