,applied_male,applied_female,tuple,materials_male,materials_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.0102997,-2.144904,"('evil', 'good')",-1.2599667,-1.2136521,-0.86412805,-1.010841,-1.3781315,-1.4564657,0.0783342
67,1.9310446,1.8649925,"('doubtful', 'determined')",1.2858859,1.2232757,-0.23274277,-0.3441742,0.9947292,0.914698,0.0800312
29,-1.7856289,-1.7135596,"('unfair', 'fair')",-1.1817081,-1.1595207,-0.8979869,-0.69043726,-1.2884413,-1.1878392,-0.1006021
22,-1.7261682,-1.6973867,"('untrustworthy', 'trustworthy')",-0.46508124,-0.36727014,-1.1207324,-0.95279276,-1.1039939,-1.0058166,-0.0981773
82,-1.7143513,-2.052379,"('poor', 'rich')",0.034991924,-0.16769199,6.5134597,6.323453,1.6113667,1.367794,0.2435727
69,1.6962764,1.7090682,"('lazy', 'industrious')",1.024437,0.972473,-0.2529638,-0.19934583,0.8225832,0.8273985,-0.0048153
19,-1.5672046,-1.7365066,"('inhospitable', 'hospitable')",-1.8042161,-1.9100157,-0.17147699,-0.22520816,-1.180966,-1.2905768,0.1096108
73,1.5351546,1.6640191,"('helpless', 'self-reliant')",-0.028495833,0.06128026,-3.0099697,-3.0850575,-0.5011036,-0.4532527,-0.0478509
65,-1.4218749,-1.354151,"('insecure', 'secure')",0.15030926,0.21732104,-0.36102074,-0.3256802,-0.5441955,-0.4875034,-0.0566921
32,-1.3300657,-1.6764235,"('unkind', 'kind')",0.43202716,0.20330262,0.8677229,0.7849494,-0.0101052,-0.2293905,0.2192853
27,-1.0946273,-1.0098008,"('hardhearted', 'softhearted')",-0.2739141,-0.20290929,1.2062571,1.5218024,-0.0540948,0.1030308,-0.1571256
72,1.0480696,0.8754886,"('unambitious', 'ambitious')",0.10113326,-0.041818187,-0.78839815,-0.8971525,0.1202682,-0.0211607,0.1414289
16,-1.0246369,-1.0643283,"('unpopular', 'popular')",-0.9047298,-0.8827562,0.61179674,0.49243015,-0.43919,-0.4848847,0.0456947
56,1.0081704,0.66682744,"('impractical', 'practical')",2.133926,1.8285962,-0.033041406,-0.26205277,1.0363516,0.744457,0.2918946
68,-1.0048177,-1.1565864,"('dependent', 'independent')",-0.9488406,-0.84646374,-0.46009248,-0.4422916,-0.8045836,-0.8151139,0.0105303
18,-0.959699,-0.93246865,"('disagreeable', 'welcoming')",-0.57192856,-0.5505996,-0.42777255,-0.3781327,-0.6531334,-0.6204003,-0.0327331
1,-0.9589743,-1.1656882,"('unfriendly', 'friendly')",0.34597662,0.17121719,1.541464,1.6130638,0.3094888,0.2061976,0.1032912
5,-0.90146,-0.97757626,"('distant', 'outgoing')",-1.0846279,-1.265368,-0.14111134,-0.2346772,-0.7090664,-0.8258739,0.1168075
6,-0.87163115,-0.9119617,"('distant', 'open')",-1.4137715,-1.5730736,0.35804316,0.16609894,-0.6424532,-0.7729789,0.1305257
64,-0.87021565,-0.70946395,"('shy', 'confident')",0.09235785,0.18217601,-6.8319383,-6.8029175,-2.5365987,-2.4434018,-0.0931969
8,-0.8654967,-0.7702429,"('unaffectionate', 'affectionate')",-0.65307057,-0.75547117,0.5702446,0.7444826,-0.3161076,-0.2604105,-0.0556971
78,-0.8641515,-0.99717927,"('nonresilient', 'resilient')",0.25080192,0.101688966,-0.15788376,-0.03814566,-0.2570778,-0.311212,0.0541342
70,0.86127985,0.7793058,"('lethargic', 'energetic')",0.59740394,0.63019323,0.34305608,0.48726037,0.6005799,0.6322531,-0.0316732
84,0.8554995,1.0698658,"('inferior', 'superior')",0.14925925,0.33652636,0.7495785,0.9420174,0.5847791,0.7828032,-0.1980241
55,-0.8393928,-0.8949207,"('incompetent', 'clever')",0.285968,0.27534163,-0.058679927,-0.020383172,-0.2040349,-0.2133208,0.0092859
77,0.7933202,0.6717877,"('unmotivated', 'motivated')",1.0052978,1.0268859,-0.9692621,-1.0816202,0.2764519,0.2056844,0.0707675
51,-0.7547593,-0.9147699,"('uneducated', 'educated')",-0.51783377,-0.61439544,-0.12372834,-0.07530659,-0.4654405,-0.5348239,0.0693834
39,0.73876905,0.95518345,"('exploitative', 'cooperative')",0.27483013,0.49466428,0.053754307,0.24595441,0.3557845,0.5652674,-0.2094829
0,-0.69452673,-0.85741276,"('unsociable', 'sociable')",0.5956611,0.3915579,-0.5267306,-0.43595773,-0.2085321,-0.3006042,0.0920721
53,-0.6595457,-0.6111007,"('uncreative', 'creative')",0.36460316,0.35018486,0.70081556,0.83203864,0.135291,0.1903743,-0.0550833
10,-0.65666056,-0.92903936,"('unsympathetic', 'sympathetic')",0.39794207,0.259845,-0.32787138,-0.3032896,-0.19553,-0.3241613,0.1286313
3,-0.6395497,-0.87119806,"('repellent', 'pleasant')",0.28469768,0.17985538,0.52682906,0.25477296,0.0573257,-0.1455233,0.202849
63,-0.6381589,-0.7124523,"('unperceptive', 'insightful')",0.44116408,0.37856755,0.5876084,0.84823954,0.1302045,0.1714516,-0.0412471
54,-0.6288806,-0.8967765,"('incapable', 'capable')",-0.8738411,-1.0347193,1.1349322,1.0971116,-0.1225965,-0.2781281,0.1555316
61,-0.6252133,-0.68811685,"('illogical', 'logical')",0.30918747,0.26189035,0.13297589,0.1313231,-0.0610167,-0.0983011,0.0372844
87,0.6173397,0.44305202,"('unsuccessful', 'successful')",0.803575,0.6195177,0.84101194,0.7783072,0.7539756,0.6136256,0.14035
45,-0.6010623,-0.6079184,"('incompetent', 'competent')",0.43887776,0.35452768,-0.281622,-0.12858373,-0.1479355,-0.1273248,-0.0206107
25,0.5882866,0.34408444,"('egoistic', 'altruistic')",1.3980155,1.2057502,1.6093074,1.2547928,1.1985366,0.9348758,0.2636608
33,0.57634,0.58497167,"('wrong', 'right')",0.9576115,0.97432196,-0.57445407,-0.60264623,0.3198325,0.3188825,0.00095
74,0.5411026,0.3460806,"('undedicated', 'dedicated')",0.34533483,0.16411054,-0.0014209077,-0.13087435,0.2950055,0.1264389,0.1685666
49,-0.5406407,-0.60367393,"('unable', 'able')",-0.65794414,-0.71664363,0.041701056,0.087576166,-0.3856279,-0.4109138,0.0252859
81,0.5392307,0.32135767,"('submissive', 'aggressive')",1.2591714,1.1308796,-0.42150167,-0.74013275,0.4589668,0.2373682,0.2215986
36,-0.52386475,-0.5904743,"('hostile', 'amicable')",-1.7389772,-1.884041,0.3270877,0.10175644,-0.6452514,-0.7909196,0.1456682
62,0.5135963,0.2934025,"('incompetent', 'brilliant')",0.98210233,0.78412974,0.12615547,0.15007721,0.5406181,0.4092032,0.1314149
41,-0.505163,-0.68607336,"('unforgiving', 'forgiving')",0.21517716,0.13179913,-0.034676988,-0.02623401,-0.1082209,-0.1935027,0.0852818
12,0.49672884,0.44461185,"('unsupportive', 'supportive')",0.8111534,0.63431835,-1.9051659,-1.8137362,-0.1990945,-0.2449354,0.0458409
2,0.49036434,0.074184984,"('unlikable', 'likable')",0.6953052,0.44994378,0.69368553,0.3940247,0.6264517,0.3060512,0.3204005
85,0.4813338,0.37682387,"('insignificant', 'prestigious')",-0.42171568,-0.47585866,0.4685161,0.38831592,0.1760447,0.096427,0.0796177
11,0.481053,0.47815764,"('unhelpful', 'helpful')",0.6913923,0.5337027,2.0244668,2.1628535,1.0656374,1.058238,0.0073994
44,-0.4806279,-0.48859146,"('prejudiced', 'unprejudiced')",-0.2791869,-0.2091176,-1.1838677,-1.2616624,-0.6478941,-0.6531238,0.0052297
71,0.46385095,0.6637816,"('diffident', 'self-confident')",0.9529829,1.0846303,0.21914147,0.48329163,0.5453251,0.7439012,-0.1985761
