,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,male-female
26,2.9096093,2.79141,"('hardhearted', 'benevolent')",1.6587518,1.5395336,2.2841806,2.1654718,0.1187088
81,-2.5796394,-2.418171,"('submissive', 'aggressive')",-0.8796817,-0.6890605,-1.7296605,-1.5536157,-0.1760448
85,2.2742224,2.1797612,"('insignificant', 'prestigious')",-0.5018027,-0.69405013,0.8862098,0.7428555,0.1433543
3,-2.0809157,-2.082162,"('repellent', 'pleasant')",-0.20661125,-0.21819854,-1.1437634,-1.1501802,0.0064168
1,2.0501614,2.0780735,"('unfriendly', 'friendly')",1.6786679,1.7020571,1.8644147,1.8900653,-0.0256506
25,1.9308994,1.8498636,"('egoistic', 'altruistic')",1.1830711,1.1538213,1.5569853,1.5018425,0.0551428
9,1.8887674,1.8969938,"('unaffectionate', 'caring')",1.108849,1.1373358,1.4988081,1.5171647,-0.0183566
22,-1.8642977,-1.8607696,"('untrustworthy', 'trustworthy')",-1.3355552,-1.2405355,-1.5999265,-1.5506525,-0.049274
84,1.7618998,1.7873648,"('inferior', 'superior')",0.9528917,0.87410676,1.3573958,1.3307358,0.02666
71,1.759889,1.7687261,"('diffident', 'self-confident')",0.2780858,0.2776462,1.0189874,1.0231862,-0.0041988
44,-1.7422196,-1.8165193,"('prejudiced', 'unprejudiced')",-1.7214597,-1.7951558,-1.7318397,-1.8058375,0.0739978
69,1.701074,1.5581686,"('lazy', 'industrious')",-0.58801806,-0.6900244,0.556528,0.4340721,0.1224559
70,-1.5913385,-1.6224142,"('lethargic', 'energetic')",0.07116066,0.090164125,-0.7600889,-0.7661251,0.0060362
33,1.5860451,1.5214014,"('wrong', 'right')",-0.45103106,-0.4935009,0.567507,0.5139502,0.0535568
68,-1.5381758,-1.4174204,"('dependent', 'independent')",-1.4080267,-1.425568,-1.4731013,-1.4214942,-0.0516071
57,-1.528811,-1.5330939,"('unimaginative', 'imaginative')",-3.3233852,-3.1759868,-2.4260981,-2.3545403,-0.0715578
5,1.5279467,1.4514239,"('distant', 'outgoing')",-0.34576565,-0.38746977,0.5910906,0.5319771,0.0591135
8,1.4328408,1.3303533,"('unaffectionate', 'affectionate')",0.54819775,0.46093604,0.9905193,0.8956447,0.0948746
12,1.3252411,1.4037186,"('unsupportive', 'supportive')",-1.207393,-1.1354724,0.058924,0.1341231,-0.0751991
6,1.3086002,1.2437999,"('distant', 'open')",-0.06685014,-0.12950258,0.620875,0.5571487,0.0637263
46,-1.3051184,-1.310581,"('uncompetitive', 'competitive')",-0.7353016,-0.6538118,-1.02021,-0.9821964,-0.0380136
54,1.2816343,1.0809426,"('incapable', 'capable')",0.9870274,0.9131828,1.1343309,0.9970627,0.1372682
76,-1.271849,-1.2711325,"('anxious', 'daring')",-0.38863343,-0.30100578,-0.8302412,-0.7860692,-0.044172
64,-1.2717108,-1.1706822,"('shy', 'confident')",-5.829202,-5.554251,-3.5504565,-3.3624668,-0.1879897
56,1.2132003,1.3829063,"('impractical', 'practical')",0.16972603,0.4267149,0.6914632,0.9048106,-0.2133474
79,1.1713434,1.1490835,"('wavering', 'unwavering')",-0.060505647,-0.15988173,0.5554189,0.4946009,0.060818
59,1.1626616,1.1213806,"('foolish', 'wise')",0.11979914,0.13503063,0.6412303,0.6282056,0.0130247
78,1.1435204,1.0774381,"('nonresilient', 'resilient')",0.63709766,0.6913369,0.890309,0.8843875,0.0059215
65,-1.1255062,-1.07846,"('insecure', 'secure')",-0.37582913,-0.19278246,-0.7506676,-0.6356212,-0.1150464
14,-1.1127788,-0.94046015,"('antisocial', 'social')",-1.0860885,-0.9985314,-1.0994337,-0.9694958,-0.1299379
60,-1.0591865,-0.95071816,"('inefficient', 'efficient')",-0.14787781,0.24473426,-0.6035321,-0.3529919,-0.2505402
39,1.0068872,0.9084767,"('exploitative', 'cooperative')",0.07658791,0.124484584,0.5417376,0.5164806,0.025257
75,-0.97806257,-0.9570358,"('meek', 'impulsive')",-0.64174765,-0.68529195,-0.8099051,-0.8211639,0.0112588
45,-0.95542943,-0.69503117,"('incompetent', 'competent')",-0.5638691,-0.31088242,-0.7596493,-0.5029568,-0.2566925
15,0.89001685,0.98012173,"('boring', 'funny')",0.5326015,0.5864662,0.7113092,0.783294,-0.0719848
11,-0.88981724,-0.86787564,"('unhelpful', 'helpful')",2.138188,2.306334,0.6241853,0.7192292,-0.0950439
36,0.88194627,0.8178048,"('hostile', 'amicable')",-0.3975268,-0.6808369,0.2422097,0.0684839,0.1737258
7,-0.8684923,-0.7452854,"('insensitive', 'sensitive')",-0.18540756,-0.11526985,-0.5269499,-0.4302776,-0.0966723
51,-0.8640439,-0.7599273,"('uneducated', 'educated')",0.52878106,0.61592966,-0.1676314,-0.0719988,-0.0956326
10,-0.80015755,-0.75376636,"('unsympathetic', 'sympathetic')",0.02929619,0.16261868,-0.3854307,-0.2955738,-0.0898569
35,0.78708196,0.7071155,"('corrupt', 'incorrupt')",-0.72267836,-0.89927125,0.0322018,-0.0960779,0.1282797
82,-0.7457967,-0.644865,"('poor', 'rich')",4.9417453,4.936264,2.0979743,2.1456995,-0.0477252
55,-0.7126332,-0.57208353,"('incompetent', 'clever')",-0.09229599,0.058812298,-0.4024646,-0.2566356,-0.145829
53,0.71167314,0.5618989,"('uncreative', 'creative')",0.46484616,0.455417,0.5882596,0.5086579,0.0796017
42,-0.67847776,-0.630761,"('unreliable', 'reliable')",-2.7032268,-2.4411063,-1.6908523,-1.5359337,-0.1549186
27,0.67668253,0.5204234,"('hardhearted', 'softhearted')",1.11127,1.0073148,0.8939762,0.7638691,0.1301071
20,0.6749971,0.61185604,"('rough', 'thoughtful')",0.7663477,0.7210506,0.7206724,0.6664534,0.054219
30,-0.665655,-0.5359399,"('intolerant', 'tolerant')",0.009666003,0.092982195,-0.3279945,-0.2214788,-0.1065157
24,-0.65370417,-0.5745955,"('dishonest', 'honest')",0.35008565,0.46860993,-0.1518093,-0.0529928,-0.0988165
52,0.6505237,0.57969975,"('irrational', 'rational')",-0.20421514,-0.26124775,0.2231543,0.159226,0.0639283
16,-0.6003547,-0.5258183,"('unpopular', 'popular')",-0.23772863,-0.19998805,-0.4190416,-0.3629032,-0.0561384
58,-0.583234,-0.58053523,"('undiscriminating', 'discriminating')",-0.103488274,-0.12351567,-0.3433611,-0.3520254,0.0086643
19,0.5654272,0.5916233,"('inhospitable', 'hospitable')",0.034011856,-0.017090201,0.2997195,0.2872666,0.0124529
63,0.5542923,0.5784659,"('unperceptive', 'insightful')",1.036222,1.1449897,0.7952572,0.8617278,-0.0664706
77,-0.5501678,-0.5513948,"('unmotivated', 'motivated')",-1.0211267,-0.90249455,-0.7856473,-0.7269447,-0.0587026
86,0.54485404,0.5318528,"('uninfluential', 'influential')",-0.036407836,0.008160882,0.2542231,0.2700068,-0.0157837
73,0.52309954,0.5243382,"('helpless', 'self-reliant')",-3.6757061,-3.6717985,-1.5763032,-1.5737301,-0.0025731
41,0.52279866,0.71789825,"('unforgiving', 'forgiving')",0.37480938,0.41267064,0.448804,0.5652844,-0.1164804
80,-0.5222242,-0.632527,"('dominated', 'dominating')",-0.28082117,-0.22492945,-0.4015227,-0.4287282,0.0272055
48,0.49415177,0.5855133,"('unintelligent', 'intelligent')",0.20646758,0.29206318,0.3503097,0.4387882,-0.0884785
83,0.46841532,0.46075562,"('powerless', 'powerful')",-1.2719585,-1.1961694,-0.4017716,-0.3677069,-0.0340647
17,-0.45158803,-0.3779142,"('nasty', 'nice')",-0.6770297,-0.6178836,-0.5643089,-0.4978989,-0.06641
31,0.44617265,0.5257391,"('evil', 'good')",-0.95552456,-1.0405442,-0.254676,-0.2574025,0.0027265
28,-0.43637913,-0.46037543,"('disloyal', 'loyal')",0.5401785,0.5498183,0.0518997,0.0447214,0.0071783
29,-0.3963304,-0.3799933,"('unfair', 'fair')",-0.43179736,-0.49759334,-0.4140639,-0.4387933,0.0247294
66,0.38928327,0.2948977,"('inactive', 'active')",0.80807006,0.49711007,0.5986767,0.3960039,0.2026728
47,0.3619739,0.34090605,"('stupid', 'smart')",4.535513,4.4933405,2.4487433,2.4171233,0.03162
13,-0.35954094,-0.2739393,"('impolite', 'polite')",-0.19545501,-0.07752928,-0.277498,-0.1757343,-0.1017637
