,bank_male,bank_female,tuple,of_male,of_female,new_male,new_female,york_male,york_female,mellon_male,mellon_female,corp_male,corp_female,average_male,average_female,male-female
71,1.9284784,1.8477327,"('diffident', 'self-confident')",-0.02571961,-0.12541793,0.3059287,0.25615257,0.6746792,0.52457106,2.1412923,1.8632312,0.4011515,0.36086452,0.9043018,0.7878557,0.1164461
34,1.8427738,1.8397899,"('mean', 'honorable')",0.85859364,0.80840224,-0.62016165,-0.6879886,0.3184927,0.22109136,0.65107524,0.5600454,5.2282367,5.245739,1.3798351,1.3311799,0.0486552
2,1.8416167,1.6952901,"('unlikable', 'likable')",1.0935874,0.9351396,0.8197471,0.6246563,2.034453,1.7097801,1.8267599,1.6623799,0.6203692,0.55887,1.3727555,1.197686,0.1750695
56,1.6359342,1.5058477,"('impractical', 'practical')",0.16190732,-0.07230054,-0.8466788,-0.7883174,-0.51220006,-0.66092116,-1.3241669,-1.3262696,-0.06243477,-0.18847352,-0.1579398,-0.2550724,0.0971326
83,1.5957565,1.748241,"('powerless', 'powerful')",0.6047244,0.7946542,-0.48263317,-0.13706118,-0.2555628,0.06583749,0.57641387,0.8548844,-0.5466416,-0.4837951,0.2486762,0.4737934,-0.2251172
9,1.5787646,1.5073086,"('unaffectionate', 'caring')",-0.8683107,-0.9232373,-0.19475734,-0.102358826,0.29857132,0.26388395,3.5225222,3.468514,1.6413844,1.6333668,0.9963624,0.9745795,0.0217829
62,1.5642165,1.3933752,"('incompetent', 'brilliant')",-0.043151706,-0.31846407,-0.4831482,-0.7150007,0.20944014,-0.20817219,-0.58135813,-0.87442416,0.93759876,0.6893303,0.2672662,-0.0055593,0.2728255
68,-1.5614322,-1.3309436,"('dependent', 'independent')",0.35212392,0.41044676,-0.7138617,-0.7019624,-0.7619468,-0.57503474,-2.0848596,-1.8748517,-1.5374227,-1.3265034,-1.0512332,-0.8998082,-0.151425
38,1.383869,1.4977722,"('untruthful', 'truthful')",0.18437901,0.21668898,-0.13491079,-0.09994578,0.6146728,0.46498683,0.92624164,0.88526976,0.4413758,0.43046716,0.5692712,0.5658732,0.003398
23,1.3561362,1.1941801,"('insincere', 'sincere')",-0.17697448,-0.5371367,-1.0373842,-1.4243578,-0.13554138,-0.6270477,0.22780928,-0.12714219,6.4140325,6.1147237,1.108013,0.7655366,0.3424764
