,burlington_male,burlington_female,tuple,northern_male,northern_female,santa_male,santa_female,fe_male,fe_female,cp_male,cp_female,average_male,average_female,male-female
31,-3.8662393,-4.5187616,"('evil', 'good')",-1.1598464,-0.97389144,0.18202254,0.5200505,0.2575979,0.59760195,-1.009967,-1.0183139,-1.1192864,-1.0786629,-0.0406235
80,3.7128904,4.245544,"('dominated', 'dominating')",0.7642524,0.46419975,-0.43346122,-0.74066794,-0.5484933,-0.87053615,-0.707149,-0.73799276,0.5576078,0.4721094,0.0854984
36,-3.6033645,-4.672201,"('hostile', 'amicable')",-0.6631043,-0.8921428,-0.059197746,0.11926699,0.3416787,0.44198957,-0.45871133,-0.4881416,-0.8885399,-1.0982458,0.2097059
85,-3.2688546,-4.435947,"('insignificant', 'prestigious')",-0.6252689,-0.78649706,0.7965174,1.1668766,1.2591317,1.5445406,-0.86549675,-0.7935107,-0.5407943,-0.6609076,0.1201133
35,-3.2113514,-4.246089,"('corrupt', 'incorrupt')",-0.5550097,-0.49583948,1.704425,1.7454578,0.5937431,0.8136392,-1.0186162,-1.0010742,-0.4973619,-0.6367812,0.1394193
70,2.5649796,3.0045714,"('lethargic', 'energetic')",0.46764448,0.18086624,-0.94292104,-1.1245545,-0.37220687,-0.6535827,0.3249118,0.25513318,0.4084816,0.3324867,0.0759949
79,-2.511696,-3.3325837,"('wavering', 'unwavering')",-0.37753403,-0.46360895,0.61912346,0.82688063,0.35441515,0.50446546,-0.09750684,-0.08076339,-0.4026397,-0.509122,0.1064823
6,-2.447426,-3.0151134,"('distant', 'open')",-0.7457645,-0.60218143,0.75269294,1.1302029,0.8801089,1.2352421,0.3061756,0.44546986,-0.2508426,-0.161276,-0.0895666
52,-2.4317725,-3.263405,"('irrational', 'rational')",-0.07318896,-0.02172903,1.2933781,1.512907,0.69075555,1.0235088,0.17627057,0.24043155,-0.0689115,-0.1016573,0.0327458
75,-2.4010627,-2.9023964,"('meek', 'impulsive')",0.03208332,-0.0095679145,1.0939566,1.2915266,0.17721124,0.40509754,-0.66773677,-0.74183,-0.3531097,-0.3914341,0.0383244
55,2.387994,3.1023355,"('incompetent', 'clever')",-0.32564837,-0.5233249,-1.926592,-2.050979,-1.2777147,-1.5283626,0.118834384,0.16605255,-0.2046253,-0.1668557,-0.0377696
60,2.379079,3.1819797,"('inefficient', 'efficient')",0.11984663,0.18232322,-2.2298205,-2.1934063,-1.140648,-1.3257637,0.16812657,0.28339243,-0.1406832,0.0257051,-0.1663883
51,2.3566916,2.7358947,"('uneducated', 'educated')",-0.0102351755,-0.14978164,-0.7417631,-0.94028455,-0.21429548,-0.30927095,0.06493308,0.00299415,0.2910662,0.2679103,0.0231559
81,2.340196,3.0382473,"('submissive', 'aggressive')",0.15021819,-0.022208631,-1.367836,-1.6251413,-1.0871096,-1.4106321,-0.56761235,-0.68059367,-0.1064288,-0.1400657,0.0336369
56,2.322264,2.8754296,"('impractical', 'practical')",0.06291018,0.07995235,-1.6435921,-1.6589137,-1.0765756,-1.2697502,-0.12793817,-0.12613782,-0.0925864,-0.019884,-0.0727024
62,2.2747538,2.8294702,"('incompetent', 'brilliant')",-0.047637843,-0.25118953,-1.5262032,-1.6136789,-0.8454139,-1.0822649,0.33699125,0.3712646,0.038498,0.0507203,-0.0122223
69,-2.268332,-3.16359,"('lazy', 'industrious')",0.5333596,0.47816184,0.15883937,0.31212157,1.0200571,1.0848591,-1.3785632,-1.2466738,-0.3869278,-0.5070242,0.1200964
63,2.2635405,2.4130287,"('unperceptive', 'insightful')",0.3976276,0.09848018,-0.9612828,-1.0737057,0.21862955,-0.09921908,0.19487357,0.16711557,0.4226777,0.30114,0.1215377
5,-2.1202302,-2.7789423,"('distant', 'outgoing')",-0.7706639,-0.63254,0.4003845,0.7766958,0.38304734,0.6843801,-0.3824817,-0.28399777,-0.4979888,-0.4468809,-0.0511079
