,sigma_male,sigma_female,tuple,aldrich_male,aldrich_female,corp_male,corp_female,average_male,average_female,male-female
55,2.793609,0.9861229,"('incompetent', 'clever')",-0.9893315,-1.1102996,1.4357673,-0.10231133,1.0800149,-0.075496,1.1555109
35,-2.38196,-0.6156191,"('corrupt', 'incorrupt')",1.5592979,1.77119,-1.4236096,-0.06553079,-0.7487572,0.3633467,-1.1121039
62,2.180261,0.64964825,"('incompetent', 'brilliant')",-0.92337143,-1.0645561,0.92610073,0.04654505,0.7276634,-0.1227876,0.850451
31,-2.1201913,-0.52420515,"('evil', 'good')",0.62240493,0.8034585,-1.8037615,-0.423462,-1.100516,-0.0480695,-1.0524465
4,-2.1173902,-1.0935227,"('disliked', 'liked')",0.71784943,0.9763798,-7.5697455,-6.1619267,-2.989762,-2.0930231,-0.8967389
6,-2.1090517,-0.3903552,"('distant', 'open')",0.7631967,1.3372372,-1.3904239,-0.4689697,-0.912093,0.1593041,-1.0713971
36,-2.0930917,0.00077806413,"('hostile', 'amicable')",0.9719747,1.3201892,-0.9473974,0.14178582,-0.6895049,0.4875844,-1.1770893
79,-2.069449,-0.8834507,"('wavering', 'unwavering')",0.6923737,0.6125273,-0.65260416,-0.14827618,-0.6765598,-0.1397332,-0.5368266
23,2.019414,0.56823415,"('insincere', 'sincere')",-2.2770996,-2.272218,6.2730775,4.750938,2.0051306,1.0156514,0.9894792
75,-1.9935288,-0.671767,"('meek', 'impulsive')",1.2072079,1.3252286,-1.1885035,-0.43632355,-0.6582748,0.0723793,-0.7306541
52,-1.9870939,-0.49955004,"('irrational', 'rational')",0.16452985,0.693937,-0.4850857,0.33905426,-0.7692166,0.1778137,-0.9470303
12,1.9153215,1.4685663,"('unsupportive', 'supportive')",-0.5109073,-0.2066164,-1.8431518,-1.9341627,-0.1462459,-0.2240709,0.077825
69,-1.9090157,-0.3010791,"('lazy', 'industrious')",2.3614535,2.0612192,-1.7267023,-0.37277293,-0.4247548,0.4624557,-0.8872105
60,1.8753673,0.108506985,"('inefficient', 'efficient')",-2.093792,-1.9078481,0.43613505,-0.89693475,0.0725701,-0.8987586,0.9713287
0,1.8498235,0.49991968,"('unsociable', 'sociable')",-1.9599184,-2.028976,0.0435457,-0.9061367,-0.0221831,-0.811731,0.7895479
10,1.794796,-0.35840023,"('unsympathetic', 'sympathetic')",-3.2850394,-3.3473642,0.3317847,-1.3022655,-0.3861529,-1.6693433,1.2831904
70,1.6867741,0.060057703,"('lethargic', 'energetic')",-1.1800172,-1.1818602,0.8289375,-0.4901396,0.4452314,-0.537314,0.9825454
