,cbre_male,cbre_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,2.1668246,2.0417347,"('exploitative', 'cooperative')",2.4915617,2.3284695,0.06612071,0.13065358,1.5748356,1.5002858,0.0745498
69,1.5658722,1.5418893,"('lazy', 'industrious')",-0.06390329,-0.07111594,-0.48808748,-0.6338167,0.3379605,0.2789855,0.058975
73,1.2160337,1.0989647,"('helpless', 'self-reliant')",-0.654788,-0.5352422,-3.2766044,-3.1805234,-0.9051196,-0.8722669,-0.0328527
56,1.2044892,1.4253705,"('impractical', 'practical')",1.7840112,2.032154,0.36575586,0.63188744,1.1180855,1.3631372,-0.2450517
2,1.1036788,1.109483,"('unlikable', 'likable')",1.3872783,1.4357299,0.75658303,0.87259245,1.0825134,1.1392684,-0.056755
71,1.0774814,0.91864574,"('diffident', 'self-confident')",0.18882582,0.11895156,0.6508508,0.5170961,0.6390527,0.5182312,0.1208215
82,-1.0764234,-1.093049,"('poor', 'rich')",0.0021563843,-0.09100503,5.840762,5.875632,1.5888317,1.5638593,0.0249724
33,1.0590852,0.9754963,"('wrong', 'right')",-0.9552432,-0.919931,-0.55245066,-0.6228798,-0.1495362,-0.1891048,0.0395686
86,-1.0444999,-1.207359,"('uninfluential', 'influential')",0.28273973,0.15264075,-0.06221278,-0.29930168,-0.2746576,-0.45134,0.1766824
59,0.9576567,0.8185352,"('foolish', 'wise')",-1.3021264,-1.3785138,0.45532477,0.41082788,0.0369517,-0.0497169,0.0866686
87,0.9368248,0.89493465,"('unsuccessful', 'successful')",1.5147806,1.4367857,0.8754741,0.71321565,1.1090264,1.0149786,0.0940478
57,-0.9166993,-1.032726,"('unimaginative', 'imaginative')",0.028277673,-0.10882367,-2.2076926,-2.39981,-1.0320381,-1.1804533,0.1484152
62,0.90127677,1.152075,"('incompetent', 'brilliant')",1.3039994,1.6224757,0.4419867,0.8401318,0.882421,1.2048942,-0.3224732
46,-0.8597428,-0.9104802,"('uncompetitive', 'competitive')",1.7934748,1.6942863,-0.56915647,-0.65094656,0.1215252,0.0442865,0.0772387
30,0.8276637,0.9180589,"('intolerant', 'tolerant')",1.1009319,1.1524003,1.1615076,1.3529675,1.0300344,1.1411422,-0.1111078
12,0.79729915,0.8738919,"('unsupportive', 'supportive')",0.8579388,0.9528293,-1.4556124,-1.4543432,0.0665418,0.124126,-0.0575842
