,pnc_male,pnc_female,tuple,financial_male,financial_female,services_male,services_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
42,1.5008779,1.6832869,"('unreliable', 'reliable')",1.3919667,1.3123504,1.3023396,1.5300426,1.5204729,1.6192071,-2.144788,-2.4626148,0.7141738,0.7364544,-0.0222806
1,-1.1507615,-1.4404018,"('unfriendly', 'friendly')",1.4318845,1.146273,-1.1020896,-1.4509648,-0.58780044,-0.95491517,2.1596622,1.8460464,0.1501791,-0.1707925,0.3209716
2,1.1067321,1.3452648,"('unlikable', 'likable')",2.0200496,2.0380874,1.3267044,1.4823601,1.4273986,1.5929805,0.66909474,0.73878956,1.3099958,1.4394964,-0.1295006
16,-1.0150535,-0.84212345,"('unpopular', 'popular')",-0.55706686,-0.3576287,-0.3011286,-0.25473654,-0.97853005,-0.8235101,0.3410257,0.3896574,-0.5021506,-0.3776683,-0.1244823
68,-0.8730401,-0.83237046,"('dependent', 'independent')",-2.178703,-2.3728867,0.1388831,0.1505158,-0.57909584,-0.5612797,-0.19664405,-0.5644751,-0.73772,-0.8360992,0.0983792
78,-0.80489695,-0.9043062,"('nonresilient', 'resilient')",0.50878686,0.48599944,2.003817,1.9056337,-0.6394365,-0.8262127,0.52912956,0.4174232,0.31948,0.2157075,0.1037725
20,-0.78468776,-0.57914996,"('rough', 'thoughtful')",-0.16721584,-0.0108987,0.23833025,0.37264717,0.010869728,0.05629663,0.9514351,0.98947006,0.0497463,0.165673,-0.1159267
67,0.7637346,0.9627575,"('doubtful', 'determined')",0.42028025,0.5905746,0.021837205,0.2954316,0.7460679,1.0348569,-0.795453,-0.49531075,0.2312934,0.477662,-0.2463686
25,-0.760033,-0.91475165,"('egoistic', 'altruistic')",0.1385546,0.06927505,1.1409618,0.977054,-0.9363131,-1.0574536,1.2742348,1.2092862,0.171481,0.056682,0.114799
31,-0.7432681,-1.1107568,"('evil', 'good')",-0.38649237,-0.47315407,-2.7545924,-2.8735046,-1.9829792,-2.0410104,-1.1097026,-1.3757099,-1.3954069,-1.5748272,0.1794203
35,-0.72996116,-0.7268277,"('corrupt', 'incorrupt')",0.065825224,0.22791602,-2.2237685,-2.2192702,-0.788408,-0.7605428,-0.3583747,-0.41217348,-0.8069374,-0.7781796,-0.0287578
8,-0.71041644,-0.94724804,"('unaffectionate', 'affectionate')",0.750913,0.70268935,-1.1371841,-1.3667225,-1.2358985,-1.532373,1.0107518,0.89749587,-0.2643668,-0.4492316,0.1848648
57,-0.6551029,-0.4787272,"('unimaginative', 'imaginative')",-0.16985191,-0.5165206,-0.12113269,-0.16587025,-0.41476098,-0.20795459,-1.6888295,-2.2032645,-0.6099356,-0.7144674,0.1045318
39,0.64915967,0.75545955,"('exploitative', 'cooperative')",0.8161966,0.7899363,0.659425,0.770628,0.59168166,0.798923,-0.20198932,-0.09728183,0.5028947,0.603533,-0.1006383
0,-0.64786005,-0.50178957,"('unsociable', 'sociable')",-0.74382055,-0.8438019,1.369147,1.4505992,-0.16860262,-0.1150168,-0.17472807,-0.1608009,-0.0731729,-0.034162,-0.0390109
32,0.6403387,0.6798507,"('unkind', 'kind')",0.11246598,-0.0043105036,1.1710794,1.2217729,1.3907268,1.3009304,1.31965,1.4507595,0.9268522,0.9298006,-0.0029484
60,0.6368313,0.8091527,"('inefficient', 'efficient')",-0.89101243,-0.9850245,3.0857258,3.0897648,1.588633,1.5834593,0.1109572,0.2729718,0.9062269,0.9540648,-0.0478379
48,-0.62643534,-0.5240131,"('unintelligent', 'intelligent')",-1.2632321,-1.4349693,-0.8380076,-0.83999085,-1.5647621,-1.5886863,0.47672716,0.40769503,-0.7631421,-0.7959929,0.0328508
6,-0.5998306,-0.98991215,"('distant', 'open')",0.7043203,0.6719905,-1.7292035,-2.0585,-0.65850043,-1.1334006,0.5835165,0.40619287,-0.3399395,-0.6207259,0.2807864
36,-0.5986444,-0.717698,"('hostile', 'amicable')",1.082017,1.0767318,-1.8286037,-2.087768,-0.9672003,-1.2131711,-0.12881254,-0.19831833,-0.4882488,-0.6280447,0.1397959
49,-0.593653,-0.33851767,"('unable', 'able')",-1.27671,-1.1293995,0.35251096,0.5113203,-0.7334571,-0.5198246,-0.541065,-0.4859228,-0.5584748,-0.3924689,-0.1660059
12,0.5451442,0.5399024,"('unsupportive', 'supportive')",1.1694072,1.0639495,1.7190055,1.7699127,-0.24748704,-0.26692688,-1.0050328,-1.2637496,0.4362074,0.3686176,0.0675898
63,0.54374224,0.722201,"('unperceptive', 'insightful')",0.9266908,0.8585505,2.837631,2.908289,0.58616906,0.66834533,1.4055524,1.5506114,1.2599571,1.3415995,-0.0816424
7,0.54278773,0.6153495,"('insensitive', 'sensitive')",0.24788316,0.24090473,0.59057915,0.8902954,0.84874886,0.8609464,1.0796562,1.2908561,0.661931,0.7796704,-0.1177394
18,-0.5338477,-0.3242119,"('disagreeable', 'welcoming')",-0.34977892,-0.4427446,0.5063787,0.48696578,-1.2937007,-1.1293173,-0.26113302,-0.2845039,-0.3864163,-0.3387624,-0.0476539
87,0.53226316,0.8015282,"('unsuccessful', 'successful')",1.0773523,1.172427,1.087739,1.3613714,0.52395535,0.746391,0.3158167,0.3331724,0.7074253,0.882978,-0.1755527
59,-0.52620053,-0.65261614,"('foolish', 'wise')",1.3857155,1.2931794,-1.0691335,-1.2206241,-0.25650898,-0.34933093,0.020109463,-0.013284493,-0.0892036,-0.1885352,0.0993316
26,-0.5197344,-0.5794656,"('hardhearted', 'benevolent')",1.6466892,1.4774523,0.37018666,0.18474779,-0.02995465,-0.094816074,1.9379299,1.8241827,0.6810233,0.5624202,0.1186031
66,0.5170064,0.52461964,"('inactive', 'active')",1.8683378,1.917578,0.6977417,0.75881475,0.38050944,0.26259193,1.1502507,1.2026811,0.9227692,0.9332571,-0.0104879
86,-0.51035166,-0.6120065,"('uninfluential', 'influential')",-0.5690191,-0.94210005,1.1596285,1.003457,-0.85208875,-0.8961682,0.5284233,0.2552228,-0.0486815,-0.238319,0.1896375
76,0.51018655,0.7663838,"('anxious', 'daring')",-0.38074782,-0.41152173,1.8202027,1.9889989,1.227168,1.3826013,0.389864,0.45789385,0.7133347,0.8368712,-0.1235365
74,0.49620068,0.6421027,"('undedicated', 'dedicated')",0.78240436,0.63044226,1.5147663,1.3655074,0.6904247,0.8289293,0.79619455,0.65087515,0.855998,0.8235714,0.0324266
70,0.49343216,1.0041356,"('lethargic', 'energetic')",0.03555151,0.011660783,2.1738012,2.5342674,1.4835923,1.67611,1.2408433,1.4750524,1.0854441,1.3402452,-0.2548011
50,0.47768158,0.41334474,"('clumsy', 'skillful')",1.1943519,1.1159726,1.8288643,1.5499501,1.0344633,0.72376055,0.82583314,0.6089388,1.0722389,0.8823934,0.1898455
51,0.47010192,0.611223,"('uneducated', 'educated')",-0.25125772,-0.40103006,1.8228903,1.7849784,0.12148937,0.23055501,0.6527556,0.60725206,0.5631959,0.5665957,-0.0033998
56,0.4668013,0.8036902,"('impractical', 'practical')",0.437499,0.54071355,1.2606101,1.4072286,1.2551767,1.5640503,-0.21257295,-0.11025211,0.6415028,0.8410861,-0.1995833
53,-0.45807692,-0.36656663,"('uncreative', 'creative')",1.1627765,1.0478499,0.5559943,0.2347329,-0.42539418,-0.51445776,1.953598,1.6287878,0.5577795,0.4060692,0.1517103
5,-0.44508284,-0.67124414,"('distant', 'outgoing')",1.1581444,1.2350607,-1.7520173,-1.8767289,-0.7362712,-1.0644844,-0.28494513,-0.49457797,-0.4120344,-0.5743949,0.1623605
13,0.4405145,0.6116798,"('impolite', 'polite')",-0.072831236,-0.18404113,1.3999672,1.5179534,0.56111205,0.5421152,-0.15796162,-0.03829367,0.4341602,0.4898827,-0.0557225
52,-0.41723508,-0.7056451,"('irrational', 'rational')",1.2864653,1.2008166,-0.18253891,-0.544152,-1.0081532,-1.1503857,-0.35421106,-0.56829625,-0.1351346,-0.3535325,0.2183979
88,-0.41078925,-0.27854082,"('low', 'eminent')",-0.31187153,-0.25211102,0.14134546,-0.024151307,-0.47516832,-0.34799775,0.90657926,0.7618089,-0.0299809,-0.0281984,-0.0017825
10,-0.37998307,-0.23337696,"('unsympathetic', 'sympathetic')",-1.2605968,-1.4030626,1.5571624,1.6130273,0.6836591,0.5756596,1.0241958,0.8759772,0.3248875,0.2856449,0.0392426
33,0.37685877,0.059170827,"('wrong', 'right')",2.301614,2.0702538,-0.6359836,-0.69725466,0.20804429,-0.10640651,-0.83500457,-1.0307134,0.2831058,0.05901,0.2240958
28,-0.36920664,-0.54630476,"('disloyal', 'loyal')",0.51216704,0.37585253,0.70979846,0.61037004,-0.704105,-0.75940764,1.6269228,1.521144,0.3551153,0.2403308,0.1147845
62,0.34977338,0.63104564,"('incompetent', 'brilliant')",-0.24965514,-0.20964886,2.192677,2.3688645,0.3271266,0.61195403,0.44907504,0.5727405,0.6137993,0.7949912,-0.1811919
73,0.34948993,0.44020748,"('helpless', 'self-reliant')",1.3935258,1.3218422,-1.4143351,-1.2809747,0.09364311,0.16636133,-3.1577804,-3.418103,-0.5470913,-0.5541333,0.007042
61,0.33735937,0.30047965,"('illogical', 'logical')",1.550754,1.5894732,1.2311027,1.1835767,0.5128182,0.39630732,0.6148085,0.5212462,0.8493686,0.7982166,0.051152
4,-0.320454,-0.27201498,"('disliked', 'liked')",0.42180395,0.47969854,-1.2212251,-1.1041418,-0.59708667,-0.21048549,-5.2002735,-5.7735066,-1.3834471,-1.37609,-0.0073571
9,-0.31823218,-0.70837486,"('unaffectionate', 'caring')",1.5600368,1.2834531,0.66643405,0.28723186,-0.36843535,-0.8257959,1.667481,1.5746328,0.6414568,0.3222294,0.3192274
11,0.3131044,0.67230517,"('unhelpful', 'helpful')",0.06279169,0.08181754,2.6512616,2.573489,0.087350674,0.2644335,2.2557087,2.3041492,1.0740435,1.1792389,-0.1051954
75,0.30671066,0.5326691,"('meek', 'impulsive')",0.0314018,0.31779885,-0.9315732,-0.69328046,-0.23657894,-0.0003065616,-0.57108086,-0.34080765,-0.2802241,-0.0367853,-0.2434388
38,-0.30426815,-0.3091021,"('untruthful', 'truthful')",1.0043423,1.0831678,0.32380962,0.26430723,-0.37260753,-0.31897298,0.29719016,0.2587015,0.1896933,0.1956203,-0.005927
21,0.28699705,0.583024,"('immoral', 'moral')",0.43652526,0.32904202,1.7913792,1.9447149,1.0948966,1.2478623,-0.61910856,-0.593524,0.598138,0.7022239,-0.1040859
44,-0.2753262,-0.1713671,"('prejudiced', 'unprejudiced')",-0.55779874,-0.4023692,-0.65355337,-0.44800556,0.75562036,0.78338265,-1.7202307,-1.726646,-0.4902577,-0.393001,-0.0972567
19,0.26518217,0.44849485,"('inhospitable', 'hospitable')",0.16717702,0.16010705,-0.83527154,-0.8471118,-0.5655862,-0.6624994,0.12246469,0.073459245,-0.1692068,-0.16551,-0.0036968
71,0.26098657,0.076777354,"('diffident', 'self-confident')",1.653426,1.7903924,-0.0026502311,0.17564242,-0.37740004,-0.560547,0.45342767,0.49905434,0.397558,0.3962639,0.0012941
81,0.2258806,0.7050692,"('submissive', 'aggressive')",0.49759763,0.36584657,1.4611334,1.7900585,0.49393573,0.9089768,-0.94923085,-0.72339344,0.3458633,0.6093115,-0.2634482
41,-0.22457196,0.016557261,"('unforgiving', 'forgiving')",0.7680156,0.82284737,0.028573742,0.12934205,0.14183004,0.429289,-0.34369215,-0.11204291,0.0740311,0.2571985,-0.1831674
22,0.21593009,0.5496931,"('untrustworthy', 'trustworthy')",-0.6955845,-0.66135186,0.7134012,0.933699,0.6425817,0.87107104,-0.95547825,-0.8572104,-0.0158299,0.1671802,-0.1830101
27,0.21268018,0.113480724,"('hardhearted', 'softhearted')",-0.65497315,-0.7844297,0.1052512,-0.030560162,0.3843602,0.047507472,1.7228858,1.5569425,0.3540409,0.1805882,0.1734527
65,-0.19355866,-0.070942655,"('insecure', 'secure')",-0.95424676,-1.1490492,0.3800825,0.47034523,0.5186947,0.5655828,-0.6110399,-0.5006735,-0.1720136,-0.1369474,-0.0350662
54,-0.16844034,-0.140501,"('incapable', 'capable')",0.951092,0.87634665,0.068630956,0.013762847,0.3588742,0.22170836,0.8748288,1.0537643,0.4169971,0.4050162,0.0119809
34,0.16788694,0.47933036,"('mean', 'honorable')",0.6749981,0.8281872,0.71710634,0.73075837,0.592314,0.5987742,5.3408494,5.7766876,1.4986309,1.6827477,-0.1841168
80,0.15938626,0.49507776,"('dominated', 'dominating')",-0.3258852,-0.27032664,2.4651399,2.728163,1.2865143,1.544036,-1.1317927,-1.1977301,0.4906725,0.659844,-0.1691715
3,0.15393159,0.07388657,"('repellent', 'pleasant')",-1.097052,-1.0046926,1.2341098,1.3816135,0.3877238,0.3669448,0.50412965,0.48742598,0.2365686,0.2610357,-0.0244671
47,-0.15031064,0.15829065,"('stupid', 'smart')",0.83854973,0.99823797,1.7142122,1.7781476,0.9008155,1.1419826,4.1695104,4.9615455,1.4945555,1.8076408,-0.3130853
37,0.14491212,0.20585747,"('fake', 'genuine')",-0.34848967,-0.5100366,1.0898392,1.0807729,0.9905465,0.8201034,1.0993742,0.8593714,0.5952365,0.4912137,0.1040228
77,-0.14325204,-0.21351683,"('unmotivated', 'motivated')",0.40001714,0.19516475,1.1238573,1.2205395,-0.30058903,-0.38639563,-1.0412925,-1.0118456,0.0077482,-0.0392108,0.046959
15,-0.1388281,-0.064505965,"('boring', 'funny')",0.6224509,0.53297544,-1.6282991,-1.5415137,-0.14787447,-0.01607859,-0.22426693,-0.13437891,-0.3033635,-0.2447003,-0.0586632
29,-0.12393388,-0.17872773,"('unfair', 'fair')",-0.37617332,-0.20950994,-0.9569174,-0.90014595,-0.13618499,-0.16356573,-0.5224297,-0.676993,-0.4231278,-0.4257885,0.0026607
55,-0.12054491,0.13785867,"('incompetent', 'clever')",-1.6047878,-1.775298,1.7975595,1.9030111,-0.13155839,0.105343156,0.3490059,0.30014855,0.0579349,0.1342127,-0.0762778
82,0.09918593,0.39837736,"('poor', 'rich')",-0.72079587,-0.6649031,1.0078355,0.88953245,0.27474567,0.20367405,5.9353514,6.3970537,1.3192645,1.4447469,-0.1254824
