,sigma_male,sigma_female,tuple,aldrich_male,aldrich_female,corp_male,corp_female,average_male,average_female,male-female
55,3.434151,4.5196595,"('incompetent', 'clever')",-0.5446437,-0.5529132,1.3375081,1.6332722,1.4090052,1.8666728,-0.4576676
36,-3.1973286,-4.532134,"('hostile', 'amicable')",0.143005,0.21729364,-0.9409753,-1.5157316,-1.3317663,-1.943524,0.6117577
31,-3.120607,-4.226109,"('evil', 'good')",-0.26395878,0.10137172,-1.9751308,-2.3972714,-1.7865655,-2.174003,0.3874375
35,-2.9746716,-3.9446359,"('corrupt', 'incorrupt')",0.7774756,0.8697596,-1.494713,-1.9173273,-1.2306363,-1.6640679,0.4334316
62,2.924645,3.6921034,"('incompetent', 'brilliant')",-0.39053455,-0.40989172,0.82003725,1.2613697,1.1180491,1.5145272,-0.3964781
69,-2.9107358,-4.1355295,"('lazy', 'industrious')",1.7232184,1.5027663,-1.720354,-2.2940135,-0.9692904,-1.642259,0.6729686
60,2.8758671,4.089243,"('inefficient', 'efficient')",-0.9986877,-0.9347718,0.6052199,1.254459,0.8274664,1.4696434,-0.642177
6,-2.824874,-3.597193,"('distant', 'open')",-0.030893588,0.36894774,-1.5800235,-1.6150082,-1.478597,-1.6144179,0.1358209
4,-2.7421658,-2.8773344,"('disliked', 'liked')",0.119383335,0.29614154,-7.8263693,-8.492928,-3.4830507,-3.6913735,0.2083228
79,-2.7371573,-3.3031368,"('wavering', 'unwavering')",-0.023276469,0.15331388,-0.7673763,-0.95806843,-1.1759367,-1.3692972,0.1933605
85,-2.6158323,-4.0802717,"('insignificant', 'prestigious')",0.58549845,0.6458842,-1.6932727,-2.3171494,-1.2412022,-1.9171789,0.6759767
10,2.4878628,3.5847852,"('unsympathetic', 'sympathetic')",-2.547111,-2.524266,0.40775573,1.0271678,0.1161692,0.6958957,-0.5797265
23,2.486875,2.7236855,"('insincere', 'sincere')",-1.575307,-1.8966587,6.1639466,6.620607,2.3585049,2.4825446,-0.1240397
0,2.407545,3.295734,"('unsociable', 'sociable')",-1.5068958,-1.510628,0.13049412,0.41681838,0.3437145,0.7339748,-0.3902603
52,-2.3797984,-3.2597919,"('irrational', 'rational')",-0.15456419,-0.3354284,-0.57843107,-0.9756037,-1.0375979,-1.523608,0.4860101
65,2.243429,2.9359515,"('insecure', 'secure')",-0.7408367,-1.0427104,0.7789838,1.159922,0.7605254,1.017721,-0.2571956
81,2.166832,3.2840886,"('submissive', 'aggressive')",-0.36755425,-0.55740345,-0.17758594,0.23057616,0.5405639,0.9857537,-0.4451898
59,-2.1060452,-3.0669105,"('foolish', 'wise')",0.6742015,0.5841451,-0.6625019,-0.9135798,-0.6981152,-1.132115,0.4339998
5,-2.0761108,-2.7621205,"('distant', 'outgoing')",0.012289926,0.37163395,-1.5644495,-1.701461,-1.2094235,-1.3639825,0.154559
70,2.063037,2.7660546,"('lethargic', 'energetic')",-0.99111784,-1.072654,0.87180626,1.271322,0.6479084,0.9882409,-0.3403325
76,2.0459452,2.8315973,"('anxious', 'daring')",-0.97988355,-0.93482083,0.57947695,1.0115769,0.5485129,0.9694511,-0.4209382
12,2.0349581,2.1398919,"('unsupportive', 'supportive')",-0.42488164,-0.4688933,-2.017089,-1.9002894,-0.1356708,-0.0764303,-0.0592405
14,2.023904,2.8332348,"('antisocial', 'social')",-0.46549267,-0.44094816,0.5205202,0.59825766,0.6929772,0.9968481,-0.3038709
20,1.9502326,2.0182004,"('rough', 'thoughtful')",-0.06226947,0.1647731,1.0418851,0.91704494,0.9766161,1.0333394,-0.0567233
75,-1.9247149,-2.6334817,"('meek', 'impulsive')",0.8470683,0.93538743,-1.1962428,-1.4558504,-0.7579632,-1.0513149,0.2933517
80,1.8845197,2.8085527,"('dominated', 'dominating')",0.53975254,0.20972204,0.3271925,0.44935727,0.9171549,1.1558774,-0.2387225
16,-1.848059,-2.2216768,"('unpopular', 'popular')",-0.5418209,-0.6669411,-0.28636116,-0.65424466,-0.8920804,-1.1809542,0.2888738
43,1.7621166,2.3031673,"('irresponsible', 'responsible')",-1.3502086,-1.2682327,0.7246592,1.1448947,0.3788557,0.7266098,-0.3477541
21,1.7315453,2.4988935,"('immoral', 'moral')",-1.1439404,-1.2210813,0.27744436,0.66977024,0.2883497,0.6491942,-0.3608445
37,1.6569753,1.7935879,"('fake', 'genuine')",0.13549793,-0.050663352,0.3084276,0.45884222,0.7003003,0.7339222,-0.0336219
48,1.5842638,1.997007,"('unintelligent', 'intelligent')",-1.1540762,-1.2952573,0.8922429,1.0768554,0.4408102,0.5928684,-0.1520582
7,1.5595483,1.854028,"('insensitive', 'sensitive')",-1.0119554,-1.18361,0.7960939,1.0659612,0.4478956,0.5787931,-0.1308975
86,1.5508245,2.3433943,"('uninfluential', 'influential')",-1.8909184,-1.8559089,-0.08859664,0.14044921,-0.1428968,0.2093115,-0.3522083
19,-1.5086635,-1.981404,"('inhospitable', 'hospitable')",-0.08594069,0.32205084,-0.93195236,-0.94508165,-0.8421855,-0.8681449,0.0259594
46,1.5050479,2.6135697,"('uncompetitive', 'competitive')",-1.529844,-1.6058365,-0.14728768,0.12247754,-0.0573613,0.3767369,-0.4340982
78,1.4666382,1.5396268,"('nonresilient', 'resilient')",-0.3780728,-0.36166456,0.9070557,0.7302831,0.665207,0.6360818,0.0291252
44,-1.43534,-1.5376631,"('prejudiced', 'unprejudiced')",0.7963057,0.8829119,-1.6111118,-1.474481,-0.7500487,-0.7097441,-0.0403046
72,1.3579156,1.6916456,"('unambitious', 'ambitious')",-1.1844629,-0.8919469,-0.17082632,0.2707606,0.0008755,0.3568198,-0.3559443
40,1.2360128,1.3808604,"('stingy', 'generous')",0.17823672,0.07885136,-2.1379695,-2.375946,-0.24124,-0.3054114,0.0641714
33,-1.2289716,-1.971675,"('wrong', 'right')",1.0538346,0.9910852,-1.1445223,-1.2539341,-0.4398865,-0.7448413,0.3049548
56,1.2226632,2.1014593,"('impractical', 'practical')",-0.9392611,-0.8894791,-0.46891215,-0.100065336,-0.0618367,0.3706383,-0.432475
74,1.1739949,1.3626763,"('undedicated', 'dedicated')",-0.79816145,-0.59953916,-0.18764193,-0.08743122,0.0627305,0.2252353,-0.1625048
3,1.1728777,1.6883188,"('repellent', 'pleasant')",-1.3609622,-1.2312014,1.3755938,1.4808743,0.3958364,0.6459972,-0.2501608
51,1.0984137,1.834326,"('uneducated', 'educated')",-0.32464623,-0.29586607,0.76155865,0.94582653,0.5117754,0.8280955,-0.3163201
9,1.0859542,0.37389368,"('unaffectionate', 'caring')",-1.0017401,-1.130168,1.041136,1.1492062,0.3751167,0.1309773,0.2441394
2,1.0346439,0.645479,"('unlikable', 'likable')",-0.013415571,-0.072057724,0.22168297,0.21314418,0.4143038,0.2621885,0.1521153
11,1.0143591,1.2948191,"('unhelpful', 'helpful')",-0.82410616,-1.0938344,1.9160753,2.2152324,0.7021094,0.8054057,-0.1032963
83,1.0101407,1.2057241,"('powerless', 'powerful')",0.17803785,0.16982391,-0.4854017,-0.43188956,0.2342589,0.3145528,-0.0802939
13,0.8957913,1.5808705,"('impolite', 'polite')",-1.4603279,-1.5898881,-0.24389714,0.04837417,-0.2694779,0.0131189,-0.2825968
