,ppg_male,ppg_female,tuple,industries_male,industries_female,inc_male,inc_female,average_male,average_female,male-female
36,-1.6265937,-1.1639162,"('hostile', 'amicable')",-1.2146407,-1.185643,-0.5979113,-0.34068525,-1.1463819,-0.8967482,-0.2496337
26,-1.4013817,-0.9762352,"('hardhearted', 'benevolent')",0.8831444,1.0997528,0.7382698,1.2636772,0.0733442,0.4623983,-0.3890541
56,1.3576263,1.0273387,"('impractical', 'practical')",1.8648189,1.6664574,0.65551925,0.27272773,1.2926548,0.9888413,0.3038135
60,1.2530513,0.96351326,"('inefficient', 'efficient')",1.7265239,1.8788689,0.7655751,0.56654334,1.2483834,1.1363085,0.1120749
1,-1.2265178,-0.9008939,"('unfriendly', 'friendly')",-0.60054475,-0.5332764,1.3198187,1.5154595,-0.1690813,0.0270964,-0.1961777
39,1.2023054,1.3628889,"('exploitative', 'cooperative')",-0.36765334,-0.1030854,-0.29151678,-0.14189754,0.1810451,0.3726353,-0.1915902
57,-1.1791099,-1.0693275,"('unimaginative', 'imaginative')",-0.26702988,-0.18725239,-2.4903402,-2.392954,-1.31216,-1.2165113,-0.0956487
18,-1.1422405,-0.8807832,"('disagreeable', 'welcoming')",-0.72949624,-0.57896245,-0.5809573,-0.3364597,-0.8175646,-0.5987351,-0.2188295
10,-1.10714,-1.2338957,"('unsympathetic', 'sympathetic')",-0.64914036,-0.49418688,0.17695707,0.0064466633,-0.5264411,-0.5738786,0.0474375
67,1.0743185,1.0398724,"('doubtful', 'determined')",0.768016,0.799716,-0.14420587,-0.08803428,0.5660429,0.5838514,-0.0178085
8,-1.0468348,-0.7153948,"('unaffectionate', 'affectionate')",-0.6805318,-0.64434433,-0.17815515,0.12832822,-0.635174,-0.4104703,-0.2247037
80,1.0406178,0.59785616,"('dominated', 'dominating')",0.52210444,0.6026969,-0.8944167,-0.9759284,0.2227685,0.0748749,0.1478936
79,-0.95471793,-0.8654342,"('wavering', 'unwavering')",-1.1212193,-1.3294271,-0.15950993,-0.18683764,-0.7451491,-0.7938997,0.0487506
78,-0.9201573,-1.1394085,"('nonresilient', 'resilient')",0.17371607,0.03028952,0.5293984,0.40672666,-0.0723476,-0.2341308,0.1617832
86,-0.9181693,-0.96576667,"('uninfluential', 'influential')",-0.14787927,-0.018325731,-0.09500845,-0.10201194,-0.387019,-0.3620348,-0.0249842
31,-0.9147075,-0.58256584,"('evil', 'good')",-1.404855,-1.4524378,-1.5928308,-1.3070226,-1.304131,-1.1140087,-0.1901223
87,0.8946071,0.5955059,"('unsuccessful', 'successful')",0.9889675,0.9338406,0.7200897,0.57315403,0.8678881,0.7008335,0.1670546
62,0.85325366,0.36820903,"('incompetent', 'brilliant')",0.9279402,0.7219111,0.707905,0.3439005,0.8296996,0.4780068,0.3516928
6,-0.8431859,-0.59710073,"('distant', 'open')",-0.97668767,-0.870131,-0.088787615,0.20363,-0.6362204,-0.4212006,-0.2150198
68,-0.82903165,-1.1444465,"('dependent', 'independent')",-0.53328186,-0.61217844,-0.2135572,-0.5285763,-0.5252903,-0.7617338,0.2364435
53,-0.8128424,-0.69655555,"('uncreative', 'creative')",-0.0077881385,0.12774287,0.7371603,0.806548,-0.0278234,0.0792451,-0.1070685
73,0.8026818,0.9740642,"('helpless', 'self-reliant')",0.6536756,0.7480169,-3.4637036,-3.3489323,-0.6691154,-0.5422837,-0.1268317
64,0.77023315,0.87097496,"('shy', 'confident')",0.3489983,0.50126517,-6.0940104,-6.01168,-1.6582597,-1.54648,-0.1117797
9,-0.7521987,-0.4364123,"('unaffectionate', 'caring')",-0.22486962,-0.15868755,0.7014434,0.8286275,-0.091875,0.0778426,-0.1697176
48,-0.738987,-0.82134616,"('unintelligent', 'intelligent')",0.2761222,0.06693794,0.7426839,0.66588885,0.093273,-0.0295065,0.1227795
77,0.7021411,0.5416916,"('unmotivated', 'motivated')",0.39218876,0.39416456,-0.7284509,-0.7660862,0.1219596,0.05659,0.0653696
66,-0.67877465,-0.6592901,"('inactive', 'active')",-0.42435527,-0.37644196,0.7728042,1.1038316,-0.1101086,0.0226999,-0.1328085
28,-0.67822546,-0.6312659,"('disloyal', 'loyal')",-0.09054585,0.057977237,0.77931064,0.81380504,0.0035131,0.0801721,-0.076659
61,0.6677763,0.5758793,"('illogical', 'logical')",-0.62437797,-0.5969895,0.15857323,0.14240138,0.0673238,0.0404304,0.0268934
35,-0.6197585,-0.3921725,"('corrupt', 'incorrupt')",-0.92497545,-0.911206,-0.8192133,-0.4488842,-0.7879825,-0.5840875,-0.203895
33,0.61511683,0.80186236,"('wrong', 'right')",0.24851592,0.3356308,-0.6317033,-0.4532134,0.0773098,0.2280932,-0.1507834
42,0.6102763,0.66123134,"('unreliable', 'reliable')",-0.14167753,-0.041138068,-2.9595087,-2.9017463,-0.8303033,-0.760551,-0.0697523
2,0.58499163,0.75034845,"('unlikable', 'likable')",0.33780426,0.4913313,0.3505485,0.48334688,0.4244481,0.5750089,-0.1505608
34,-0.5540356,-0.5666686,"('mean', 'honorable')",0.4144721,0.31073594,6.393874,6.133953,2.0847702,1.9593401,0.1254301
0,-0.55387574,-0.6665381,"('unsociable', 'sociable')",-0.3555418,-0.24983707,-0.2307426,-0.3141187,-0.3800534,-0.4101646,0.0301112
81,0.5455876,0.34561214,"('submissive', 'aggressive')",1.393371,1.4714695,0.32189894,-0.012014821,0.7536192,0.6016889,0.1519303
88,-0.5349849,-0.48899522,"('low', 'eminent')",0.68509245,0.5796443,0.21301071,0.15013728,0.1210394,0.0802621,0.0407773
82,-0.51770204,-0.8349772,"('poor', 'rich')",0.56624156,0.13329974,6.4613924,5.8947625,2.1699773,1.7310284,0.4389489
13,0.5153624,0.28881577,"('impolite', 'polite')",0.45003703,0.5727768,0.6275867,0.40464884,0.5309954,0.4220804,0.108915
76,0.51095444,0.21708077,"('anxious', 'daring')",0.1633713,0.28985098,0.59640086,0.48486292,0.4235755,0.3305982,0.0929773
69,0.5052256,0.74300224,"('lazy', 'industrious')",1.3726231,1.4403008,-0.41364035,-0.19356008,0.4880694,0.6632477,-0.1751783
16,-0.50520647,-0.49993664,"('unpopular', 'popular')",-0.54370695,-0.7115591,0.6038543,0.5154946,-0.1483531,-0.2320004,0.0836473
37,0.50508744,0.5173237,"('fake', 'genuine')",-0.053319775,0.28577307,0.28512102,0.31601918,0.2456295,0.3730386,-0.1274091
84,0.49035013,0.44463512,"('inferior', 'superior')",0.0009876285,-0.14788696,0.740669,0.78976893,0.4106689,0.3621724,0.0484965
54,-0.4892243,-0.54156756,"('incapable', 'capable')",0.010203786,-0.11005039,0.7896314,0.7857721,0.103537,0.044718,0.058819
30,0.4620114,0.4535939,"('intolerant', 'tolerant')",1.4673662,1.5962704,1.4785503,1.4544241,1.135976,1.1680961,-0.0321201
29,0.45792276,0.19916287,"('unfair', 'fair')",-1.2179419,-1.3502922,-0.92553526,-0.85718215,-0.5618515,-0.6694372,0.1075857
85,-0.44320554,-0.05049327,"('insignificant', 'prestigious')",-0.43149698,-0.4108966,-0.20793882,0.26063097,-0.3608805,-0.0669196,-0.2939609
27,-0.43974832,-0.21338362,"('hardhearted', 'softhearted')",-0.24293502,-0.061377417,1.1696646,1.3457,0.1623271,0.3569797,-0.1946526
75,0.41696143,0.44146162,"('meek', 'impulsive')",-0.095561534,-0.25886205,-0.26504222,-0.24035333,0.0187859,-0.0192513,0.0380372
49,-0.3972475,-0.658301,"('unable', 'able')",0.23954272,0.21817559,0.015832702,-0.17083855,-0.0472907,-0.2036546,0.1563639
83,-0.39053717,-0.41883975,"('powerless', 'powerful')",0.02547207,0.09424113,-1.1477615,-1.1741482,-0.5042755,-0.4995823,-0.0046932
17,-0.3638682,-0.41228974,"('nasty', 'nice')",-0.6348538,-0.5611846,-0.5266879,-0.42898875,-0.50847,-0.4674877,-0.0409823
