,western_male,western_female,tuple,union_male,union_female,co_male,co_female,average_male,average_female,male-female
35,-2.159071,-2.340274,"('corrupt', 'incorrupt')",-0.5823948,-1.1712562,-1.3480704,-1.160184,-1.3631787,-1.5572381,0.1940594
31,-2.0006335,-2.0594573,"('evil', 'good')",-0.19771397,-0.6685368,-1.534595,-1.5307751,-1.2443142,-1.4195897,0.1752755
6,-1.9818196,-1.7800494,"('distant', 'open')",0.19378358,-0.09536352,-1.0062866,-0.6982492,-0.9314409,-0.8578874,-0.0735535
36,-1.9196479,-2.0678477,"('hostile', 'amicable')",0.19520617,-0.5115631,-0.80977565,-0.87822163,-0.8447391,-1.1525442,0.3078051
85,-1.8218862,-1.6118937,"('insignificant', 'prestigious')",-0.8677656,-1.3248535,-1.801628,-1.4496008,-1.4970932,-1.4621159,-0.0349773
5,-1.7470597,-1.5702046,"('distant', 'outgoing')",0.049697712,-0.31443304,-1.204907,-0.8380254,-0.967423,-0.9075543,-0.0598687
14,1.663828,1.7009894,"('antisocial', 'social')",1.2562549,1.4708436,0.23744386,-0.16410783,1.052509,1.0025751,0.0499339
56,1.5862486,2.324531,"('impractical', 'practical')",1.400124,2.2772632,0.3276244,0.5932606,1.1046656,1.731685,-0.6270194
39,1.5829682,1.7002159,"('exploitative', 'cooperative')",0.24206293,0.4292761,0.6045459,0.7385469,0.809859,0.956013,-0.146154
80,1.581977,1.3983978,"('dominated', 'dominating')",0.5756655,0.57303244,-0.27266964,-0.39233518,0.6283242,0.526365,0.1019592
42,1.5341839,1.4866611,"('unreliable', 'reliable')",0.29571372,0.53367865,-2.3524954,-2.42273,-0.1741993,-0.1341301,-0.0400692
16,-1.5169685,-1.7292202,"('unpopular', 'popular')",-0.96394587,-1.1453098,-0.29071742,-0.1778642,-0.9238772,-1.0174646,0.0935874
8,-1.4372164,-1.1414322,"('unaffectionate', 'affectionate')",-0.7415779,-0.8468143,0.4657358,0.41324136,-0.5710195,-0.5250017,-0.0460178
81,1.2643362,1.1540297,"('submissive', 'aggressive')",-0.26507598,0.042629454,0.26163346,-0.075842395,0.4202979,0.3736056,0.0466923
62,1.2510681,1.7208619,"('incompetent', 'brilliant')",-0.4334902,0.3609888,-0.03724943,0.47739795,0.2601095,0.8530829,-0.5929734
21,1.1932685,1.35864,"('immoral', 'moral')",-0.30951858,0.17628375,-0.54851526,-0.46324006,0.1117449,0.3572279,-0.245483
23,1.1857988,1.523957,"('insincere', 'sincere')",-0.30005202,0.32342654,6.0794606,6.3041596,2.3217357,2.7171809,-0.3954452
30,1.1457181,1.4067538,"('intolerant', 'tolerant')",0.26240325,0.69267493,0.83269364,0.9177669,0.7469383,1.0057319,-0.2587936
65,1.1381627,1.2907156,"('insecure', 'secure')",-0.070860274,0.21716768,0.6400806,0.49266925,0.5691277,0.6668509,-0.0977232
70,1.1304383,1.2061876,"('lethargic', 'energetic')",-0.4363579,-0.13635778,0.8210737,0.88717026,0.5050514,0.6523333,-0.1472819
7,1.0760744,1.1555655,"('insensitive', 'sensitive')",-0.24980655,0.18134081,0.7231031,0.32291687,0.516457,0.5532744,-0.0368174
46,1.0655043,1.1323196,"('uncompetitive', 'competitive')",-0.103819825,0.13724169,-0.24172923,-0.5129513,0.2399851,0.2522033,-0.0122182
76,1.048689,1.2956687,"('anxious', 'daring')",-0.8852335,-0.49112958,0.6443145,0.67788464,0.2692567,0.4941413,-0.2248846
51,1.0322975,0.58894753,"('uneducated', 'educated')",-0.34509313,-0.3951625,0.89908594,0.64131045,0.5287635,0.2783652,0.2503983
52,-1.012001,-1.0441889,"('irrational', 'rational')",-0.016539194,-0.4103062,-0.7622548,-0.6511276,-0.5969317,-0.7018743,0.1049426
27,-0.9964155,-1.1367719,"('hardhearted', 'softhearted')",-0.71582603,-0.83007014,0.6305678,0.5307997,-0.3605579,-0.4786808,0.1181229
2,0.96226686,1.4521621,"('unlikable', 'likable')",0.4880957,0.93559927,0.34718624,0.7921764,0.5991829,1.0599793,-0.4607964
25,-0.94331634,-1.0487974,"('egoistic', 'altruistic')",-0.23346424,-0.51229817,0.7157763,0.7341372,-0.1536681,-0.2756528,0.1219847
63,0.93988764,1.0513119,"('unperceptive', 'insightful')",-0.36206466,0.10651546,0.49157134,0.41361344,0.3564648,0.5238136,-0.1673488
77,-0.9386171,-1.1531147,"('unmotivated', 'motivated')",-1.4457127,-1.3159736,-1.3424811,-1.3030472,-1.2422703,-1.2573785,0.0151082
58,0.90374815,0.98041385,"('undiscriminating', 'discriminating')",0.036124445,-0.064626455,0.22407697,-0.051699854,0.3879832,0.2880292,0.099954
67,0.897485,0.811865,"('doubtful', 'determined')",1.68511,1.6744573,0.40199915,0.053013086,0.9948647,0.8464452,0.1484195
83,0.8956814,0.9432056,"('powerless', 'powerful')",-0.025996234,0.14220089,-1.1172895,-1.0382442,-0.0825348,0.0157208,-0.0982556
37,0.8942991,0.975286,"('fake', 'genuine')",-0.1935646,-0.07475415,0.5408764,0.42745245,0.4138703,0.4426614,-0.0287911
26,0.8876142,0.730911,"('hardhearted', 'benevolent')",2.3841093,1.9090989,1.9110942,1.4350785,1.7276058,1.3583628,0.369243
18,-0.8837114,-0.8509507,"('disagreeable', 'welcoming')",-0.7584837,-0.93719524,-1.0682964,-1.158922,-0.9034972,-0.982356,0.0788588
19,-0.86771077,-0.7684611,"('inhospitable', 'hospitable')",-0.35643816,-0.42056528,-0.67931634,-0.34350684,-0.6344884,-0.5108444,-0.123644
15,0.82401794,0.7857958,"('boring', 'funny')",0.9890667,0.9050489,0.6537565,0.885023,0.8222804,0.8586226,-0.0363422
4,-0.7336406,-0.7643466,"('disliked', 'liked')",0.33684003,0.059259597,-6.9044733,-7.03883,-2.4337579,-2.5813057,0.1475478
45,0.73105955,0.85271835,"('incompetent', 'competent')",0.47809315,0.6478688,0.09509658,-0.09981495,0.4347498,0.4669241,-0.0321743
60,0.7253496,1.2632124,"('inefficient', 'efficient')",-0.84983975,-0.023546085,0.18398687,0.4091057,0.0198322,0.5495907,-0.5297585
49,-0.713849,-0.38844472,"('unable', 'able')",-0.5721923,-0.2946519,-0.9960236,-0.45786777,-0.7606883,-0.3803215,-0.3803668
11,0.706103,1.0186111,"('unhelpful', 'helpful')",-0.3494601,0.21352173,2.728298,2.9188805,1.0283136,1.3836711,-0.3553575
43,0.69889426,1.3021009,"('irresponsible', 'responsible')",-0.10909877,0.6743022,1.0125024,1.1417791,0.5340993,1.0393941,-0.5052948
41,0.68524295,0.6645303,"('unforgiving', 'forgiving')",-0.025730902,-0.27440497,0.78990686,0.49576885,0.4831396,0.2952981,0.1878415
40,0.68097115,0.19200727,"('stingy', 'generous')",0.3334857,-0.12991393,-2.1900036,-2.7149584,-0.3918489,-0.8842884,0.4924395
79,-0.6528643,-0.74566597,"('wavering', 'unwavering')",0.5093607,0.3093641,-0.49854618,-0.43896246,-0.2140166,-0.2917548,0.0777382
10,0.65101355,0.8847477,"('unsympathetic', 'sympathetic')",-1.2011075,-0.5517678,0.82388735,0.5328169,0.0912645,0.2885989,-0.1973344
1,-0.64075893,-0.19633934,"('unfriendly', 'friendly')",-0.65025437,-0.5394057,1.4007448,1.386726,0.0365772,0.2169936,-0.1804164
22,0.637891,0.7658974,"('untrustworthy', 'trustworthy')",-0.4128424,-0.18333045,-0.5124938,-0.45444798,-0.0958151,0.0427063,-0.1385214
84,0.5799613,0.535734,"('inferior', 'superior')",0.2091129,-0.008259328,0.025241952,0.09083466,0.2714387,0.2061031,0.0653356
72,0.5750518,0.63679516,"('unambitious', 'ambitious')",-0.12651266,0.10985634,-0.20777437,-0.11491367,0.0802549,0.2105793,-0.1303244
3,0.5682824,0.19757356,"('repellent', 'pleasant')",-0.4116221,-0.2621299,0.6039231,0.47880408,0.2535278,0.1380826,0.1154452
74,0.5583791,0.8147817,"('undedicated', 'dedicated')",0.651441,0.89126617,0.4728967,0.37877893,0.5609056,0.6949423,-0.1340367
17,-0.53174406,-0.6100848,"('nasty', 'nice')",0.08881105,0.1298713,-0.216677,-0.14692782,-0.21987,-0.2090471,-0.0108229
50,-0.53105104,-0.66038406,"('clumsy', 'skillful')",-1.0917122,-1.151282,-0.201653,-0.19072956,-0.6081388,-0.6674652,0.0593264
69,-0.52342105,-0.6701512,"('lazy', 'industrious')",0.9344894,0.686859,-1.5677387,-1.4897724,-0.3855568,-0.4910216,0.1054648
78,-0.50929224,-0.7535517,"('nonresilient', 'resilient')",-0.74701047,-0.7690077,-0.089472696,-0.07132606,-0.4485918,-0.5312951,0.0827033
53,-0.49674937,-0.27860144,"('uncreative', 'creative')",-2.469136,-2.3075767,0.54894614,0.6216411,-0.8056464,-0.6548456,-0.1508008
75,-0.46628842,-0.47124526,"('meek', 'impulsive')",-0.35787728,-0.45545706,-0.8801568,-0.5654368,-0.5681075,-0.4973797,-0.0707278
55,0.44903857,0.61718935,"('incompetent', 'clever')",-1.6739883,-1.2157608,0.5007163,0.299405,-0.2414112,-0.0997222,-0.141689
47,0.43249306,0.85857856,"('stupid', 'smart')",0.0031957417,0.39343578,5.3571405,5.538779,1.9309432,2.2635978,-0.3326546
12,0.41203845,0.5323943,"('unsupportive', 'supportive')",-0.40016422,-0.26081112,-1.662864,-1.8940699,-0.5503299,-0.5408289,-0.009501
24,0.3835591,0.7849904,"('dishonest', 'honest')",-0.25032076,0.19090793,1.1993169,1.3163496,0.4441851,0.7640826,-0.3198975
54,-0.3601645,-0.2157443,"('incapable', 'capable')",-0.511859,-0.35729146,0.4145224,0.7191559,-0.1525004,0.0487067,-0.2012071
29,0.35373354,0.36152956,"('unfair', 'fair')",-0.7316043,-0.9100634,-0.5685309,-0.6398906,-0.3154672,-0.3961414,0.0806742
