,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.8243673,-2.8630705,"('unsympathetic', 'sympathetic')",0.03915105,-0.18571047,-0.5171193,-0.4682776,-1.1007786,-1.1723529,0.0715743
69,2.7934446,2.7817895,"('lazy', 'industrious')",0.19678813,0.23009908,-0.18757734,-0.34842938,0.9342185,0.8878197,0.0463988
0,-2.4047494,-2.4946601,"('unsociable', 'sociable')",-0.3208841,-0.48194653,-0.7133157,-0.67042166,-1.1463164,-1.2156761,0.0693597
45,-2.3546264,-2.6256077,"('incompetent', 'competent')",-0.036063716,-0.25468972,-0.64500916,-0.78548896,-1.0118998,-1.2219288,0.210029
55,-2.3515027,-2.414632,"('incompetent', 'clever')",0.5167781,0.40093568,-0.12806535,0.020030662,-0.6542633,-0.6645553,0.010292
85,2.3406665,2.4736195,"('insignificant', 'prestigious')",-0.40839356,-0.28357518,0.83082753,0.80522674,0.9210335,0.9984237,-0.0773902
35,2.2481942,2.4153674,"('corrupt', 'incorrupt')",-1.6183943,-1.4515249,0.05982444,0.03925346,0.2298748,0.3343653,-0.1044905
36,2.1816385,2.2059634,"('hostile', 'amicable')",-1.3002108,-1.1315392,0.60480016,0.49917927,0.4954093,0.5245345,-0.0291252
43,-2.1617706,-2.3644412,"('irresponsible', 'responsible')",0.7175895,0.37678403,0.06644807,-0.030067496,-0.4592443,-0.6725748,0.2133305
76,-2.006111,-1.9866978,"('anxious', 'daring')",0.6587325,0.49484232,-0.19636881,0.049750127,-0.5145824,-0.4807018,-0.0338806
13,-2.0003443,-2.0535598,"('impolite', 'polite')",0.11503418,0.041690886,-0.47341567,-0.37318617,-0.7862419,-0.7950184,0.0087765
81,-1.9989887,-1.8743066,"('submissive', 'aggressive')",1.2471203,1.1673881,-0.859434,-0.67254055,-0.5371008,-0.4598197,-0.0772811
14,-1.9616443,-1.9579229,"('antisocial', 'social')",1.352702,1.4037389,-1.1828035,-0.9003687,-0.5972486,-0.4848509,-0.1123977
57,-1.9280286,-2.1693254,"('unimaginative', 'imaginative')",-0.37893128,-0.80180836,-2.399557,-2.5650666,-1.5688391,-1.8454002,0.2765611
62,-1.8892406,-1.9927174,"('incompetent', 'brilliant')",0.91672933,0.7364724,-0.28249052,-0.31966785,-0.4183339,-0.5253042,0.1069703
33,1.8705889,1.690077,"('wrong', 'right')",0.73845905,0.6398043,-0.17494941,-0.379371,0.8113662,0.6501701,0.1611961
70,-1.8163592,-2.0585656,"('lethargic', 'energetic')",0.48090887,0.09991036,0.26214936,0.2542482,-0.357767,-0.5681357,0.2103687
30,-1.8161694,-1.8741908,"('intolerant', 'tolerant')",1.256967,1.2516726,0.7811205,0.9546691,0.0739727,0.110717,-0.0367443
79,1.6755407,1.6877779,"('wavering', 'unwavering')",-0.87174684,-0.8751714,0.1690397,0.05962976,0.3242778,0.2907454,0.0335324
46,-1.6699908,-1.7246349,"('uncompetitive', 'competitive')",1.144595,0.9155098,-0.82396567,-0.6363476,-0.4497871,-0.4818242,0.0320371
23,-1.6591339,-1.6407032,"('insincere', 'sincere')",0.5364035,0.49452,5.019349,4.9651146,1.2988729,1.2729771,0.0258958
31,1.6350733,1.520667,"('evil', 'good')",-0.9783822,-0.9807046,-0.8947242,-1.0986394,-0.0793444,-0.1862257,0.1068813
7,-1.5731274,-1.5419657,"('insensitive', 'sensitive')",0.12168311,-0.0031219441,0.4014108,0.36959034,-0.3500112,-0.3918324,0.0418212
56,-1.5400119,-1.6816835,"('impractical', 'practical')",1.2284012,1.0535316,-0.42526975,-0.37362188,-0.2456268,-0.3339246,0.0882978
28,-1.5207319,-1.355974,"('disloyal', 'loyal')",-0.7932945,-0.6576424,1.0368915,1.2842209,-0.4257116,-0.2431318,-0.1825798
60,-1.5047479,-1.6263834,"('inefficient', 'efficient')",2.2627988,2.1112318,-0.15700755,-0.031655684,0.2003478,0.1510642,0.0492836
86,-1.4931453,-1.5845523,"('uninfluential', 'influential')",0.7443019,0.5643097,-0.008226477,-0.078526676,-0.2523566,-0.3662564,0.1138998
21,-1.4917134,-1.458849,"('immoral', 'moral')",1.2222857,1.2083397,-0.9124663,-0.76801986,-0.3939646,-0.3395097,-0.0544549
72,-1.3977517,-1.5004866,"('unambitious', 'ambitious')",0.17312557,0.00011561066,-0.9879602,-1.0439969,-0.7375288,-0.8481226,0.1105938
73,1.3829633,1.289481,"('helpless', 'self-reliant')",0.6543494,0.42483827,-2.94913,-3.0895386,-0.3039391,-0.4584064,0.1544673
24,-1.3054686,-1.3166443,"('dishonest', 'honest')",0.44134092,0.3909791,0.55336314,0.6195604,-0.1035882,-0.1020349,-0.0015533
51,-1.2781523,-1.3877724,"('uneducated', 'educated')",0.3879502,0.16777334,0.52773416,0.5775687,-0.1208227,-0.2141435,0.0933208
59,1.2677224,1.2857552,"('foolish', 'wise')",-0.08242582,-0.11226952,0.5163093,0.29430312,0.5672019,0.4892629,0.077939
65,-1.2600367,-1.2918415,"('insecure', 'secure')",0.40206984,0.34633827,-0.47442693,-0.5785992,-0.4441313,-0.5080341,0.0639028
41,-1.2555252,-1.3416553,"('unforgiving', 'forgiving')",-0.41628334,-0.50074637,0.27611774,0.44794714,-0.4652303,-0.4648182,-0.0004121
22,-1.2525327,-1.4790003,"('untrustworthy', 'trustworthy')",0.46985883,0.094696656,-1.057305,-1.293112,-0.6133263,-0.8924719,0.2791456
6,1.1786284,1.098797,"('distant', 'open')",-1.2468998,-1.3212836,0.31310704,0.17659074,0.0816119,-0.0152986,0.0969105
5,1.176445,1.0774505,"('distant', 'outgoing')",-0.67132,-0.79645646,-0.37826002,-0.53949857,0.0422883,-0.0861682,0.1284565
11,-1.1562654,-1.1271918,"('unhelpful', 'helpful')",0.9086182,0.85773146,1.6977367,1.6830235,0.4833632,0.4711877,0.0121755
50,1.1279956,1.307514,"('clumsy', 'skillful')",-0.1276691,-0.139977,0.110629246,0.0464745,0.3703186,0.4046705,-0.0343519
37,-1.1096025,-1.1372125,"('fake', 'genuine')",0.082056545,-0.07195961,0.13696635,0.05911395,-0.2968599,-0.3833527,0.0864928
48,-1.0883499,-1.0526276,"('unintelligent', 'intelligent')",0.49909312,0.46032706,0.55227035,0.5125853,-0.0123288,-0.0265718,0.014243
82,-1.0802785,-0.9080664,"('poor', 'rich')",1.0539083,1.1474903,5.419526,5.513743,1.7977187,1.9177222,-0.1200035
47,-0.9873459,-1.0163541,"('stupid', 'smart')",0.75267476,0.7200134,5.179815,5.040955,1.6483812,1.5815382,0.066843
75,0.9478369,0.996433,"('meek', 'impulsive')",-0.5328671,-0.59175575,-0.35857058,-0.4349702,0.0187997,-0.0100976,0.0288973
80,-0.8962956,-0.91275156,"('dominated', 'dominating')",0.5121272,0.47399786,-1.0160218,-1.054553,-0.4667301,-0.4977689,0.0310388
58,-0.8570663,-1.063477,"('undiscriminating', 'discriminating')",1.5167907,1.2421558,-0.09375871,-0.2725484,0.1886553,-0.0312899,0.2199452
19,0.8433659,0.9015645,"('inhospitable', 'hospitable')",-0.52898985,-0.45073587,-0.18199012,-0.21200185,0.0441286,0.0796089,-0.0354803
63,-0.8297335,-0.98716927,"('unperceptive', 'insightful')",1.0075053,0.66129464,0.70716506,0.555908,0.294979,0.0766778,0.2183012
25,0.78137696,0.8911513,"('egoistic', 'altruistic')",0.3665933,0.46796682,1.8943552,1.7842933,1.0141085,1.0478038,-0.0336953
4,0.7533618,0.56030434,"('disliked', 'liked')",-1.097242,-1.268262,-6.0013165,-5.93699,-2.1150656,-2.2149825,0.0999169
