,broadcom_male,broadcom_female,tuple,corp_male,corp_female,average_male,average_female,male-female
0,-1.73022,-1.4604007,"('unsociable', 'sociable')",-0.2267261,-0.06851452,-0.978473,-0.7644576,-0.2140154
43,-1.4637607,-1.3754662,"('irresponsible', 'responsible')",-0.028320435,0.20462485,-0.7460406,-0.5854207,-0.1606199
8,-1.313602,-1.2415941,"('unaffectionate', 'affectionate')",0.5573157,0.5493986,-0.3781431,-0.3460977,-0.0320454
10,-1.304788,-1.3816572,"('unsympathetic', 'sympathetic')",-0.5465374,-0.33514073,-0.9256627,-0.858399,-0.0672637
39,1.285226,1.5891833,"('exploitative', 'cooperative')",0.0791609,0.3126799,0.6821935,0.9509316,-0.2687381
73,1.1203233,1.0407643,"('helpless', 'self-reliant')",-3.005946,-3.388799,-0.9428113,-1.1740173,0.231206
1,-1.0438931,-0.8475004,"('unfriendly', 'friendly')",1.4700894,1.5038428,0.2130982,0.3281712,-0.115073
19,-1.0088942,-0.6951849,"('inhospitable', 'hospitable')",-0.6597874,-0.64090747,-0.8343408,-0.6680462,-0.1662946
86,-0.9709918,-0.9299872,"('uninfluential', 'influential')",-0.41921717,-0.39550382,-0.6951045,-0.6627455,-0.032359
13,-0.9696803,-0.5513612,"('impolite', 'polite')",-0.568004,-0.42611596,-0.7688422,-0.4887386,-0.2801036
57,-0.96595806,-1.0559603,"('unimaginative', 'imaginative')",-2.9955008,-3.0471838,-1.9807295,-2.0515721,0.0708426
38,-0.9468454,-1.0532978,"('untruthful', 'truthful')",0.24601808,-0.0048870035,-0.3504137,-0.5290924,0.1786787
53,-0.92242825,-0.9628463,"('uncreative', 'creative')",0.6711173,0.6707548,-0.1256555,-0.1460457,0.0203902
32,-0.92097,-0.63158846,"('unkind', 'kind')",0.57457185,0.8985298,-0.1731991,0.1334707,-0.3066698
41,-0.8803565,-0.7508543,"('unforgiving', 'forgiving')",-0.13914561,-0.0065706223,-0.5097511,-0.3787125,-0.1310386
63,-0.8576664,-1.0618222,"('unperceptive', 'insightful')",0.800414,0.7419787,-0.0286262,-0.1599217,0.1312955
54,-0.79936206,-0.751139,"('incapable', 'capable')",0.71870375,0.70520324,-0.0403292,-0.0229679,-0.0173613
9,-0.7433789,-0.7232468,"('unaffectionate', 'caring')",1.3362226,1.2546812,0.2964219,0.2657172,0.0307047
55,-0.7330482,-0.7539699,"('incompetent', 'clever')",0.11649407,0.30730477,-0.3082771,-0.2233326,-0.0849445
7,-0.7320396,-0.83952636,"('insensitive', 'sensitive')",-0.009825537,0.09054338,-0.3709325,-0.3744915,0.003559
11,-0.7113478,-0.8865307,"('unhelpful', 'helpful')",2.0641274,2.0111284,0.6763898,0.5622989,0.1140909
36,-0.709785,-0.6288088,"('hostile', 'amicable')",-0.31518722,-0.34389782,-0.5124861,-0.4863533,-0.0261328
46,-0.69540685,-1.02074,"('uncompetitive', 'competitive')",-0.87157774,-0.851007,-0.7834923,-0.9358735,0.1523812
70,-0.6838003,-0.86527807,"('lethargic', 'energetic')",0.0042968094,0.06017054,-0.3397517,-0.4025538,0.0628021
18,-0.67031807,-0.4568431,"('disagreeable', 'welcoming')",-0.67047596,-0.6366402,-0.670397,-0.5467417,-0.1236553
69,0.66721267,0.6673386,"('lazy', 'industrious')",-0.7129577,-0.87711906,-0.0228725,-0.1048902,0.0820177
72,-0.65953606,-0.62353706,"('unambitious', 'ambitious')",-0.10654919,-0.15707058,-0.3830426,-0.3903038,0.0072612
27,-0.63397604,-0.54607594,"('hardhearted', 'softhearted')",0.84506845,0.7294842,0.1055462,0.0917041,0.0138421
6,-0.6319952,-0.3547249,"('distant', 'open')",-0.38010523,-0.54584616,-0.5060502,-0.4502856,-0.0557646
88,-0.63157755,-0.38982913,"('low', 'eminent')",-0.38029784,-0.31857592,-0.5059377,-0.3542025,-0.1517352
45,-0.62465966,-0.8527731,"('incompetent', 'competent')",-0.18277603,-0.17223074,-0.4037178,-0.5125019,0.1087841
17,-0.616046,-0.44407722,"('nasty', 'nice')",-0.73558134,-0.64740044,-0.6758137,-0.5457388,-0.1300749
84,0.6055323,0.5403082,"('inferior', 'superior')",1.0378878,1.0186001,0.8217101,0.7794541,0.042256
62,0.6049734,0.43330085,"('incompetent', 'brilliant')",0.918976,0.8050858,0.7619747,0.6191933,0.1427814
23,-0.5865847,-0.7752609,"('insincere', 'sincere')",5.7739997,5.9360356,2.5937076,2.5803874,0.0133202
12,-0.55424774,-0.8296921,"('unsupportive', 'supportive')",-1.8822327,-2.004862,-1.2182403,-1.4172771,0.1990368
56,0.52604294,0.46800128,"('impractical', 'practical')",-0.15475707,-0.2116412,0.1856429,0.12818,0.0574629
82,-0.52124965,-0.51301795,"('poor', 'rich')",6.3140106,6.490129,2.8963804,2.9885554,-0.092175
78,-0.52115315,-0.8849244,"('nonresilient', 'resilient')",0.2579167,0.1207561,-0.1316182,-0.3820842,0.250466
35,0.49566522,0.5360702,"('corrupt', 'incorrupt')",-0.50573444,-0.5724717,-0.0050346,-0.0182007,0.0131661
5,-0.4792928,-0.26915497,"('distant', 'outgoing')",-0.25651354,-0.49173543,-0.3679032,-0.3804452,0.012542
51,-0.4637331,-0.4451553,"('uneducated', 'educated')",0.41509852,0.51912624,-0.0243173,0.0369855,-0.0613028
40,0.45070344,0.17834353,"('stingy', 'generous')",-1.563163,-1.8384064,-0.5562298,-0.8300315,0.2738017
66,-0.44469255,-0.3531165,"('inactive', 'active')",0.022354987,0.07287393,-0.2111688,-0.1401213,-0.0710475
29,0.39290708,0.34504053,"('unfair', 'fair')",-0.35157916,-0.35409802,0.020664,-0.0045287,0.0251927
83,0.3912986,0.4807142,"('powerless', 'powerful')",-0.7494128,-0.7436238,-0.1790571,-0.1314548,-0.0476023
80,0.3782617,0.106638476,"('dominated', 'dominating')",-0.6876573,-0.79716504,-0.1546978,-0.3452633,0.1905655
26,-0.37541085,-0.16520457,"('hardhearted', 'benevolent')",1.2123812,1.5867015,0.4184852,0.7107485,-0.2922633
68,0.36704776,0.27595973,"('dependent', 'independent')",-0.4315467,-0.610651,-0.0322495,-0.1673456,0.1350961
49,-0.3621968,-0.5521712,"('unable', 'able')",-0.15848896,-0.19166246,-0.2603429,-0.3719168,0.1115739
24,-0.36085883,-0.16465159,"('dishonest', 'honest')",0.8608496,0.9145401,0.2499954,0.3749443,-0.1249489
16,-0.3598181,-0.3992686,"('unpopular', 'popular')",0.1795508,0.2158351,-0.0901337,-0.0917168,0.0015831
50,-0.35627478,-0.47630635,"('clumsy', 'skillful')",-0.11957585,-0.07058342,-0.2379253,-0.2734449,0.0355196
52,-0.3460919,-0.14095712,"('irrational', 'rational')",0.22663622,0.05901172,-0.0597278,-0.0409727,-0.0187551
47,-0.34275943,-0.28778568,"('stupid', 'smart')",5.3342934,5.513498,2.4957669,2.6128561,-0.1170892
44,0.33103377,0.36862254,"('prejudiced', 'unprejudiced')",-1.5703151,-1.5813724,-0.6196407,-0.6063749,-0.0132658
15,-0.32398453,-0.10553272,"('boring', 'funny')",-0.24703397,-0.14170966,-0.2855093,-0.1236212,-0.1618881
67,0.30288193,0.45067438,"('doubtful', 'determined')",-0.616606,-0.5234051,-0.156862,-0.0363653,-0.1204967
33,0.29693812,0.51496804,"('wrong', 'right')",-0.49984527,-0.677249,-0.1014536,-0.0811405,-0.0203131
65,-0.29334733,-0.146963,"('insecure', 'secure')",-0.32156417,-0.11914873,-0.3074557,-0.1330559,-0.1743998
20,0.28367263,0.21682781,"('rough', 'thoughtful')",0.88349247,1.006751,0.5835825,0.6117893,-0.0282068
87,0.27442753,0.29173452,"('unsuccessful', 'successful')",0.85182035,0.9070392,0.5631239,0.5993869,-0.036263
22,-0.25627455,-0.32555026,"('untrustworthy', 'trustworthy')",-1.0016718,-0.9178172,-0.6289732,-0.6216837,-0.0072895
28,-0.25540122,-0.3794529,"('disloyal', 'loyal')",1.1890671,1.29545,0.4668329,0.4579985,0.0088344
14,0.237901,0.39765507,"('antisocial', 'social')",-0.5983698,-0.30901632,-0.1802344,0.0443194,-0.2245538
34,-0.23719178,-0.3786676,"('mean', 'honorable')",5.747699,5.6961894,2.7552536,2.658761,0.0964926
74,-0.20409098,-0.29467177,"('undedicated', 'dedicated')",-0.5852588,-0.49967664,-0.3946749,-0.3971742,0.0024993
4,-0.18694611,-0.3216588,"('disliked', 'liked')",-6.4139724,-6.86196,-3.3004591,-3.5918093,0.2913502
30,-0.1836868,0.09397894,"('intolerant', 'tolerant')",0.3055368,0.497053,0.060925,0.295516,-0.234591
71,0.17543465,0.18793693,"('diffident', 'self-confident')",0.44559738,0.39380094,0.310516,0.2908689,0.0196471
2,0.16470924,0.22941439,"('unlikable', 'likable')",0.53223985,0.60398746,0.3484746,0.4167009,-0.0682263
85,0.14583568,0.19613436,"('insignificant', 'prestigious')",-0.3865477,-0.48024756,-0.120356,-0.1420566,0.0217006
21,-0.13772878,-0.22138129,"('immoral', 'moral')",-0.6640642,-0.49982762,-0.4008965,-0.3606045,-0.040292
37,0.11526651,-0.1019966,"('fake', 'genuine')",0.23739862,0.15834177,0.1763326,0.0281726,0.14816
