,adobe_male,adobe_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,2.8069177,2.4708555,"('uncreative', 'creative')",0.9629695,0.8866571,1.8849436,1.6787562,0.2061874
64,-2.695057,-2.6304872,"('shy', 'confident')",-6.4673223,-6.532783,-4.5811896,-4.581635,0.0004454
80,-2.6754484,-2.4890506,"('dominated', 'dominating')",-1.9977826,-1.8248265,-2.3366156,-2.1569386,-0.179677
1,2.6425185,2.4221702,"('unfriendly', 'friendly')",1.8942769,1.8764427,2.2683978,2.1493063,0.1190915
6,2.2490187,1.9243511,"('distant', 'open')",0.28470725,0.17959908,1.266863,1.0519751,0.2148879
26,2.203355,2.073705,"('hardhearted', 'benevolent')",1.177951,1.052112,1.6906531,1.5629084,0.1277447
5,2.1017172,1.6966002,"('distant', 'outgoing')",0.25015008,0.10022268,1.1759336,0.8984115,0.2775221
85,2.0760105,1.8555138,"('insignificant', 'prestigious')",1.0320001,0.87629235,1.5540053,1.3659031,0.1881022
45,-1.9877292,-1.6100528,"('incompetent', 'competent')",-1.3054457,-0.9492451,-1.6465874,-1.279649,-0.3669384
44,-1.9589732,-1.8856902,"('prejudiced', 'unprejudiced')",-1.4419005,-1.5091454,-1.7004368,-1.6974177,-0.0030191
13,-1.9534451,-1.8158829,"('impolite', 'polite')",-0.9264168,-0.9196588,-1.4399309,-1.3677709,-0.07216
81,-1.9442767,-1.9497592,"('submissive', 'aggressive')",-1.4368925,-1.4365168,-1.6905847,-1.693138,0.0025533
9,1.7586309,1.6655421,"('unaffectionate', 'caring')",0.736407,0.8319142,1.2475189,1.2487282,-0.0012093
54,1.729097,1.581898,"('incapable', 'capable')",1.3830376,1.3608246,1.5560672,1.4713613,0.0847059
65,-1.691659,-1.7422547,"('insecure', 'secure')",-0.66107863,-0.77884084,-1.1763688,-1.2605478,0.084179
42,-1.6179326,-1.4441423,"('unreliable', 'reliable')",-3.7011247,-3.640693,-2.6595287,-2.5424175,-0.1171112
14,-1.5887309,-1.4768126,"('antisocial', 'social')",-1.1280248,-1.1324527,-1.3583779,-1.3046327,-0.0537452
10,-1.5688224,-1.2386779,"('unsympathetic', 'sympathetic')",-0.8036832,-0.6809533,-1.1862528,-0.9598156,-0.2264372
34,1.5663086,1.5054147,"('mean', 'honorable')",6.595618,6.539647,4.0809631,4.022531,0.0584321
70,-1.4252115,-1.2008871,"('lethargic', 'energetic')",0.15419923,0.2904468,-0.6355062,-0.4552202,-0.180286
15,1.4233568,1.4351755,"('boring', 'funny')",0.32136345,0.39135396,0.8723601,0.9132648,-0.0409047
51,-1.3812732,-1.4162962,"('uneducated', 'educated')",0.9255269,0.8565743,-0.2278731,-0.279861,0.0519879
23,1.2928674,1.4334201,"('insincere', 'sincere')",6.042382,6.149741,3.6676245,3.7915807,-0.1239562
55,-1.2848054,-1.2005485,"('incompetent', 'clever')",-0.39059216,-0.21447255,-0.8376988,-0.7075105,-0.1301883
4,-1.2628353,-1.187858,"('disliked', 'liked')",-6.4678636,-6.4061227,-3.8653493,-3.7969904,-0.0683589
39,1.2384552,1.1577959,"('exploitative', 'cooperative')",0.4021972,0.20514786,0.8203262,0.6814719,0.1388543
33,1.2068784,1.0870425,"('wrong', 'right')",-0.43523315,-0.52790576,0.3858227,0.2795683,0.1062544
