,el_male,el_female,tuple,paso_male,paso_female,corp_male,corp_female,average_male,average_female,male-female
45,-2.2645257,-2.136368,"('incompetent', 'competent')",-1.161422,-1.079457,-0.31796908,-0.34065053,-1.2479722,-1.1854919,-0.0624803
8,-2.1103451,-2.2615998,"('unaffectionate', 'affectionate')",0.29634967,0.21358502,0.09097934,0.003560217,-0.5743387,-0.6814848,0.1071461
86,-2.0582616,-1.8890535,"('uninfluential', 'influential')",-0.93287134,-0.9646715,-0.4962302,-0.47836763,-1.1624544,-1.1106975,-0.0517569
10,-2.0001163,-1.6510551,"('unsympathetic', 'sympathetic')",-1.1474962,-1.0210131,-0.72562915,-0.737529,-1.2910806,-1.1365324,-0.1545482
28,-1.9689292,-2.0526247,"('disloyal', 'loyal')",0.10133702,0.11187121,0.4131705,0.38748196,-0.4848072,-0.5177572,0.03295
65,-1.810309,-1.647378,"('insecure', 'secure')",-0.6947787,-0.57226396,-0.18627676,-0.15253575,-0.8971215,-0.7907259,-0.1063956
1,-1.7001523,-2.0778403,"('unfriendly', 'friendly')",0.4853296,0.22482443,1.101055,0.8882088,-0.0379225,-0.3216024,0.2836799
55,-1.6315081,-1.2892816,"('incompetent', 'clever')",-0.7059403,-0.5521814,0.27679953,0.36002952,-0.686883,-0.4938112,-0.1930718
14,-1.5206974,-1.2112947,"('antisocial', 'social')",-0.9487194,-0.88172513,-0.021191018,0.009931235,-0.8302026,-0.6943628,-0.1358398
0,-1.4703454,-1.4224625,"('unsociable', 'sociable')",-0.45011318,-0.46880093,-0.39146635,-0.46487197,-0.7706416,-0.7853785,0.0147369
22,-1.4471349,-1.4558402,"('untrustworthy', 'trustworthy')",-0.81489354,-0.7436857,-1.2470225,-1.2222668,-1.1696836,-1.1405975,-0.0290861
47,-1.4297353,-1.232902,"('stupid', 'smart')",-1.5723234,-1.4428157,4.738546,4.716584,0.5788291,0.6802888,-0.1014597
