,verisign_male,verisign_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.0984561,-2.528018,"('uninfluential', 'influential')",0.022418965,-0.4446252,-1.0380186,-1.4863216,0.448303
9,-2.0819561,-1.8635913,"('unaffectionate', 'caring')",0.59987205,0.7573709,-0.741042,-0.5531102,-0.1879318
8,-2.0819035,-1.893777,"('unaffectionate', 'affectionate')",-0.17851011,-0.13755158,-1.1302068,-1.0156643,-0.1145425
10,-1.9336374,-2.231931,"('unsympathetic', 'sympathetic')",-0.05129669,-0.2784925,-0.992467,-1.2552117,0.2627447
12,-1.8722405,-1.8381101,"('unsupportive', 'supportive')",-1.4589744,-1.4590831,-1.6656075,-1.6485965,-0.017011
72,-1.8525424,-1.6052816,"('unambitious', 'ambitious')",-1.2305002,-0.79924077,-1.5415213,-1.2022612,-0.3392601
0,-1.8265765,-2.3668087,"('unsociable', 'sociable')",-0.13650478,-0.7290991,-0.9815406,-1.5479538,0.5664132
69,1.7546442,1.7330177,"('lazy', 'industrious')",-0.40349436,-0.40476626,0.6755749,0.6641257,0.0114492
1,-1.754455,-1.604467,"('unfriendly', 'friendly')",1.2921338,0.94806355,-0.2311606,-0.3282017,0.0970411
43,-1.6996548,-1.932628,"('irresponsible', 'responsible')",0.585873,0.27697626,-0.5568909,-0.8278259,0.270935
41,-1.4155705,-1.4946126,"('unforgiving', 'forgiving')",-0.009172322,-0.29458028,-0.7123714,-0.8945965,0.1822251
28,-1.4036946,-1.3034427,"('disloyal', 'loyal')",0.714975,0.6317376,-0.3443598,-0.3358526,-0.0085072
24,-1.3307675,-1.4433801,"('dishonest', 'honest')",0.49966413,0.6103349,-0.4155517,-0.4165226,0.0009709
45,-1.3119615,-1.5948951,"('incompetent', 'competent')",-0.11675958,-0.30099484,-0.7143605,-0.947945,0.2335845
18,-1.3014013,-1.2466322,"('disagreeable', 'welcoming')",-0.31825665,-0.5765877,-0.8098289,-0.9116099,0.101781
63,-1.2180502,-1.4100516,"('unperceptive', 'insightful')",1.4778458,1.4250867,0.1298978,0.0075176,0.1223802
73,1.176226,1.2926245,"('helpless', 'self-reliant')",-2.9114244,-2.64396,-0.8675992,-0.6756678,-0.1919314
35,1.1706635,1.5848507,"('corrupt', 'incorrupt')",-0.608565,-0.52637374,0.2810493,0.5292385,-0.2481892
55,-1.1634202,-1.434903,"('incompetent', 'clever')",0.58726096,0.2921738,-0.2880796,-0.5713646,0.283285
62,-1.0699079,-0.921936,"('incompetent', 'brilliant')",0.4434677,1.0322245,-0.3132201,0.0551443,-0.3683644
13,-1.0598143,-1.6408954,"('impolite', 'polite')",0.21105509,-0.010189392,-0.4243796,-0.8255424,0.4011628
84,1.0438168,1.0847781,"('inferior', 'superior')",1.0747315,1.0496461,1.0592742,1.0672121,-0.0079379
51,-1.0310645,-1.2023516,"('uneducated', 'educated')",1.171599,0.8224514,0.0702673,-0.1899501,0.2602174
57,-1.0095791,-1.4933046,"('unimaginative', 'imaginative')",-2.150813,-2.6607957,-1.5801961,-2.0770502,0.4968541
44,0.9960071,0.8513024,"('prejudiced', 'unprejudiced')",-1.4905258,-1.5362128,-0.2472594,-0.3424552,0.0951958
23,-0.91298085,-0.85194683,"('insincere', 'sincere')",5.450969,5.59731,2.2689941,2.3726816,-0.1036875
38,-0.87605536,-0.72790205,"('untruthful', 'truthful')",-0.026510617,0.34540325,-0.451283,-0.1912494,-0.2600336
48,-0.8634288,-0.7750477,"('unintelligent', 'intelligent')",1.1893126,1.1139102,0.1629419,0.1694312,-0.0064893
7,-0.8249657,-0.9587559,"('insensitive', 'sensitive')",0.7397926,0.71492016,-0.0425866,-0.1219179,0.0793313
54,-0.81949997,-0.5294335,"('incapable', 'capable')",0.78354686,1.122017,-0.0179766,0.2962918,-0.3142684
52,-0.78718156,-0.6450086,"('irrational', 'rational')",-0.6267692,-0.6522674,-0.7069753,-0.648638,-0.0583373
6,-0.77083045,-0.6711831,"('distant', 'open')",-0.31395808,-0.23675294,-0.5423943,-0.453968,-0.0884263
31,-0.7527148,-0.67903036,"('evil', 'good')",-1.5124862,-1.7763777,-1.1326005,-1.227704,0.0951035
14,-0.72033983,-1.0254116,"('antisocial', 'social')",-0.47422323,-0.61580956,-0.5972815,-0.8206106,0.2233291
3,-0.7192878,-0.89854515,"('repellent', 'pleasant')",0.10324243,0.10688481,-0.3080227,-0.3958302,0.0878075
74,-0.70731705,-0.78885084,"('undedicated', 'dedicated')",6.224029e-05,-0.3243465,-0.3536274,-0.5565987,0.2029713
70,-0.69463676,-0.96954167,"('lethargic', 'energetic')",0.8161563,0.8165822,0.0607598,-0.0764797,0.1372395
32,-0.6670388,-0.7058899,"('unkind', 'kind')",0.7276248,0.5994671,0.030293,-0.0532114,0.0835044
81,-0.6586275,-0.88989025,"('submissive', 'aggressive')",-0.24566479,0.011075012,-0.4521461,-0.4394076,-0.0127385
27,-0.643647,-0.63788724,"('hardhearted', 'softhearted')",1.3143178,0.9633305,0.3353354,0.1627216,0.1726138
75,0.64120394,0.8027491,"('meek', 'impulsive')",-0.7180121,-0.15282647,-0.0384041,0.3249613,-0.3633654
67,0.61283106,0.53605014,"('doubtful', 'determined')",-0.34594327,-0.39414483,0.1334439,0.0709527,0.0624912
11,-0.6016623,-0.7689967,"('unhelpful', 'helpful')",1.9008293,1.9611144,0.6495835,0.5960588,0.0535247
25,-0.57944244,-0.41487145,"('egoistic', 'altruistic')",1.4067001,1.1716189,0.4136288,0.3783737,0.0352551
53,-0.5541005,-0.5344826,"('uncreative', 'creative')",0.86675674,0.6229781,0.1563281,0.0442477,0.1120804
58,-0.55323267,-0.69388956,"('undiscriminating', 'discriminating')",0.052084684,-0.17129293,-0.250574,-0.4325913,0.1820173
33,0.5302897,0.3377757,"('wrong', 'right')",-0.6290767,-0.7589696,-0.0493935,-0.2105969,0.1612034
26,-0.5247069,-0.5888632,"('hardhearted', 'benevolent')",1.0648057,0.609159,0.2700494,0.0101479,0.2599015
46,-0.4755493,-1.0777024,"('uncompetitive', 'competitive')",-0.12051839,-0.3516192,-0.2980338,-0.7146608,0.416627
5,-0.4525113,-0.37782526,"('distant', 'outgoing')",-0.5706331,-0.2566809,-0.5115722,-0.3172531,-0.1943191
42,0.45128512,0.2652697,"('unreliable', 'reliable')",-2.6000743,-2.8409505,-1.0743946,-1.2878404,0.2134458
50,0.44305992,0.65611416,"('clumsy', 'skillful')",0.1973872,0.17483762,0.3202236,0.4154759,-0.0952523
47,-0.44000784,-0.49122408,"('stupid', 'smart')",5.2723956,5.313893,2.416194,2.4113343,0.0048597
68,0.43415564,0.3340197,"('dependent', 'independent')",0.19946614,0.053741086,0.3168109,0.1938804,0.1229305
22,-0.43106022,-0.6123634,"('untrustworthy', 'trustworthy')",-0.8758548,-0.90206474,-0.6534575,-0.7572141,0.1037566
78,-0.42867592,-0.2181823,"('nonresilient', 'resilient')",0.77493864,0.77408004,0.1731314,0.2779489,-0.1048175
40,-0.4254994,-0.31622717,"('stingy', 'generous')",-1.1938847,-1.3253211,-0.8096921,-0.8207741,0.011082
21,-0.37180036,-0.6627913,"('immoral', 'moral')",-0.27878764,-0.48863387,-0.325294,-0.5757126,0.2504186
2,-0.35995004,-0.34538472,"('unlikable', 'likable')",0.34081066,0.40415812,-0.0095697,0.0293867,-0.0389564
80,-0.34930882,-0.61875564,"('dominated', 'dominating')",-0.91361463,-0.8887327,-0.6314617,-0.7537441,0.1222824
88,-0.3428967,-0.52275014,"('low', 'eminent')",0.13050355,0.09516887,-0.1061966,-0.2137906,0.107594
65,-0.3408834,-0.6619671,"('insecure', 'secure')",-0.06227938,-0.123744234,-0.2015814,-0.3928557,0.1912743
85,0.33079976,0.4764908,"('insignificant', 'prestigious')",0.37744993,-0.0024860427,0.3541248,0.2370024,0.1171224
19,-0.32538638,-0.3466202,"('inhospitable', 'hospitable')",-0.15626308,-0.13835534,-0.2408247,-0.2424878,0.0016631
79,-0.30196115,-0.26162115,"('wavering', 'unwavering')",-0.26704943,-0.113127284,-0.2845053,-0.1873742,-0.0971311
66,-0.29862028,-0.4227353,"('inactive', 'active')",0.6193783,0.4024834,0.160379,-0.0101259,0.1705049
61,-0.2737057,-0.69866043,"('illogical', 'logical')",0.38414526,-0.19657376,0.0552198,-0.4476171,0.5028369
60,-0.2557127,-0.5543053,"('inefficient', 'efficient')",0.5405077,0.5366526,0.1423975,-0.0088263,0.1512238
17,-0.2459295,-0.36232647,"('nasty', 'nice')",-0.4027503,-0.55509293,-0.3243399,-0.4587097,0.1343698
