,ims_male,ims_female,tuple,health_male,health_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.391304,-2.209669,"('unfriendly', 'friendly')",1.1170503,1.1391505,-0.339788,-0.12575135,1.7550436,1.713637,0.0352505,0.1293418,-0.0940913
53,-1.8129658,-1.7586601,"('uncreative', 'creative')",-1.0002099,-0.9241346,-0.21988799,-0.08804578,1.0286607,1.0004154,-0.5011008,-0.4426062,-0.0584946
8,-1.7042364,-1.5667969,"('unaffectionate', 'affectionate')",0.4260524,0.4733629,-0.4900391,-0.37445718,0.974196,0.88803554,-0.1985068,-0.1449639,-0.0535429
36,-1.4495673,-1.3265874,"('hostile', 'amicable')",-0.05196282,-0.120829806,-0.6979828,-0.6431551,0.20310296,0.08851936,-0.4991025,-0.5005133,0.0014108
80,1.3938534,1.1636024,"('dominated', 'dominating')",-0.7760897,-0.89059645,0.892244,0.69878733,-0.9602511,-1.0433202,0.1374391,-0.0178817,0.1553208
5,-1.3702409,-1.0193237,"('distant', 'outgoing')",0.6767137,0.8254515,-0.8361423,-0.41718578,-0.39506364,-0.1875546,-0.4811833,-0.1996531,-0.2815302
6,-1.3123893,-0.9803753,"('distant', 'open')",0.77306896,0.91228557,-1.0352623,-0.62372196,0.33093983,0.4371846,-0.3109107,-0.0636568,-0.2472539
57,-1.3054924,-1.445764,"('unimaginative', 'imaginative')",-0.6095935,-0.7155345,-0.23210895,-0.38648888,-2.4771519,-2.45193,-1.1560867,-1.2499294,0.0938427
31,-1.3013607,-1.2216456,"('evil', 'good')",-0.14911239,-0.052839156,-1.1647836,-0.9629134,-1.0344633,-1.0356318,-0.91243,-0.8182575,-0.0941725
16,-1.2420027,-0.97384906,"('unpopular', 'popular')",-0.34512824,-0.19851384,-1.0214437,-0.87500215,0.034851514,0.08596896,-0.6434308,-0.4903491,-0.1530817
86,-1.1785334,-1.1646607,"('uninfluential', 'influential')",-0.39992157,-0.45192987,-0.56919575,-0.5856522,-0.4086935,-0.42217198,-0.6390861,-0.6561037,0.0170176
25,-1.1579379,-1.0305904,"('egoistic', 'altruistic')",0.38038957,0.4709337,1.1464273,1.2493497,1.5838902,1.5531849,0.4881923,0.5607195,-0.0725272
0,-1.1485716,-1.3074067,"('unsociable', 'sociable')",-0.327294,-0.55641,-0.74236196,-0.9499833,-0.62184787,-0.70075715,-0.7100189,-0.8786393,0.1686204
76,1.0810252,0.8443492,"('anxious', 'daring')",-0.88945013,-0.9798296,0.6034313,0.4229063,0.20600978,0.16905217,0.250254,0.1141195,0.1361345
9,-1.0760057,-0.78104913,"('unaffectionate', 'caring')",1.112097,1.2631874,0.049731784,0.26913387,1.3977855,1.5015496,0.3709022,0.5632054,-0.1923032
39,1.0460256,0.8692946,"('exploitative', 'cooperative')",0.2948442,0.2469759,0.13858405,-0.017422017,0.31410986,0.18919799,0.448391,0.3220116,0.1263794
73,1.0257617,1.1195346,"('helpless', 'self-reliant')",0.8136872,0.8449795,0.4119747,0.54816127,-3.1104367,-2.826307,-0.2147533,-0.0784079,-0.1363454
58,-1.0209416,-1.1429635,"('undiscriminating', 'discriminating')",-0.92511874,-1.123761,0.68891716,0.54551023,0.1151124,0.10585731,-0.2855077,-0.4038392,0.1183315
2,1.0036691,0.9408166,"('unlikable', 'likable')",1.3775595,1.3948902,1.7726564,1.6826594,0.5105486,0.5259058,1.1661084,1.1360679,0.0300405
4,-0.9377926,-0.772043,"('disliked', 'liked')",0.67856485,0.7090881,0.5752272,0.62794167,-6.5371065,-6.190993,-1.5552768,-1.4065015,-0.1487753
28,-0.91356474,-0.8466674,"('disloyal', 'loyal')",-0.13091484,-0.09525772,0.062124588,0.13033858,1.2143829,1.2487688,0.058007,0.1092956,-0.0512886
56,0.900572,0.8907813,"('impractical', 'practical')",0.6622404,0.6115108,-0.022853985,-0.10448418,-0.46308658,-0.41400906,0.2692179,0.2459497,0.0232682
42,0.88440454,0.9710774,"('unreliable', 'reliable')",1.1292617,1.0949193,1.2729194,1.3877608,-2.6632993,-2.3236,0.1558216,0.2825393,-0.1267177
52,-0.86315644,-0.8926811,"('irrational', 'rational')",0.28442335,0.15503068,-0.92410123,-0.8736882,-0.28560582,-0.40786403,-0.44711,-0.5048007,0.0576907
82,-0.8173451,-0.6419221,"('poor', 'rich')",-0.42379248,-0.1978972,0.37654185,0.4900875,6.1849957,6.1461287,1.3301001,1.4490992,-0.1189991
29,-0.8041317,-0.8578765,"('unfair', 'fair')",0.015836284,-0.014818277,-0.62166256,-0.6365575,-0.39279824,-0.5472868,-0.450689,-0.5141348,0.0634458
18,-0.8026378,-0.73591757,"('disagreeable', 'welcoming')",-0.3117587,-0.2657584,0.094757974,0.1478774,-0.26313758,-0.27256417,-0.320694,-0.2815907,-0.0391033
68,-0.79592025,-0.7146001,"('dependent', 'independent')",-1.3796351,-1.3510466,-1.0623573,-1.0229646,-0.7413917,-0.7338853,-0.9948261,-0.9556241,-0.039202
78,-0.7678398,-0.4264332,"('nonresilient', 'resilient')",0.78303915,0.96739286,0.10557015,0.4492327,-0.058193013,0.21939933,0.0156441,0.3023979,-0.2867538
60,0.7390217,0.7767939,"('inefficient', 'efficient')",-0.48462883,-0.40928304,0.0741937,-0.038937174,-0.22180443,-0.043855708,0.0266955,0.0711795,-0.044484
70,0.7372159,0.63023484,"('lethargic', 'energetic')",-0.09881445,-0.09826175,0.98192495,0.90014476,1.0848708,1.1178064,0.6762993,0.6374811,0.0388182
43,0.7105078,0.6281326,"('irresponsible', 'responsible')",1.0332,1.000046,-0.65689445,-0.72649664,0.61391723,0.5993657,0.4251827,0.3752619,0.0499208
50,0.6831979,0.9232815,"('clumsy', 'skillful')",0.7014455,0.8332546,0.10536569,0.40159237,0.1866847,0.4290743,0.4191734,0.6468006,-0.2276272
30,0.6815294,0.5164644,"('intolerant', 'tolerant')",0.17914578,-0.0028240308,1.1453762,0.93036383,1.0275362,1.0058538,0.7583969,0.6124645,0.1459324
62,0.652104,0.71282375,"('incompetent', 'brilliant')",-0.29651403,-0.15528126,0.40216857,0.43434152,-0.10285495,0.13592818,0.1637259,0.281953,-0.1182271
27,-0.65059936,-0.5196999,"('hardhearted', 'softhearted')",0.6625003,0.78974617,0.064219885,0.2708897,1.5197053,1.6062322,0.3989565,0.536792,-0.1378355
85,-0.6477009,-0.50751185,"('insignificant', 'prestigious')",1.7881119,1.7277442,0.39339253,0.57175875,0.7086883,0.64893335,0.560623,0.6102311,-0.0496081
40,-0.6474567,-0.4960205,"('stingy', 'generous')",0.3944445,0.47715232,0.4057065,0.49071115,-1.3396353,-1.1868931,-0.2967352,-0.1787625,-0.1179727
35,-0.64337724,-0.47247142,"('corrupt', 'incorrupt')",-0.656191,-0.48249808,-0.68588835,-0.4543118,-0.13312036,-0.21030301,-0.5296442,-0.4048961,-0.1247481
10,-0.64069307,-0.7639107,"('unsympathetic', 'sympathetic')",-0.7707022,-0.9097314,-0.8868161,-1.0726308,-0.038574293,-0.10200857,-0.5841964,-0.7120704,0.127874
14,0.6106044,0.2039818,"('antisocial', 'social')",-0.045600098,-0.350904,1.4508499,0.98040575,-0.3555125,-0.6653391,0.4150854,0.0420361,0.3730493
37,0.5667287,0.55997634,"('fake', 'genuine')",0.3224833,0.3007838,0.069925345,0.19299996,0.87020475,0.9183704,0.4573355,0.4930326,-0.0356971
81,0.5285206,0.34282506,"('submissive', 'aggressive')",-0.29932743,-0.31466678,0.67138726,0.43251663,-0.8738316,-0.821196,0.0066872,-0.0901303,0.0968175
48,-0.50957227,-0.47323737,"('unintelligent', 'intelligent')",-0.01624143,0.087485045,-0.7025012,-0.6998829,0.14728162,0.24696,-0.2702583,-0.2096688,-0.0605895
19,-0.5027148,-0.24994534,"('inhospitable', 'hospitable')",0.39476657,0.5143949,-0.59508055,-0.35265595,0.06598134,0.11084109,-0.1592619,0.0056587,-0.1649206
12,0.4924597,0.6163073,"('unsupportive', 'supportive')",2.269518,2.3125396,0.23805162,0.41767675,-1.6429065,-1.3375783,0.3392807,0.5022363,-0.1629556
54,-0.49221513,-0.27413082,"('incapable', 'capable')",0.452834,0.61246467,0.21855605,0.4520396,1.2382292,1.2844683,0.354351,0.5187104,-0.1643594
38,-0.48656008,-0.2677784,"('untruthful', 'truthful')",0.6093694,0.77357507,-0.59589744,-0.4892736,-0.054597516,0.18185823,-0.1319214,0.0495953,-0.1815167
7,0.47891933,0.36138678,"('insensitive', 'sensitive')",-0.17988017,-0.14849526,0.4295256,0.33207124,1.2630055,1.2147123,0.4978926,0.4399188,0.0579738
44,0.47695193,0.4210373,"('prejudiced', 'unprejudiced')",-0.44245985,-0.4220404,-0.03989076,-0.13371804,-1.2815856,-1.2757617,-0.3217461,-0.3526207,0.0308746
67,0.4723405,0.3883286,"('doubtful', 'determined')",-0.2227343,-0.34058017,0.41647896,0.43406186,-0.869704,-0.91544205,-0.0509047,-0.1084079,0.0575032
47,0.44162807,0.2361766,"('stupid', 'smart')",1.4378469,1.2228342,0.08538237,-0.00060275197,5.63175,5.2950335,1.8991518,1.6883605,0.2107913
34,0.44141817,0.557877,"('mean', 'honorable')",0.69468087,0.58617306,-0.2882263,-0.22745816,6.2486053,6.148893,1.7741195,1.7663713,0.0077482
17,-0.43330613,-0.60214496,"('nasty', 'nice')",-0.23495923,-0.23485136,-0.7289218,-0.8161254,-0.41915345,-0.54008883,-0.4540851,-0.5483027,0.0942176
83,-0.4283329,-0.37975967,"('powerless', 'powerful')",0.24130382,0.1364533,0.46191886,0.50272155,-0.99744016,-0.8248977,-0.1806376,-0.1413706,-0.039267
87,0.42108947,0.34422413,"('unsuccessful', 'successful')",-0.039164323,-0.14718066,0.6380001,0.62180084,0.53027976,0.55337477,0.3875512,0.3430548,0.0444964
65,0.39780822,0.14890712,"('insecure', 'secure')",-1.1994643,-1.3743687,0.32335794,0.048183497,-0.18320513,-0.25306207,-0.1653758,-0.357585,0.1922092
88,-0.39273137,-0.38478157,"('low', 'eminent')",-0.3111516,-0.41426712,-0.037459675,-0.06778517,0.07114103,0.19312087,-0.1675504,-0.1684282,0.0008778
15,-0.38584697,-0.36200935,"('boring', 'funny')",0.42399544,0.47720897,-0.6812474,-0.677473,0.3848716,0.36623228,-0.0645568,-0.0490103,-0.0155465
75,-0.34765384,-0.25563604,"('meek', 'impulsive')",0.52690196,0.62701863,0.29957902,0.41430336,-0.21841733,-0.22126587,0.0651025,0.141105,-0.0760025
63,0.32388306,0.3999426,"('unperceptive', 'insightful')",0.39150986,0.3834746,1.1730007,1.2782439,1.1262109,1.3301405,0.7536511,0.8479505,-0.0942994
79,-0.31845012,-0.15418537,"('wavering', 'unwavering')",0.660773,0.64690465,-0.838904,-0.57456195,-0.07465283,-0.03618385,-0.1428085,-0.0295066,-0.1133019
32,0.31695822,0.5156976,"('unkind', 'kind')",1.540118,1.5704095,0.4795317,0.513942,1.1901981,1.3506281,0.8817015,0.9876693,-0.1059678
84,-0.30805016,-0.32530907,"('inferior', 'superior')",0.7904231,0.7533407,0.035804164,0.1408468,0.73931783,0.8366843,0.3143737,0.3513907,-0.037017
33,-0.3072516,-0.08925646,"('wrong', 'right')",0.69995165,0.7402945,0.3894817,0.52971,-0.7268059,-0.70219064,0.013844,0.1196393,-0.1057953
71,-0.28211072,0.13597977,"('diffident', 'self-confident')",2.6350234,2.687989,1.0908054,1.4037051,0.6888614,0.88285995,1.0331448,1.2776334,-0.2444886
11,0.2801072,0.32839802,"('unhelpful', 'helpful')",-0.18243158,-0.18965127,-0.53254694,-0.6034826,1.8752644,1.9786388,0.3600983,0.3784757,-0.0183774
13,0.27852005,0.26219234,"('impolite', 'polite')",0.06506161,-0.028884158,-0.22159916,-0.25857586,-0.12182658,-0.06609223,3.9e-05,-0.02284,0.022879
26,-0.24871153,-0.34247765,"('hardhearted', 'benevolent')",1.8715141,1.709862,1.8382123,1.8000069,1.7787192,1.698769,1.3099334,1.2165401,0.0933933
41,-0.23817678,-0.24361463,"('unforgiving', 'forgiving')",0.4272452,0.36533457,0.30852053,0.17437157,0.3276428,0.3227675,0.2063079,0.1547147,0.0515932
3,0.21365257,0.02659302,"('repellent', 'pleasant')",-1.1449356,-1.1027492,0.338754,0.15138352,0.6386987,0.37171027,0.0115424,-0.1382656,0.149808
46,-0.20914961,-0.2590905,"('uncompetitive', 'competitive')",-0.507146,-0.46831512,0.599979,0.42708683,-0.5635952,-0.56837606,-0.1699779,-0.2171737,0.0471958
49,-0.20763779,-0.15398546,"('unable', 'able')",-0.27193815,-0.27159035,-0.3545817,-0.36363298,-0.16991378,-0.11139876,-0.2510179,-0.2251519,-0.025866
74,0.20747687,0.15986724,"('undedicated', 'dedicated')",0.70989954,0.6406438,-0.06671177,-0.019729743,0.07718158,0.12434083,0.2319615,0.2262805,0.005681
77,-0.18490614,0.08774336,"('unmotivated', 'motivated')",-0.63333154,-0.37492815,0.61674386,0.6439576,-1.3744272,-1.2903019,-0.3939803,-0.2333823,-0.160598
72,-0.18458515,-0.20369579,"('unambitious', 'ambitious')",0.41852427,0.4330079,-0.18719055,-0.2124517,-0.8786838,-0.8329948,-0.2079838,-0.2040336,-0.0039502
59,0.17713052,0.19631663,"('foolish', 'wise')",1.9659342,1.8457798,-0.16649735,-0.061105415,0.35110444,0.29599902,0.5819179,0.5692475,0.0126704
51,-0.14869127,-0.022538409,"('uneducated', 'educated')",-0.18448721,-0.051174354,0.43693408,0.42629305,0.31017917,0.36096638,0.1034837,0.1783867,-0.074903
66,-0.12060945,-0.26153168,"('inactive', 'active')",-0.13865364,-0.25204086,0.7850143,0.87336314,1.1993539,0.963129,0.4312763,0.3307299,0.1005464
23,0.11249253,0.13936144,"('insincere', 'sincere')",-0.06725696,-0.056322016,-0.3508263,-0.38946426,6.1468744,6.054384,1.4603209,1.4369899,0.023331
45,-0.10776227,-0.17950085,"('incompetent', 'competent')",0.12864651,0.0149224475,0.034669302,-0.12986232,-0.34988272,-0.39008328,-0.0735823,-0.171131,0.0975487
21,0.104404986,-0.024468787,"('immoral', 'moral')",0.48620808,0.3750595,-0.046192884,-0.27799293,-0.7571133,-0.7877157,-0.0531733,-0.1787795,0.1256062
24,0.103326604,0.0788214,"('dishonest', 'honest')",0.54577196,0.45972148,-0.88804007,-1.0355003,0.7622806,0.6559413,0.1308348,0.039746,0.0910888
55,-0.10222236,-0.25764298,"('incompetent', 'clever')",-1.4360349,-1.452869,-0.25214478,-0.4826377,-0.15774536,-0.19023712,-0.4870369,-0.5958467,0.1088098
61,-0.098586924,-0.24243376,"('illogical', 'logical')",-0.12112489,-0.29427946,-0.105152786,-0.25993145,0.14126387,0.053290524,-0.0459002,-0.1858385,0.1399383
22,-0.08074944,-0.19399191,"('untrustworthy', 'trustworthy')",-0.022381317,-0.058753863,0.19187231,0.011672897,-0.7608304,-0.86654806,-0.1680222,-0.2769052,0.108883
20,-0.035957642,-0.048540056,"('rough', 'thoughtful')",-0.5513657,-0.55140114,-0.3822822,-0.2921265,0.9820573,0.9361695,0.0031129,0.0110255,-0.0079126
69,0.021414917,0.21364471,"('lazy', 'industrious')",0.6244217,0.6482497,0.3507312,0.48410338,-0.8106345,-0.8016489,0.0464833,0.1360872,-0.0896039
64,-0.0083361175,-0.06590464,"('shy', 'confident')",-0.4302649,-0.4783804,0.74019015,0.5961125,-6.9529576,-6.7640176,-1.6628422,-1.6780475,0.0152053
