,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,inc_male,inc_female,average_male,average_female,male-female
19,-1.9791785,-1.8148913,"('inhospitable', 'hospitable')",-0.090297654,-0.113543466,-0.08980659,-0.12644516,-0.7197609,-0.68496,-0.0348009
1,-1.6846848,-1.6276388,"('unfriendly', 'friendly')",-1.7252388,-1.384884,2.048744,2.1307905,-0.4537265,-0.2939107,-0.1598158
36,-1.6280125,-1.7148261,"('hostile', 'amicable')",-0.03705482,-0.14459714,0.40036574,0.40496424,-0.4215672,-0.4848197,0.0632525
8,-1.4961728,-1.3684827,"('unaffectionate', 'affectionate')",-1.1325598,-1.0153828,1.1022251,0.93771183,-0.5088359,-0.4820512,-0.0267847
80,1.4857059,1.283919,"('dominated', 'dominating')",-0.48548022,-0.56192285,-1.4873923,-1.6324215,-0.1623889,-0.3034751,0.1410862
31,-1.4564708,-1.4581376,"('evil', 'good')",0.3835813,0.3235911,-0.7746099,-0.92416954,-0.6158332,-0.6862387,0.0704055
5,-1.4525547,-1.216669,"('distant', 'outgoing')",0.18103205,0.36031762,-0.29995432,-0.24974574,-0.5238256,-0.368699,-0.1551266
53,-1.4187222,-1.3286871,"('uncreative', 'creative')",-1.072854,-0.9524602,1.1735376,1.1210616,-0.4393462,-0.3866952,-0.052651
6,-1.3718826,-1.236619,"('distant', 'open')",-0.09960802,0.026511155,0.517313,0.54909915,-0.3180592,-0.2203362,-0.097723
42,1.3690733,1.4748937,"('unreliable', 'reliable')",0.71076256,0.89924514,-2.6183696,-2.5863917,-0.1795112,-0.070751,-0.1087602
79,-1.3549938,-1.1279852,"('wavering', 'unwavering')",0.57796806,0.61510617,0.029133894,0.09417833,-0.2492973,-0.1395669,-0.1097304
16,-1.3523667,-1.4564247,"('unpopular', 'popular')",-0.32469085,-0.45187002,0.31870988,0.19094601,-0.4527826,-0.5724496,0.119667
66,-1.2884438,-1.2072512,"('inactive', 'active')",-0.17522046,-0.28265637,0.8750859,0.68939996,-0.1961928,-0.2668358,0.070643
39,1.2541838,1.2185799,"('exploitative', 'cooperative')",0.05802136,0.0808403,0.2501218,0.22031197,0.5207756,0.5065774,0.0141982
85,-1.2398199,-1.3411716,"('insignificant', 'prestigious')",0.53591186,0.46274602,0.88467187,0.7993755,0.0602546,-0.02635,0.0866046
35,-1.1747421,-1.0571115,"('corrupt', 'incorrupt')",1.2928545,1.146724,-0.18366453,-0.1482271,-0.0218507,-0.0195382,-0.0023125
