,cigna_male,cigna_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.6109011,-1.3581713,"('uninfluential', 'influential')",-0.34782344,-0.30196178,-0.9793622,-0.8300666,-0.1492956
69,1.600671,1.6775616,"('lazy', 'industrious')",-1.3834893,-1.0438795,0.1085909,0.3168411,-0.2082502
10,-1.6001322,-1.4723548,"('unsympathetic', 'sympathetic')",0.38694164,0.161982,-0.6065953,-0.6551864,0.0485911
51,-1.5617058,-1.5304368,"('uneducated', 'educated')",0.4482938,0.28162625,-0.556706,-0.6244053,0.0676993
13,-1.4308497,-1.5478939,"('impolite', 'polite')",-0.5231694,-0.6539384,-0.9770095,-1.1009161,0.1239066
2,1.2772336,1.2918348,"('unlikable', 'likable')",0.4452871,0.6635816,0.8612604,0.9777082,-0.1164478
85,1.2224813,1.356182,"('insignificant', 'prestigious')",-0.980882,-0.49662283,0.1207996,0.4297796,-0.30898
11,-1.1712401,-1.2142411,"('unhelpful', 'helpful')",1.4200898,1.3346407,0.1244249,0.0601998,0.0642251
45,-1.1615274,-1.1727872,"('incompetent', 'competent')",-0.024010833,0.04146188,-0.5927691,-0.5656627,-0.0271064
0,-1.1256407,-1.0943031,"('unsociable', 'sociable')",0.069849424,-0.060136583,-0.5278957,-0.5772198,0.0493241
57,-1.0891484,-0.87797225,"('unimaginative', 'imaginative')",-3.1210482,-3.074014,-2.1050982,-1.9759932,-0.129105
73,1.0490584,0.94760144,"('helpless', 'self-reliant')",-3.5769634,-3.568544,-1.2639525,-1.3104713,0.0465188
84,1.0047466,0.93230677,"('inferior', 'superior')",0.77676874,0.9736158,0.8907577,0.9529613,-0.0622036
75,0.9677792,1.000238,"('meek', 'impulsive')",-1.0923469,-0.9820696,-0.0622838,0.0090842,-0.071368
7,-0.9526775,-0.7508,"('insensitive', 'sensitive')",0.63276726,0.6507834,-0.1599551,-0.0500083,-0.1099468
23,-0.9346726,-0.881809,"('insincere', 'sincere')",6.2793655,6.024074,2.6723466,2.5711327,0.1012139
59,0.931812,0.96169835,"('foolish', 'wise')",-0.54909605,-0.18248162,0.191358,0.3896084,-0.1982504
61,-0.91752386,-0.8592214,"('illogical', 'logical')",0.3721937,0.4530394,-0.2726651,-0.203091,-0.0695741
25,0.89034736,1.0064391,"('egoistic', 'altruistic')",1.2176529,1.195001,1.0540001,1.10072,-0.0467199
1,-0.8883629,-0.6578624,"('unfriendly', 'friendly')",0.6809312,1.0652609,-0.1037158,0.2036992,-0.307415
19,-0.8851938,-0.6789387,"('inhospitable', 'hospitable')",-1.0749229,-0.8084733,-0.9800584,-0.743706,-0.2363524
81,-0.8692688,-0.9774964,"('submissive', 'aggressive')",-0.23447344,-0.5565797,-0.5518711,-0.767038,0.2151669
26,0.86164886,0.992978,"('hardhearted', 'benevolent')",1.1432527,1.477912,1.0024508,1.235445,-0.2329942
53,-0.8405471,-0.63493407,"('uncreative', 'creative')",0.28489336,0.35855764,-0.2778268,-0.1381882,-0.1396386
68,-0.8384847,-0.7431148,"('dependent', 'independent')",-0.8094576,-0.68627405,-0.8239712,-0.7146944,-0.1092768
38,-0.8134411,-0.79568565,"('untruthful', 'truthful')",-0.7895478,-0.68604416,-0.8014945,-0.7408649,-0.0606296
46,-0.7935521,-0.7219733,"('uncompetitive', 'competitive')",-0.43713278,-0.504499,-0.6153424,-0.6132362,-0.0021062
42,0.78728783,0.9416878,"('unreliable', 'reliable')",-2.8974829,-2.9980388,-1.0550976,-1.0281755,-0.0269221
63,-0.7583669,-0.6128084,"('unperceptive', 'insightful')",0.34509525,0.5325575,-0.2066358,-0.0401255,-0.1665103
24,-0.6760623,-0.4559324,"('dishonest', 'honest')",0.45480615,0.61390096,-0.1106281,0.0789843,-0.1896124
44,0.65941983,0.60523754,"('prejudiced', 'unprejudiced')",-1.0496794,-1.1140145,-0.1951298,-0.2543885,0.0592587
50,0.6479656,0.5872526,"('clumsy', 'skillful')",-0.028084353,-0.097291455,0.3099406,0.2449806,0.06496
56,-0.6338301,-0.67027503,"('impractical', 'practical')",-0.30081442,-0.42081454,-0.4673222,-0.5455448,0.0782226
3,-0.6099476,-0.60847753,"('repellent', 'pleasant')",1.3508922,1.1898397,0.3704723,0.2906811,0.0797912
21,-0.5525414,-0.54660773,"('immoral', 'moral')",0.105867825,-0.010047775,-0.2233368,-0.2783278,0.054991
55,-0.5295387,-0.47340095,"('incompetent', 'clever')",1.0781198,0.84263504,0.2742905,0.184617,0.0896735
43,-0.5263699,-0.36708793,"('irresponsible', 'responsible')",0.4188549,0.49969536,-0.0537575,0.0663037,-0.1200612
79,-0.51554114,-0.36779875,"('wavering', 'unwavering')",-0.9535474,-0.83747166,-0.7345443,-0.6026352,-0.1319091
20,0.5059494,0.68437463,"('rough', 'thoughtful')",0.9724271,1.0048946,0.7391883,0.8446347,-0.1054464
83,0.49723977,0.5394923,"('powerless', 'powerful')",-0.7604494,-0.8243748,-0.1316048,-0.1424412,0.0108364
28,-0.4935536,-0.5775387,"('disloyal', 'loyal')",1.0560838,0.856439,0.2812651,0.1394501,0.141815
15,0.48642978,0.44845393,"('boring', 'funny')",-0.27833593,-0.09552153,0.1040469,0.1764662,-0.0724193
65,-0.4854109,-0.6026624,"('insecure', 'secure')",0.4388363,0.19295952,-0.0232873,-0.2048514,0.1815641
33,0.47006193,0.67346627,"('wrong', 'right')",-1.1928802,-1.0053401,-0.3614091,-0.1659369,-0.1954722
60,-0.44952646,-0.4161367,"('inefficient', 'efficient')",0.5978935,0.45796517,0.0741835,0.0209142,0.0532693
67,0.44305965,0.35129923,"('doubtful', 'determined')",-0.6246242,-0.55382043,-0.0907823,-0.1012606,0.0104783
80,-0.44109,-0.535302,"('dominated', 'dominating')",-0.5536081,-0.799771,-0.4973491,-0.6675365,0.1701874
52,0.42914918,0.3758756,"('irrational', 'rational')",-0.70677865,-0.50021887,-0.1388147,-0.0621716,-0.0766431
78,-0.4200505,-0.27989772,"('nonresilient', 'resilient')",0.19876553,0.11807715,-0.1106425,-0.0809103,-0.0297322
9,-0.41398448,-0.2067951,"('unaffectionate', 'caring')",0.8014106,0.94976294,0.1937131,0.3714839,-0.1777708
6,-0.41248232,-0.24764107,"('distant', 'open')",-1.0959516,-0.79939574,-0.7542169,-0.5235184,-0.2306985
37,0.40503183,0.61824554,"('fake', 'genuine')",0.18963976,0.29504234,0.2973358,0.4566439,-0.1593081
29,-0.36971834,-0.15853497,"('unfair', 'fair')",-0.7740344,-0.44047886,-0.5718763,-0.2995069,-0.2723694
16,0.3510339,0.27920535,"('unpopular', 'popular')",-0.056985192,0.059885293,0.1470243,0.1695453,-0.022521
48,-0.3500717,-0.23303589,"('unintelligent', 'intelligent')",0.9101223,0.8769826,0.2800253,0.3219734,-0.0419481
82,-0.34893584,-0.5316617,"('poor', 'rich')",6.912044,6.6183176,3.2815542,3.043328,0.2382262
